candidate,family,outcome,entity,n,dR2,beta_sign,beta,practical_spread_p10_p90,p_correct_entityswap,p_row_naive,sd_null_correct,sd_null_row,inflation_correct_over_row,z_correct,p_familywise_maxz
D04_xefg_minus_own,D_quality_index,ppm,player_id+season,13984,0.00959715670538806,1.0,0.3009102159717266,0.06033804967092637,0.0016638935108153079,0.0016638935108153079,0.00011578710527308973,7.608046785137045e-05,1.5219031709858766,82.18193052977935,0.0016638935108153079
F02_lt5ft_x_opplt5ft,F_interaction,ts,player_id+season,13984,0.002410203887704905,1.0,0.20562970404629263,0.034331405437355585,0.0016638935108153079,0.0016638935108153079,0.00014603654656201756,9.802254591346498e-05,1.4898260925699656,15.82764203881792,0.0016638935108153079
A02_share_lt5ft,A_own_profile,ts,player_id+season,13984,0.002336913223572536,1.0,0.06870799597989122,0.03428005216467577,0.0016638935108153079,0.0016638935108153079,0.00011635197218859624,0.00010617419650075607,1.095859220255721,19.347857517398975,0.0016638935108153079
A03_share_restricted,A_own_profile,ts,player_id+season,13984,0.0022808695628391603,1.0,0.07422266754590023,0.0333043432044181,0.0016638935108153079,0.0016638935108153079,0.00015607737608879578,9.030190842710146e-05,1.7283951004733555,13.914805076048186,0.0016638935108153079
B01_dist_t5,B_form_trend,ts,player_id+season,13979,0.0021964826458400633,-1.0,-0.002606343479879363,-0.03440429862308425,0.0016638935108153079,0.0016638935108153079,0.0001404304805672294,8.686104309601383e-05,1.616725698446902,14.967979868147049,0.0016638935108153079
A04_share_paint,A_own_profile,ts,player_id+season,13984,0.0021662536683282776,1.0,0.05807590358189353,0.034184603694192926,0.0016638935108153079,0.0016638935108153079,0.0001463418709717795,9.879254605198648e-05,1.4813047827998247,14.101179696242232,0.0016638935108153079
A11_share_layup_action,A_own_profile,ts,player_id+season,13984,0.002151207160909971,1.0,0.06552623691151253,0.03315242380326056,0.0016638935108153079,0.0016638935108153079,0.00013333905092025296,9.64771266906306e-05,1.3820794160653855,15.406767000182663,0.0016638935108153079
F02_lt5ft_x_opplt5ft,F_interaction,efg,player_id+season,13984,0.0021373037937667027,1.0,0.20079789763480552,0.03352469949145667,0.0016638935108153079,0.0016638935108153079,0.00014041132631479282,9.483626278655886e-05,1.4805657898055986,14.542732515619338,0.0016638935108153079
A02_share_lt5ft,A_own_profile,efg,player_id+season,13984,0.002124387327917048,1.0,0.06791601391503808,0.03388491348962842,0.0016638935108153079,0.0016638935108153079,0.00011663316019092069,9.97880409543589e-05,1.1688089983073866,17.478952996431975,0.0016638935108153079
B02_lt5ft_t5,B_form_trend,ts,player_id+season,13979,0.002098191179741287,1.0,0.060512714222751764,0.03245681944674867,0.0016638935108153079,0.0016638935108153079,0.0001343043874659173,8.85158840237625e-05,1.517291375973409,14.917285903329125,0.0016638935108153079
A01_dist_mean,A_own_profile,ts,player_id+season,13984,0.002027258488310447,-1.0,-0.0026363243418708617,-0.033165205552729025,0.0016638935108153079,0.0016638935108153079,0.00012674823579994612,9.389487273935276e-05,1.3498951764042812,15.187289515344707,0.0016638935108153079
A03_share_restricted,A_own_profile,efg,player_id+season,13984,0.001992264134590296,1.0,0.07198023033630555,0.03229814252594593,0.0016638935108153079,0.0016638935108153079,0.0001576300115132889,8.784880424405037e-05,1.7943330346919835,11.970820983245062,0.0016638935108153079
B03_restricted_t5,B_form_trend,ts,player_id+season,13979,0.001958122087461484,1.0,0.06290998434422385,0.030937368022569307,0.0016638935108153079,0.0016638935108153079,0.00014090646702112733,0.00010588511911711048,1.3307485338452774,13.170498134799336,0.0016638935108153079
A11_share_layup_action,A_own_profile,efg,player_id+season,13984,0.0019490661339600654,1.0,0.06464122419828777,0.03270465939738262,0.0016638935108153079,0.0016638935108153079,0.00012855217657279543,9.638425965183442e-05,1.333746578924402,14.429745517613654,0.0016638935108153079
D04_xefg_minus_own,D_quality_index,ts,player_id+season,13984,0.0018920637778469685,1.0,0.29481938145488046,0.05911672498300222,0.0016638935108153079,0.0016638935108153079,0.0001542272994140858,0.00010475132440756963,1.4723183719760293,11.619677639591954,0.0016638935108153079
B02_lt5ft_t5,B_form_trend,efg,player_id+season,13979,0.0018661356826360118,1.0,0.059204861666449116,0.031755334893822706,0.0016638935108153079,0.0016638935108153079,0.0001315300900322804,8.580857004897766e-05,1.5328316269249784,13.47596532949706,0.0016638935108153079
F01_dist_x_oppdist,F_interaction,ts,player_id+season,13984,0.0018562745023852011,-1.0,-0.00019544965940336732,-0.03161699739254107,0.0016638935108153079,0.0016638935108153079,0.00012171871978190772,8.958758540648138e-05,1.358656104298819,14.550520791620055,0.0016638935108153079
D03_xefg_action,D_quality_index,efg,player_id+season,13984,0.001757756986525728,1.0,0.36793981337577225,0.029245266648350546,0.0016638935108153079,0.0016638935108153079,0.00012704638074894782,0.00010313926711359082,1.231794488213953,13.107564807370386,0.0016638935108153079
