candidate,outcome,dR2_base_ref_only,p_base_ref_only,dR2_with_own_main_effects,p_with_own_main_effects,dR2_collapse_ratio
F01_dist_x_oppdist,ppm,0.00010984151274895013,0.20133111480865223,0.00046472121774350614,0.016638935108153077,4.230834100087974
F01_dist_x_oppdist,ts,0.0018562745023852011,0.0016638935108153079,4.171408769556301e-05,0.5058236272878536,0.022471939167382257
F01_dist_x_oppdist,efg,0.0013600523156568486,0.0016638935108153079,3.411233027772377e-05,0.5307820299500832,0.02508163096744476
F02_lt5ft_x_opplt5ft,ppm,1.00237707454415e-06,0.9118136439267887,0.0003484118423575857,0.033277870216306155,347.5856054629268
F02_lt5ft_x_opplt5ft,ts,0.002410203887704905,0.0016638935108153079,9.110104382883543e-05,0.33444259567387685,0.03779806525645661
F02_lt5ft_x_opplt5ft,efg,0.0021373037937667027,0.0016638935108153079,7.585943559115895e-05,0.3643926788685524,0.03549305242071703
F03_xefg_x_oppxefg,ppm,0.00039269046784741604,0.024958402662229616,1.9144062014851033e-05,0.6206322795341098,0.04875102296165146
F03_xefg_x_oppxefg,ts,0.0011923607393721468,0.0016638935108153079,3.600769280470835e-05,0.5291181364392679,0.030198656845803792
F03_xefg_x_oppxefg,efg,0.0015757178167509255,0.0016638935108153079,6.657197424594867e-05,0.37437603993344426,0.04224866504538086
F04_3pa_x_opp3pa,ppm,0.0003661715881436995,0.028286189683860232,0.00018929476223050274,0.1314475873544093,0.5169564443547607
F04_3pa_x_opp3pa,ts,0.001021007289453874,0.0016638935108153079,3.6230158780729567e-06,0.8569051580698835,0.0035484720975996844
F04_3pa_x_opp3pa,efg,0.0005217022078081539,0.026622296173044926,2.0288046100953944e-08,0.9800332778702163,3.88881737460741e-05
