candidate,outcome,base,n,dR2,p_correct
D03_xefg_action,efg,single_ref,5683,0.00433921595570657,0.0016638935108153079
D03_xefg_action,ts,full_ref,5683,0.004194702603546242,0.0016638935108153079
D03_xefg_action,efg,full_ref,5683,0.003875585262305897,0.0016638935108153079
D03_xefg_action,ts,single_ref,5683,0.00382753300685818,0.0016638935108153079
A10_share_selfcreate_action,efg,single_ref,5683,0.0029979562002459045,0.0016638935108153079
A09_share_catch_action,efg,single_ref,5683,0.002610207405458802,0.0016638935108153079
A10_share_selfcreate_action,efg,full_ref,5683,0.0025532558225731194,0.0016638935108153079
D04_xefg_minus_own,ppm,single_ref,5683,0.0024182276018820214,0.0016638935108153079
F03_xefg_x_oppxefg,efg,single_ref,5683,0.0022499981074559816,0.0016638935108153079
F03_xefg_x_oppxefg,ts,full_ref,5683,0.002236315784556478,0.0033277870216306157
A10_share_selfcreate_action,ts,full_ref,5683,0.0022092746959775983,0.004991680532445923
A09_share_catch_action,efg,full_ref,5683,0.002162748226520265,0.0016638935108153079
F02_lt5ft_x_opplt5ft,ts,single_ref,5683,0.002148712093012073,0.0033277870216306157
F02_lt5ft_x_opplt5ft,ts,full_ref,5683,0.0021222164900615748,0.0033277870216306157
F03_xefg_x_oppxefg,ts,single_ref,5683,0.0021164461040614454,0.0033277870216306157
D01_xefg_zone,efg,single_ref,5683,0.0019845779432023777,0.0033277870216306157
D02_xpps_zone,efg,single_ref,5683,0.0019845779432023777,0.004991680532445923
D04_xefg_minus_own,efg,single_ref,5683,0.0019845779432023764,0.0033277870216306157
A09_share_catch_action,ts,full_ref,5683,0.00193464134863074,0.0033277870216306157
B02_lt5ft_t5,ts,single_ref,5683,0.0019301763051115335,0.0033277870216306157
A10_share_selfcreate_action,ts,single_ref,5683,0.0019143833645789475,0.0066555740432612314
B02_lt5ft_t5,ts,full_ref,5683,0.0019109451488051612,0.0033277870216306157
B03_restricted_t5,ts,full_ref,5683,0.0019094103286712374,0.0033277870216306157
B03_restricted_t5,ts,single_ref,5683,0.001907587622425743,0.0033277870216306157
A02_share_lt5ft,ts,single_ref,5683,0.0018922084757753276,0.004991680532445923
A02_share_lt5ft,ts,full_ref,5683,0.0018623403237980792,0.004991680532445923
F03_xefg_x_oppxefg,efg,full_ref,5683,0.0018546400128570777,0.0016638935108153079
F02_lt5ft_x_opplt5ft,efg,single_ref,5683,0.001848541437829458,0.0033277870216306157
B02_lt5ft_t5,efg,single_ref,5683,0.0017801645877638878,0.0033277870216306157
A02_share_lt5ft,efg,single_ref,5683,0.0017377038961070275,0.008319467554076539
B03_restricted_t5,efg,single_ref,5683,0.0017305379065540518,0.004991680532445923
A03_share_restricted,ts,single_ref,5683,0.0017301787237188595,0.0066555740432612314
A03_share_restricted,ts,full_ref,5683,0.0017081883173226818,0.0066555740432612314
D01_xefg_zone,ts,full_ref,5683,0.0017053864257329703,0.0066555740432612314
D02_xpps_zone,ts,full_ref,5683,0.0017053864257329703,0.0066555740432612314
D04_xefg_minus_own,ts,full_ref,5683,0.0017053864257329694,0.0066555740432612314
A09_share_catch_action,ts,single_ref,5683,0.0016829440196292074,0.0066555740432612314
