family,n_cells,max_dR2,n_clear_percand,n_clear_fw,min_p_correct,min_p_fw
A_own_profile,36,0.002336913223572536,27,12,0.0016638935108153079,0.0016638935108153079
B_form_trend,18,0.0021964826458400633,9,6,0.0016638935108153079,0.0016638935108153079
C_assisted,15,0.0005978788283100081,2,0,0.0066555740432612314,0.5341098169717138
D_quality_index,12,0.00959715670538806,12,7,0.0016638935108153079,0.0016638935108153079
E_opp_conceded,18,0.0003688661799158868,1,0,0.04658901830282862,0.9733777038269551
F_interaction,12,0.002410203887704905,10,6,0.0016638935108153079,0.0016638935108153079
G_control,6,5.843069032522379e-05,0,0,0.324459234608985,1.0
