candidate,n,dR2_efg,sign_efg,p_efg,spread_efg,dR2_fga_per_min,sign_fga_per_min,p_fga_per_min,spread_fga_per_min,dR2_ppm,sign_ppm,p_ppm,spread_ppm,signs_oppose
A02_share_lt5ft,13980,0.002087494280968191,1.0,0.0016638935108153079,0.0339504935437684,0.0016894762105935384,-1.0,0.0016638935108153079,-0.016686344442447088,0.0004412770856942462,1.0,0.028286189683860232,0.014004812070478084,True
A03_share_restricted,13980,0.0019865856763832688,1.0,0.0016638935108153079,0.03256809969208018,0.0016425710699764927,-1.0,0.0016638935108153079,-0.01617907656944389,0.0004774206360129425,1.0,0.018302828618968387,0.014324435451044407,True
A04_share_paint,13980,0.00145270436566377,1.0,0.0016638935108153079,0.029280680835956995,0.0010818765459507868,-1.0,0.0016638935108153079,-0.013820829836789507,0.0006094575791275581,1.0,0.0066555740432612314,0.017015802784839884,True
A11_share_layup_action,13980,0.0019267530810667022,1.0,0.0016638935108153079,0.03295630902792665,0.001785218500175226,-1.0,0.0016638935108153079,-0.017320252207594738,0.0003783593173494751,1.0,0.026622296173044926,0.013102854077943234,True
A01_dist_mean,13980,0.001296045648361952,-1.0,0.0016638935108153079,-0.027723611827253178,0.0007474469338133289,1.0,0.0016638935108153079,0.011488875593554434,0.0006871027656921129,-1.0,0.0033277870216306157,-0.018110842802699322,True
B01_dist_t5,13975,0.0014596598069656428,-1.0,0.0016638935108153079,-0.02931629643272262,0.0006640545952862606,1.0,0.011647254575707155,0.010777599005067083,0.0007874230197291551,-1.0,0.0016638935108153079,-0.01932066922601436,True
B02_lt5ft_t5,13975,0.001833560545230151,1.0,0.0016638935108153079,0.031757243717489496,0.0020629943989404166,-1.0,0.0016638935108153079,-0.018373514665773725,0.0002717386818930392,1.0,0.07321131447587355,0.010969977551614881,True
D01_xefg_zone,13980,0.0021029542518231936,1.0,0.0016638935108153079,0.03361339348693718,0.0023216430398420355,-1.0,0.0016638935108153079,-0.019218762426974068,0.00011068226447725514,1.0,0.2612312811980033,0.0069187018736822275,True
D03_xefg_action,13980,0.0023856544628646807,1.0,0.0016638935108153079,0.03552730647264663,0.001252861732782389,-1.0,0.0016638935108153079,-0.014011543122455289,0.00044114420684898296,1.0,0.021630615640599003,0.013706827730800602,True
A08_share_3pa,13980,0.0004502827125208204,-1.0,0.024958402662229616,-0.01717318727259036,9.864093182524975e-05,1.0,0.3011647254575707,0.004368636068218071,0.0006022514269854277,-1.0,0.0066555740432612314,-0.017819082571567064,True
A10_share_selfcreate_action,13980,0.0018223668662759184,-1.0,0.0016638935108153079,-0.034119629403728056,0.00013426044764855283,1.0,0.23294509151414308,0.005013013130963848,0.0002138896969991871,-1.0,0.1048252911813644,-0.010487439900152426,True
A09_share_catch_action,13980,0.0016858439297253187,1.0,0.0016638935108153079,0.032371822901584704,0.00013623189708464705,-1.0,0.2113144758735441,-0.0049810327186914265,0.0001613469390190399,1.0,0.17304492512479203,0.008985184313730939,True
