candidate,n_finite,frac_finite,mean,sd,p10,p90
A01_dist_mean,13984,0.9996425763099578,12.714741484926607,4.6632176738955655,5.857142857142857,18.43723591549296
A02_share_lt5ft,13984,0.9996425763099578,0.3409760158722556,0.19360812747011694,0.1210762331838565,0.62
A03_share_restricted,13984,0.9996425763099578,0.2956639534416281,0.17731767724481054,0.1012914813547725,0.55
A04_share_paint,13984,0.9996425763099578,0.4945196376392612,0.21935119613203444,0.22388059701492538,0.8125
A05_share_midrange,13984,0.9996425763099578,0.17259349789377018,0.10919085252642073,0.04878048780487805,0.30303030303030304
A06_share_corner3,13984,0.9996425763099578,0.04307725789204633,0.05188787284196483,0.0,0.10481566820276504
A07_share_abovebreak3,13984,0.9996425763099578,0.2877974524426646,0.18832927162367522,0.01608368959709808,0.5416666666666666
A08_share_3pa,13984,0.9996425763099578,0.33288686446696863,0.21275771849331293,0.017857142857142856,0.6226040234911908
A09_share_catch_action,13984,0.9996425763099578,0.5267023598903203,0.17030359048680555,0.3055555555555556,0.75
A10_share_selfcreate_action,13984,0.9996425763099578,0.4533735805928378,0.17721159134661127,0.21428571428571427,0.6856060606060606
A11_share_layup_action,13984,0.9996425763099578,0.3548445258729744,0.19423719083674756,0.1282051282051282,0.6341463414634146
A12_share_plain_jumpshot,13984,0.9996425763099578,0.355406503994544,0.1611301768968825,0.16666666666666666,0.5773373983739838
B01_dist_t5,13979,0.9992851526199157,12.730174409618755,4.896970860050267,5.6521739130434785,18.852390572390576
B02_lt5ft_t5,13979,0.9992851526199157,0.34089499766884535,0.2072561890294392,0.1,0.6363636363636364
B03_restricted_t5,13979,0.9992851526199157,0.29519113435518424,0.19268370674962051,0.07692307692307693,0.5686950642325899
B04_dist_trend,13979,0.9992851526199157,0.015223263752038356,1.541384216310846,-1.6562826716081593,1.6925238397965672
B05_lt5ft_trend,13979,0.9992851526199157,-7.991955430254975e-05,0.07654016904161991,-0.08709057565489811,0.0877560459258003
B06_3pa_trend,13979,0.9992851526199157,0.0002277361289582958,0.07339276318486569,-0.07567468682080801,0.07799359448139943
C01_assisted_share,13924,0.9953534920294517,0.6810832100520167,0.17409905580689078,0.44871794871794873,0.8888888888888888
C02_assisted_share_3pt,11931,0.8528844091786404,0.90583703331049,0.14559894726697745,0.7142857142857143,1.0
C03_assisted_share_2pt,13851,0.9901351061548359,0.5861375997732717,0.2183759982962914,0.2777777777777778,0.84375
C04_assisted_share_t5,13822,0.9880620487525913,0.683123945420526,0.2103467814578903,0.4,1.0
C05_assisted_trend,13822,0.9880620487525913,0.002515719665242458,0.11770009655424973,-0.11598525509407676,0.12819249715801434
D01_xefg_zone,13984,0.9996425763099578,0.49260453085048356,0.029906272526261195,0.4577781126310526,0.5311393081396641
D02_xpps_zone,13984,0.9996425763099578,0.9852090617009671,0.05981254505252239,0.9155562252621052,1.0622786162793283
D03_xefg_action,13984,0.9996425763099578,0.4933421894000803,0.03311581987487824,0.45599765100147466,0.5354814839143395
D04_xefg_minus_own,13984,0.9996425763099578,0.010417526133470896,0.0919941883194367,-0.08532952256084361,0.11518892602714219
E01_opp_dist_conceded,13989,1.0,12.754428474591785,0.7047431821199688,11.95850622406639,13.72
E02_opp_lt5ft_conceded,13989,1.0,0.33126092027322673,0.03640790244481509,0.28539690637972215,0.3751507840772014
E03_opp_restricted_conceded,13989,1.0,0.28611438674140244,0.04289769238551806,0.22911497105045492,0.33859576235978395
E04_opp_xefg_conceded,13989,1.0,0.48914466094782993,0.010938090686932392,0.47421455678690794,0.5013345022610365
E05_opp_3pa_conceded,13989,1.0,0.32545934692999917,0.029868960423827653,0.2854757929883139,0.3661519888168765
E06_opp_assisted_conceded,13989,1.0,0.6642448820863356,0.036229753785001526,0.6168831168831169,0.7065727699530516
F01_dist_x_oppdist,13984,0.9996425763099578,162.1427253378336,60.165695421492856,74.29136426555353,236.05679015094833
F02_lt5ft_x_opplt5ft,13984,0.9996425763099578,0.11292064512293395,0.06560844965991831,0.039209468805916414,0.20616689159939905
F03_xefg_x_oppxefg,13984,0.9996425763099578,0.24099285747735788,0.016138740630888045,0.22158301400192557,0.2615242140503725
F04_3pa_x_opp3pa,13984,0.9996425763099578,0.10835449440220309,0.07029876209020011,0.005635403437243562,0.20208255198396916
G01_noise,13989,1.0,-0.016652035533659182,0.9966538153407241,-1.28402831102085,1.264857881467702
G02_ref_echo,13989,1.0,0.3822354647265935,0.13283468047547003,0.22327802590134815,0.5625331435589583
