candidate,outcome,season,n,dR2,beta_sign
A01_dist_mean,ppm,2021,2960,0.0003350667198430774,-1.0
A01_dist_mean,ppm,2022,3422,0.002147320092494657,-1.0
A01_dist_mean,ppm,2023,3812,0.0002082261985277321,-1.0
A01_dist_mean,ppm,2024,3790,0.0006337662599341469,-1.0
A01_dist_mean,ts,2021,2960,0.0017359546965155387,-1.0
A01_dist_mean,ts,2022,3422,0.004314539171763863,-1.0
A01_dist_mean,ts,2023,3812,0.0005744343787633058,-1.0
A01_dist_mean,ts,2024,3790,0.001930284993472716,-1.0
A01_dist_mean,efg,2021,2960,0.0011093480152087577,-1.0
A01_dist_mean,efg,2022,3422,0.002370525231584126,-1.0
A01_dist_mean,efg,2023,3812,0.0005195412273589361,-1.0
A01_dist_mean,efg,2024,3790,0.001587495364464373,-1.0
A02_share_lt5ft,ppm,2021,2960,0.0003892794071247827,1.0
A02_share_lt5ft,ppm,2022,3422,0.0013556190723109237,1.0
A02_share_lt5ft,ppm,2023,3812,7.613681593691763e-05,1.0
A02_share_lt5ft,ppm,2024,3790,0.00036418930985367636,1.0
A02_share_lt5ft,ts,2021,2960,0.0023849095484385374,1.0
A02_share_lt5ft,ts,2022,3422,0.005144000816858674,1.0
A02_share_lt5ft,ts,2023,3812,0.0011701172900616043,1.0
A02_share_lt5ft,ts,2024,3790,0.002843931548422178,1.0
A02_share_lt5ft,efg,2021,2960,0.0018768691301973691,1.0
A02_share_lt5ft,efg,2022,3422,0.0029868065024391977,1.0
A02_share_lt5ft,efg,2023,3812,0.0011425870192554141,1.0
A02_share_lt5ft,efg,2024,3790,0.0025122883743936967,1.0
A03_share_restricted,ppm,2021,2960,0.0003656687843229319,1.0
A03_share_restricted,ppm,2022,3422,0.00136753342544393,1.0
A03_share_restricted,ppm,2023,3812,4.3335592543764114e-05,1.0
A03_share_restricted,ppm,2024,3790,0.0005114568234732277,1.0
A03_share_restricted,ts,2021,2960,0.0024462054088828494,1.0
A03_share_restricted,ts,2022,3422,0.00506347833072307,1.0
A03_share_restricted,ts,2023,3812,0.0009786861912879613,1.0
A03_share_restricted,ts,2024,3790,0.002910371431055526,1.0
A03_share_restricted,efg,2021,2960,0.0019302062079739302,1.0
A03_share_restricted,efg,2022,3422,0.002844738952508764,1.0
A03_share_restricted,efg,2023,3812,0.0009327898354243355,1.0
A03_share_restricted,efg,2024,3790,0.0023339204994815453,1.0
A04_share_paint,ppm,2021,2960,0.00032687822243719107,1.0
A04_share_paint,ppm,2022,3422,0.00197761955609686,1.0
A04_share_paint,ppm,2023,3812,0.00019574562510480615,1.0
A04_share_paint,ppm,2024,3790,0.0005116068821291342,1.0
A04_share_paint,ts,2021,2960,0.0019747333193960467,1.0
A04_share_paint,ts,2022,3422,0.0046881287198917935,1.0
A04_share_paint,ts,2023,3812,0.0008983822620139008,1.0
A04_share_paint,ts,2024,3790,0.001956013449544414,1.0
A04_share_paint,efg,2021,2960,0.0013824161008262543,1.0
A04_share_paint,efg,2022,3422,0.002648439851664016,1.0
A04_share_paint,efg,2023,3812,0.0006911198098067547,1.0
A04_share_paint,efg,2024,3790,0.0016191487306668837,1.0
A05_share_midrange,ppm,2021,2960,0.00018895631725246334,-1.0
A05_share_midrange,ppm,2022,3422,7.054532027662396e-05,-1.0
