outcome,candidate,component,entity_level,n,scheme,n_groups,var_share_between,dr2,dr2_sign,null_mean,null_sd,p_correct_level,p_row_level_NAIVE,null_sd_row_NAIVE,inflation_correct_over_row,corr_with_ref_residual,corr_with_abs_resid,spread_y_top_minus_bottom_decile,spread_refresidual_top_minus_bottom_decile,mae_reference,mae_with_candidate,skill_vs_reference,paired_dr2_cand_minus_ref,paired_p_cluster,paired_p_row_NAIVE,dr2_over_refA,cell_key,t_correct_level,p_familywise_maxt
ppm,A01_opp_efg_allowed,between,opp_team_season,14852,between,48,1.0000000000000007,0.0015320876753114761,1.0,0.00013809632140834345,0.00018824487778120767,0.0016638935108153079,0.0016638935108153079,7.634498205035704e-05,2.465713825920368,0.029786241541695378,-0.0018084851169128699,0.02289761573285959,0.02414632175257545,0.1787762041903927,0.17802830515439358,0.004183437272236912,0.011218659843246888,0.0004997501249375312,0.0004997501249375312,0.0007711378944579797,ppm|A01_opp_efg_allowed|between,7.405202044983843,0.11813643926788686
ppm,A01_opp_efg_allowed,within,opp_team_season,14852,within,48,4.8609948449726725e-30,5.972780719752162e-05,-1.0,7.773501847021626e-05,0.00012047731134941766,0.3544093178036606,0.26788685524126454,7.05430925459966e-05,1.7078541215195828,0.029786241541695378,-0.0018084851169128699,0.02289761573285959,0.02414632175257545,0.1787762041903927,0.17802830515439358,0.004183437272236912,0.011218659843246888,0.0004997501249375312,0.0004997501249375312,0.0007711378944579797,ppm|A01_opp_efg_allowed|within,-0.14946558045662825,1.0
ppm,A02_opp_ts_allowed,between,opp_team_season,14852,between,48,1.0000000000000002,0.0014454972897215946,1.0,0.0001375592016798962,0.0001909874215627821,0.0016638935108153079,0.0016638935108153079,7.897371364664245e-05,2.4183669824282332,0.030866243999399304,0.0011409620585721455,0.026217023324029143,0.02913208870852078,0.1787762041903927,0.17802411221214107,0.004206890853609702,0.011273995764810571,0.0004997501249375312,0.0004997501249375312,0.000814218492529952,ppm|A02_opp_ts_allowed|between,6.848294392056327,0.17637271214642264
ppm,A02_opp_ts_allowed,within,opp_team_season,14852,within,48,9.994907578705222e-30,5.458971798493563e-05,-1.0,6.967797116257456e-05,0.00010338688286931062,0.3577371048252912,0.30282861896838603,7.38788946506367e-05,1.3994102559088522,0.030866243999399304,0.0011409620585721455,0.026217023324029143,0.02913208870852078,0.1787762041903927,0.17802411221214107,0.004206890853609702,0.011273995764810571,0.0004997501249375312,0.0004997501249375312,0.000814218492529952,ppm|A02_opp_ts_allowed|within,-0.14593972425604226,1.0
ppm,A03_opp_paintpts_allowed,between,opp_team_season,14852,between,48,0.9999999999999998,0.00043412458681958894,1.0,0.00014200034730542117,0.0001924103799756446,0.08319467554076539,0.004991680532445923,8.091900333220631e-05,2.3778145065099183,0.017301279444342715,0.0018745331372781269,0.026082551161088208,0.030936350766721632,0.1787762041903927,0.17807181771298658,0.003940046051408297,0.010722158125012508,0.0004997501249375312,0.0004997501249375312,0.00030678356838665,ppm|A03_opp_paintpts_allowed|between,1.5182353444296768,1.0
ppm,A03_opp_paintpts_allowed,within,opp_team_season,14852,within,48,3.2891059172868764e-30,1.7978137486572643e-05,-1.0,9.18736646528807e-05,0.00015991621513024157,0.6339434276206323,0.5590682196339434,8.829896341175126e-05,1.8110769249297796,0.017301279444342715,0.0018745331372781269,0.026082551161088208,0.030936350766721632,0.1787762041903927,0.17807181771298658,0.003940046051408297,0.010722158125012508,0.0004997501249375312,0.0004997501249375312,0.00030678356838665,ppm|A03_opp_paintpts_allowed|within,-0.4620890202167732,1.0
ppm,A04_opp_blk,between,opp_team_season,14852,between,48,0.9999999999999999,3.937241018763876e-05,1.0,0.0001333201074751766,0.0001779119665329709,0.6023294509151415,0.454242928452579,0.0001002333416049122,1.7749779034030713,0.005458492715042325,0.02198087412414591,-0.005969705314680662,-0.0053836842255060215,0.1787762041903927,0.17810485580184196,0.003755244673590674,0.010494511763335648,0.0004997501249375312,0.0004997501249375312,2.41629068404688e-05,ppm|A04_opp_blk|between,-0.5280572134540895,1.0
ppm,A04_opp_blk,within,opp_team_season,14852,within,48,2.9100392266606015e-31,3.3989230365597826e-07,-1.0,5.8528720463406605e-05,8.753518845698074e-05,0.9434276206322796,0.9384359400998337,7.795902710492435e-05,1.122835824248652,0.005458492715042325,0.02198087412414591,-0.005969705314680662,-0.0053836842255060215,0.1787762041903927,0.17810485580184196,0.003755244673590674,0.010494511763335648,0.0004997501249375312,0.0004997501249375312,2.41629068404688e-05,ppm|A04_opp_blk|within,-0.6647478480993685,1.0
ppm,A05_opp_fg3pct_allowed,between,opp_team_season,14852,between,48,0.9999999999999991,0.0010825551555045682,1.0,0.0001336910110483141,0.0001773937916289907,0.0066555740432612314,0.0016638935108153079,7.563938333448282e-05,2.3452569786898256,0.025351646965582498,-0.00495046061149906,0.01704167038541321,0.01597983668352234,0.1787762041903927,0.1780727796813556,0.003934665198999099,0.011012150439091305,0.0004997501249375312,0.0004997501249375312,0.0005098447320978526,ppm|A05_opp_fg3pct_allowed|between,5.348914050164455,0.47753743760399336
ppm,A05_opp_fg3pct_allowed,within,opp_team_season,14852,within,48,1.5195177801212103e-30,5.1536161530714026e-05,-1.0,5.839238794524214e-05,8.025120214868599e-05,0.3627287853577371,0.3144758735440932,7.365631289023518e-05,1.089535967789736,0.025351646965582498,-0.00495046061149906,0.01704167038541321,0.01597983668352234,0.1787762041903927,0.1780727796813556,0.003934665198999099,0.011012150439091305,0.0004997501249375312,0.0004997501249375312,0.0005098447320978526,ppm|A05_opp_fg3pct_allowed|within,-0.08543456335800667,1.0
