outcome,candidate,family,entity_level,n,n_entity_seasons,dr2,dr2_sign,p_N1_within_entity,p_N2_entity_swap,p_correct_level,p_familywise_maxt,p_row_level_NAIVE,spread_refresid_decile,corr_with_abs_resid,skill_vs_reference,dr2_over_refA,VERDICT
ppm,E06_pl_efg_prior,E,player_season,14844,600,0.0071709042367751,-1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,-0.0794984630574003,-0.0561321301672047,0.0070636771703763,0.0054891673132938,KEEP (lead)
ppm,C07_pl_usage_rank,C,team_season,14807,48,0.0065920292740275,-1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,-0.0425479327432132,0.1165806989258164,0.0095151202792654,0.0073816183619949,KEEP (lead)
ts,C07_pl_usage_rank,C,team_season,14042,48,0.0044734967278628,-1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,-0.0505889719631855,0.3487078308572999,0.023037637067712,0.0043357103766552,KEEP (lead)
ts,F03_minutes_load_7d,F,player_season,14079,596,0.004105979942241,1.0,0.5806988352745425,0.0016638935108153,0.5806988352745425,1.0,0.0016638935108153,0.0433199692057775,-0.2630623428957305,0.0210584507651072,0.0041256519841204,KILL
ppm,C04_teammate_usg_present,C,team_season,14852,48,0.0032997045402004,-1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,-0.0406183690118041,0.0895854443042969,0.0068412633879642,0.0035415617982278,KEEP (lead)
efg,C07_pl_usage_rank,C,team_season,13952,48,0.00314397020445,-1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,-0.0344759545766449,0.3468885687134549,0.0224376814721887,0.0030967686527376,KEEP (lead)
efg,F03_minutes_load_7d,F,player_season,13989,596,0.0030787315671721,1.0,0.7720465890183028,0.0016638935108153,0.7720465890183028,1.0,0.0016638935108153,0.0388848169086747,-0.2545563855668746,0.0213934308409317,0.0031413921160315,KILL
ts,B05_matchup_fouldraw,B,opp_team_season,14079,48,0.0029799352697799,1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0578465856194948,-0.2156501985156184,0.0228623604502243,0.0030683095550165,KEEP (lead)
ts,B03_pl_fouls_drawn_per36,B,player_season,14079,596,0.0024711059735078,1.0,0.9983361064891848,0.0016638935108153,0.9983361064891848,1.0,0.0016638935108153,0.0516003629441731,-0.2219420677310682,0.0224130613986488,0.0025641583317081,KILL
ts,E02_pl_paintpts_share,E,player_season,14036,591,0.0023201837903074,1.0,0.0033277870216306,0.0016638935108153,0.0033277870216306,0.6256239600665557,0.0016638935108153,0.0463459580400431,-0.0561338156928732,0.0217244889089436,0.002215656953354,KILL
ppm,F03_minutes_load_7d,F,player_season,14852,600,0.0022153768931159,1.0,0.8569051580698835,0.0016638935108153,0.8569051580698835,1.0,0.0016638935108153,0.0236269474274828,-0.1487421954649669,0.0058296664183393,0.0020553292020355,KILL
ts,E07_pl_2ndchance_share,E,player_season,14036,591,0.0020652958210235,1.0,0.0099833610648918,0.0016638935108153,0.0099833610648918,0.8851913477537438,0.0016638935108153,0.0655804284918238,-0.0203196396041984,0.0208536311804332,0.0021200538406041,KILL
efg,E07_pl_2ndchance_share,E,player_season,13950,591,0.0020268763181041,1.0,0.0033277870216306,0.0016638935108153,0.0033277870216306,0.7820299500831946,0.0016638935108153,0.0620102117702617,-0.0094985408427834,0.022733205604514,0.0021551267089922,KILL
efg,E02_pl_paintpts_share,E,player_season,13950,591,0.0018616706291119,1.0,0.0948419301164725,0.0016638935108153,0.0948419301164725,1.0,0.0016638935108153,0.0418528192747041,-0.0448508409694665,0.0230357022841789,0.0018556668611447,KILL
ts,B06_pl_ftpts_per36,B,player_season,14079,596,0.0017938216108652,1.0,1.0,0.0016638935108153,1.0,1.0,0.0016638935108153,0.0356616311086547,-0.2256298137630488,0.021904750364041,0.0020055489505086,KILL
ppm,B05_matchup_fouldraw,B,opp_team_season,14852,48,0.0014475382326783,1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0323969415879761,-0.0241445692969726,0.0050142153585297,0.0030384273394082,KEEP (lead)
ppm,A10_opp_defrtg,A,opp_team_season,14852,48,0.0014430974149688,1.0,0.870216306156406,0.0016638935108153,0.870216306156406,1.0,0.0016638935108153,0.0272682549561356,0.0048104039456266,0.0046671583486068,0.0015087657892969,KILL
ts,E01_pl_fg3a_share,E,player_season,14073,596,0.0012213546347136,-1.0,0.259567387687188,0.0016638935108153,0.259567387687188,1.0,0.0016638935108153,-0.0247904032526015,0.1127556630026966,0.0213365060055396,0.0011380121613497,KILL
