outcome,candidate,family,entity_level,n,n_entity_seasons,dr2,dr2_sign,p_N1_within_entity,p_N2_entity_swap,p_correct_level,p_familywise_maxt,p_row_level_NAIVE,spread_refresid_decile,corr_with_abs_resid,skill_vs_reference,dr2_over_refA,VERDICT
efg,B05_matchup_fouldraw,B,opp_team_season,13989,48,0.0012168864056619,1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0033277870216306,0.0016638935108153,0.0444354978772278,-0.1958507558487467,0.0220769636932459,0.001117987497271,KEEP (lead)
ppm,B03_pl_fouls_drawn_per36,B,player_season,14852,600,0.0011721228564671,1.0,1.0,0.0016638935108153,1.0,1.0,0.0016638935108153,0.0234345043327024,-0.0251986824299908,0.0047613028179258,0.0027391907858634,KILL
ts,A08_opp_pf,A,opp_team_season,14079,48,0.0010938711864259,1.0,0.9201331114808652,0.0016638935108153,0.9201331114808652,1.0,0.0033277870216306,0.0196169396214934,0.008204933554695,0.0212574644890115,0.0010515709858538,KILL
ts,E03_pl_blocked_rate,E,player_season,14073,596,0.0010792332771043,1.0,0.0016638935108153,0.0016638935108153,0.0016638935108153,0.0515806988352745,0.0016638935108153,0.0316368024813637,0.0313967476272742,0.0209056444660629,0.0009837718614609,KILL
ts,A02_opp_ts_allowed,A,opp_team_season,14079,48,0.0010774935524713,1.0,0.9983361064891848,0.0066555740432612,0.9983361064891848,1.0,0.0016638935108153,0.0335022813466441,0.0012389843354657,0.0210375570588535,0.0010615223744168,KILL
ts,A07_opp_ftrate_allowed,A,opp_team_season,14079,48,0.0010685854965211,1.0,0.9733777038269552,0.0016638935108153,0.9733777038269552,1.0,0.0016638935108153,0.0305140683879428,0.015363273613356,0.0211271199625487,0.0010680563781609,KILL
ppm,D02_opp_poss_per40,D,opp_team_season,14852,48,0.0010606313808426,1.0,0.6688851913477537,0.0033277870216306,0.6688851913477537,1.0,0.0016638935108153,0.0384460869983152,0.0208178350392821,0.0042221990061849,0.000960930132724,KILL
ts,E04_3pt_vs_opp_perim,E,opp_team_season,14073,48,0.0010165783981896,-1.0,0.0049916805324459,0.0016638935108153,0.0049916805324459,0.0665557404326123,0.0016638935108153,-0.0264611847889936,0.111841673373715,0.0212153461454314,0.000948354949923,KILL
efg,C02_tm_ast_per_game,C,team_season,13989,48,0.0010117240320042,1.0,0.9916805324459236,0.0016638935108153,0.9916805324459236,1.0,0.0016638935108153,0.0357562008030367,0.0034731152121757,0.0217183383968706,0.0013384951275435,KILL
efg,B03_pl_fouls_drawn_per36,B,player_season,13989,596,0.0010074027092275,1.0,0.6672212978369384,0.0016638935108153,0.6672212978369384,1.0,0.0016638935108153,0.0373410130149239,-0.2030103605762899,0.0219016863814324,0.0009220640774357,KILL
efg,C03_tm_ast_rate,C,team_season,13989,48,0.000958378388128,1.0,0.7454242928452579,0.0016638935108153,0.7454242928452579,1.0,0.0016638935108153,0.039590355310444,0.0111884522361114,0.0215054757397369,0.0012108587708351,KILL
ts,E06_pl_efg_prior,E,player_season,14073,596,0.0008841662368468,-1.0,1.0,0.0016638935108153,1.0,1.0,0.0016638935108153,-0.0065920910026154,-0.0906765088314264,0.0208576914171748,5.872369859548525e-05,KILL
ppm,C05_top_usg_teammate_out,C,team_season,14852,48,0.0008441922310471,1.0,0.0016638935108153,0.0033277870216306,0.0033277870216306,0.1747088186356073,0.0016638935108153,0.0026490897253347,-0.0016885602427343,0.0045310101675714,0.0008347323148137,KILL
ts,E05_paint_vs_opp_rim,E,opp_team_season,14036,48,0.0008266726343022,1.0,0.0066555740432612,0.0033277870216306,0.0066555740432612,0.5041597337770383,0.0016638935108153,0.0356570707503216,-0.047498472390059,0.0206899350892436,0.0007743721749091,KILL
ppm,A02_opp_ts_allowed,A,opp_team_season,14852,48,0.0008046485441452,1.0,0.8336106489184693,0.0033277870216306,0.8336106489184693,1.0,0.0033277870216306,0.0291320887085207,0.0011409620585721,0.0042068908536097,0.0008142184925299,KILL
ts,A01_opp_efg_allowed,A,opp_team_season,14079,48,0.000782667827166,1.0,0.9983361064891848,0.0116472545757071,0.9983361064891848,1.0,0.0033277870216306,0.024447320277823,-0.0027446005898908,0.0207727305199404,0.0007707631708131,KILL
ppm,A01_opp_efg_allowed,A,opp_team_season,14852,48,0.0007493126225815,1.0,0.8286189683860233,0.0049916805324459,0.8286189683860233,1.0,0.0033277870216306,0.0241463217525754,-0.0018084851169128,0.0041834372722369,0.0007711378944579,KILL
ts,C03_tm_ast_rate,C,team_season,14079,48,0.0007155613323171,1.0,0.6605657237936772,0.0033277870216306,0.6605657237936772,1.0,0.0016638935108153,0.0366078593719551,0.0092199052427544,0.0203348942836755,0.0009272149799296,KILL
efg,E03_pl_blocked_rate,E,player_season,13984,596,0.0007013349091291,1.0,0.0016638935108153,0.0099833610648918,0.0099833610648918,0.4908485856905158,0.0016638935108153,0.027260466980229,0.0465125563482925,0.0217383967124038,0.0006415937146234,KILL
ppm,B06_pl_ftpts_per36,B,player_season,14852,600,0.0006958817202603,1.0,1.0,0.0016638935108153,1.0,1.0,0.0016638935108153,-0.0050362020287848,-0.0104200855351247,0.004315778651863,0.002299146458715,KILL
efg,B06_pl_ftpts_per36,B,player_season,13989,596,0.0006945459065329,1.0,0.831946755407654,0.0099833610648918,0.831946755407654,1.0,0.0033277870216306,0.0228415993324053,-0.2084432669487556,0.0215864515079796,0.0006146606475293,KILL
ts,A10_opp_defrtg,A,opp_team_season,14079,48,0.0006940830677306,1.0,0.9983361064891848,0.0116472545757071,0.9983361064891848,1.0,0.0016638935108153,0.0265385333628357,-0.0015847927892583,0.0207852300988989,0.0007014493977903,KILL
efg,A02_opp_ts_allowed,A,opp_team_season,13989,48,0.0006914606545055,1.0,0.9983361064891848,0.0133111480865224,0.9983361064891848,1.0,0.0033277870216306,0.0286684647896548,0.0062275049740228,0.0219331189998452,0.0006755202983658,KILL
efg,A04_opp_blk,A,opp_team_season,13989,48,0.000683629175888,-1.0,0.0665557404326123,0.0099833610648918,0.0665557404326123,1.0,0.0016638935108153,-0.0284291726688232,0.0046421654105753,0.0218500787030623,0.000711873606391,KILL
efg,E01_pl_fg3a_share,E,player_season,13984,596,0.0006740858203664,-1.0,0.3427620632279534,0.0033277870216306,0.3427620632279534,1.0,0.0049916805324459,-0.0180030108763989,0.0976535009063813,0.0220188764362416,0.0005813660481797,KILL
ts,C02_tm_ast_per_game,C,team_season,14079,48,0.000668175265454,1.0,0.9816971713810316,0.0016638935108153,0.9816971713810316,1.0,0.0033277870216306,0.0331308328998523,0.0041460779656138,0.0206226582033863,0.000894027189072,KILL
ts,A04_opp_blk,A,opp_team_season,14079,48,0.000652738534702,-1.0,0.1131447587354409,0.021630615640599,0.1131447587354409,1.0,0.0083194675540765,-0.0276593273834971,0.0092209982466475,0.0205522856087418,0.0006703717020488,KILL
efg,A07_opp_ftrate_allowed,A,opp_team_season,13989,48,0.000614514813235,1.0,0.831946755407654,0.0066555740432612,0.831946755407654,1.0,0.0033277870216306,0.0283250163255268,0.0207564074085267,0.0217242803163779,0.0006173615604704,KILL
efg,E04_3pt_vs_opp_perim,E,opp_team_season,13984,48,0.0005848782544098,-1.0,0.0116472545757071,0.0033277870216306,0.0116472545757071,0.4742096505823627,0.0016638935108153,-0.0240778314926583,0.0967600588153494,0.0219638071036488,0.000505224216538,KILL
efg,E05_paint_vs_opp_rim,E,opp_team_season,13950,48,0.0005817305455395,1.0,0.021630615640599,0.0099833610648918,0.021630615640599,0.8935108153078203,0.0083194675540765,0.0272966626571417,-0.0398619725355203,0.0218785211541622,0.0005781995216029,KILL
ppm,A09_opp_stl,A,opp_team_season,14852,48,0.0005495909567453,-1.0,0.3693843594009983,0.021630615640599,0.3693843594009983,1.0,0.0033277870216306,-0.0236329282926566,-0.002764564120663,0.00415229217551,0.0005913609041371,KILL
ppm,A05_opp_fg3pct_allowed,A,opp_team_season,14852,48,0.000542803218426,1.0,0.8252911813643927,0.0083194675540765,0.8252911813643927,1.0,0.0033277870216306,0.0159798366835223,-0.004950460611499,0.003934665198999,0.0005098447320978,KILL
efg,F04_load_x_fg3a_share,F,player_season,13984,596,0.0005328351804322,1.0,0.7587354409317804,0.0133111480865224,0.7587354409317804,1.0,0.0099833610648918,0.0169458297259888,-0.1050781166341969,0.0208700501301841,0.0006331251752005,KILL
efg,A01_opp_efg_allowed,A,opp_team_season,13989,48,0.0005276445804308,1.0,0.9966722129783694,0.0266222961730449,0.9966722129783694,1.0,0.0033277870216306,0.0209971896219053,0.0004681242320756,0.0217769205606253,0.0005140716528436,KILL
ts,F04_load_x_fg3a_share,F,player_season,14073,596,0.0005247443974346,1.0,0.8036605657237936,0.0116472545757071,0.8036605657237936,1.0,0.0116472545757071,0.0206532961589917,-0.1024099310544237,0.0200284186682153,0.0006030994929165,KILL
ppm,A11_opp_fastbreak_allowed,A,opp_team_season,14852,48,0.0005189846405038,1.0,0.891846921797005,0.0099833610648918,0.891846921797005,1.0,0.0016638935108153,0.0149742548725885,0.0170804536604731,0.0040613607134527,0.0005461939218197,KILL
ts,C04_teammate_usg_present,C,team_season,14079,48,0.0004907097327293,-1.0,0.0116472545757071,0.021630615640599,0.021630615640599,0.8851913477537438,0.0099833610648918,-0.0105387032910216,0.2182195978740489,0.0205801585480687,0.0004701680682395,KILL
efg,A08_opp_pf,A,opp_team_season,13989,48,0.0004872454248958,1.0,0.9018302828618968,0.0349417637271214,0.9018302828618968,1.0,0.0066555740432612,0.0137779386311162,0.0147183431745645,0.0216916860716734,0.0004636736915619,KILL
ppm,A08_opp_pf,A,opp_team_season,14852,48,0.000408389490025,1.0,0.5906821963394343,0.0615640599001663,0.5906821963394343,1.0,0.0083194675540765,0.0130705516698178,0.0031984520599532,0.0040875528667098,0.0003581100251306,KILL
efg,A10_opp_defrtg,A,opp_team_season,13989,48,0.0003828278148327,1.0,0.9983361064891848,0.0399334442595673,0.9983361064891848,1.0,0.0249584026622296,0.0235815659695955,0.0025482136135594,0.0216189244189236,0.0003902260120505,KILL
efg,A06_opp_fg3a_share_allowed,A,opp_team_season,13989,48,0.0003681131313433,1.0,0.0099833610648918,0.0482529118136439,0.0482529118136439,0.9883527454242927,0.0282861896838602,0.0094149375590747,0.0190673339239202,0.021311255793817,0.0003664538699598,KILL
ts,A05_opp_fg3pct_allowed,A,opp_team_season,14079,48,0.0003636478600497,1.0,0.9833610648918468,0.0765391014975041,0.9833610648918468,1.0,0.0282861896838602,0.018267902683114,-0.004311868528967,0.0204604185817007,0.0003374524629159,KILL
ts,D02_opp_poss_per40,D,opp_team_season,14079,48,0.0003571286849211,1.0,0.5224625623960066,0.086522462562396,0.5224625623960066,1.0,0.021630615640599,0.0123871803045174,-0.0012410745565584,0.0207103572543541,0.0003361846729167,KILL
ts,B04_matchup_ftrate,B,opp_team_season,14073,48,0.0003394908838741,1.0,0.0881863560732113,0.0415973377703826,0.0881863560732113,1.0,0.0299500831946755,0.0326307516243976,-0.037063409156093,0.02071573766458,0.0004569124627345,KILL
ts,A06_opp_fg3a_share_allowed,A,opp_team_season,14079,48,0.0003265169337849,1.0,0.0116472545757071,0.0831946755407653,0.0831946755407653,1.0,0.0366056572379367,0.0088675143935815,0.0124601518988511,0.0204546845102943,0.0003193687085601,KILL
ppm,F04_load_x_fg3a_share,F,player_season,14844,600,0.0003090732032386,1.0,0.9018302828618968,0.0249584026622296,0.9018302828618968,1.0,0.0249584026622296,0.0211795301007226,-0.07932968252525,0.004316805430422,0.0002824859230103,KILL
efg,D02_opp_poss_per40,D,opp_team_season,13989,48,0.0002621992172332,1.0,0.281198003327787,0.1447587354409318,0.281198003327787,1.0,0.0765391014975041,0.0062728216755131,-0.0021794535324571,0.021536139136178,0.0002491575264954,KILL
ppm,A03_opp_paintpts_allowed,A,opp_team_season,14852,48,0.0002528109043472,1.0,0.6921797004991681,0.1397670549084858,0.6921797004991681,1.0,0.0332778702163061,0.0309363507667216,0.0018745331372781,0.0039400460514082,0.0003067835683866,KILL
ts,D01_tm_poss_per40,D,team_season,14079,48,0.0002284599536457,-1.0,0.4226289517470882,0.1131447587354409,0.4226289517470882,1.0,0.0798668885191347,-0.0132677373229223,0.0166259410994348,0.020278293123692,0.0002415686784558,KILL
efg,D01_tm_poss_per40,D,team_season,13989,48,0.0002267604906637,-1.0,0.4126455906821963,0.1397670549084858,0.4126455906821963,1.0,0.0798668885191347,-0.0127106910522675,0.0081517264774333,0.0212985926203655,0.0002464411237913,KILL
efg,C08_vacated_usg,C,team_season,13989,48,0.0002195629467338,-1.0,0.1098169717138103,0.1996672212978369,0.1996672212978369,1.0,0.1064891846921797,-0.0069961887988452,-0.036413364794843,0.0216329598928217,0.0002291403211019,KILL
efg,C06_top_usg_teammate_out_lastgame,C,team_season,13989,48,0.0001988274479443,-1.0,0.1214642262895174,0.1098169717138103,0.1214642262895174,1.0,0.0981697171381031,-0.0011552272696993,0.0095709971557136,0.0214314291701042,0.0002087690559753,KILL
ppm,A07_opp_ftrate_allowed,A,opp_team_season,14852,48,0.0001962917011716,1.0,0.9217970049916804,0.173044925124792,0.9217970049916804,1.0,0.0782029950083194,0.0092910817080096,0.0059534257410334,0.003985140239003,0.0001867123326915,KILL
ppm,D03_pace_sum,D,team_season,14852,48,0.0001906312005377,1.0,0.0482529118136439,0.0332778702163061,0.0482529118136439,0.9650582362728786,0.0665557404326123,0.01005647917653,0.0233471215411859,0.0038961142396267,0.0001716146499761,KILL
ppm,D01_tm_poss_per40,D,team_season,14852,48,0.0001872837330493,-1.0,0.016638935108153,0.0582362728785357,0.0582362728785357,0.9900166389351082,0.0732113144758735,-0.0171625324851169,0.0122485299245048,0.003821067199595,0.0001712829384751,KILL
ppm,A12_opp_2ndchance_allowed,A,opp_team_season,14852,48,0.0001863534582531,1.0,0.5257903494176372,0.1447587354409318,0.5257903494176372,1.0,0.0848585690515806,0.0097901226114678,-0.0017385147483803,0.0040394014773126,0.0002099822487478,KILL
ts,B01_pl_ftrate,B,player_season,14073,596,0.0001651112563206,1.0,0.9916805324459236,0.1913477537437604,0.9916805324459236,1.0,0.1231281198003327,0.0315288392602197,-0.0413019937180636,0.0205071545275964,0.0002622979541381,KILL
ts,C08_vacated_usg,C,team_season,14079,48,0.0001508634631706,-1.0,0.1663893510815307,0.2845257903494176,0.2845257903494176,1.0,0.1314475873544093,-0.003881874154129,-0.0367422113595457,0.020684454174417,0.0001602430467959,KILL
ts,C06_top_usg_teammate_out_lastgame,C,team_season,14079,48,0.0001351769176862,-1.0,0.1713810316139767,0.194675540765391,0.194675540765391,1.0,0.1813643926788685,-0.0009186087510254,0.0070817354385626,0.0203875976987657,0.0001461865840217,KILL
ppm,C08_vacated_usg,C,team_season,14852,48,0.0001290389187462,1.0,0.08153078202995,0.1963394342762063,0.1963394342762063,1.0,0.1364392678868552,0.0074683416621821,-0.0449776077394207,0.0040488325318548,0.0001644658083005,KILL
ts,A11_opp_fastbreak_allowed,A,opp_team_season,14079,48,0.0001256960371241,1.0,0.9417637271214644,0.2212978369384359,0.9417637271214644,1.0,0.1497504159733777,0.0188860360150102,0.0102075819109949,0.0203898424614552,0.0001388443907106,KILL
efg,C04_teammate_usg_present,C,team_season,13989,48,0.0001182487824824,-1.0,0.2445923460898502,0.3294509151414309,0.3294509151414309,1.0,0.2279534109816971,-0.0053639753532707,0.2123880437991058,0.0211676824130271,0.0001139919364765,KILL
ppm,D05_transition_x_pace,D,team_season,14784,48,0.0001140927938377,1.0,0.1480865224625624,0.1913477537437604,0.1913477537437604,1.0,0.1747088186356073,0.0024386419958304,-0.0112512872374956,0.004911607250845,5.531316310629942e-05,KILL
ts,B02_pl_ftpct,B,player_season,13670,572,0.0001099541850482,1.0,0.9966722129783694,0.232945091514143,0.9966722129783694,1.0,0.21630615640599,-0.0130366430173036,-0.0684060482822136,0.0185521291243117,0.0002106680017123,KILL
efg,B04_matchup_ftrate,B,opp_team_season,13984,48,0.0001068358861891,1.0,0.2895174708818636,0.3078202995008319,0.3078202995008319,1.0,0.2196339434276206,0.0262720565068029,-0.0056451916340613,0.0213525333909726,9.691192886358795e-05,KILL
ppm,D04_pl_fastbreak_share,D,player_season,14784,596,0.0001050671538916,1.0,0.3810316139767055,0.2096505823627288,0.3810316139767055,1.0,0.1846921797004991,0.0032702243416843,-0.0119182049945902,0.0049071312682148,4.838363272223358e-05,KILL
ts,F01_b2b_x_fg3a_share,F,player_season,14073,596,0.0001043024820088,-1.0,0.2645590682196339,0.2146422628951747,0.2645590682196339,1.0,0.2079866888519135,-0.0005339048648736,0.0149823078755296,0.0202738815978505,0.0001034193501537,KILL
efg,C05_top_usg_teammate_out,C,team_season,13989,48,0.0001014935213636,-1.0,0.2628951747088186,0.2445923460898502,0.2628951747088186,1.0,0.232945091514143,-0.0093624023078092,-0.0152288278578795,0.0213713314336744,0.0001132534753775,KILL
efg,A05_opp_fg3pct_allowed,A,opp_team_season,13989,48,9.912886258341509e-05,1.0,0.9983361064891848,0.3011647254575707,0.9983361064891848,1.0,0.2512479201331115,0.0127753522428986,-0.0025153241658786,0.0212870858189528,8.549732884741161e-05,KILL
ppm,E01_pl_fg3a_share,E,player_season,14844,600,9.544676853532186e-05,-1.0,0.951747088186356,0.2296173044925124,0.951747088186356,1.0,0.1963394342762063,-0.0028175590239816,0.0318705105453616,0.0040401453796492,0.0001113986997327,KILL
efg,F01_b2b_x_fg3a_share,F,player_season,13984,596,8.836297159213439e-05,-1.0,0.3643926788685524,0.2445923460898502,0.3643926788685524,1.0,0.2512479201331115,-0.0005797742677097,0.0154056788004006,0.0212695043420393,8.421469516860454e-05,KILL
efg,A11_opp_fastbreak_allowed,A,opp_team_season,13989,48,8.626973875956535e-05,1.0,0.9717138103161398,0.2645590682196339,0.9717138103161398,1.0,0.232945091514143,0.0175783953684952,0.0123733539421541,0.0213257441099045,9.737305401282436e-05,KILL
efg,B02_pl_ftpct,B,player_season,13592,572,8.61814872065798e-05,1.0,0.7437603993344426,0.2945091514143095,0.7437603993344426,1.0,0.2762063227953411,-0.0117572222472745,-0.0728353097103329,0.0200496754344764,7.852366402783321e-05,KILL
ppm,B01_pl_ftrate,B,player_season,14844,600,8.501063333839867e-05,-1.0,0.108153078202995,0.2412645590682196,0.2412645590682196,1.0,0.1930116472545757,-0.0072318076596567,0.0055308422986011,0.0039261298174749,9.338224495916204e-06,KILL
efg,G01_noise,G,player_season,13989,596,7.51432320542724e-05,-1.0,0.302828618968386,0.3144758735440932,0.3144758735440932,1.0,0.281198003327787,-0.0166269040356838,0.0076789356180302,0.0213408107764567,7.86255266816581e-05,KILL
ts,G01_noise,G,player_season,14079,596,6.561543364079213e-05,-1.0,0.3211314475873544,0.3261231281198003,0.3261231281198003,1.0,0.3394342762063227,-0.0159727460050511,0.0042838300214179,0.0203766870276548,7.07245140059797e-05,KILL
ppm,B02_pl_ftpct,B,player_season,14326,576,6.1929532793812e-05,-1.0,0.5657237936772047,0.3377703826955074,0.5657237936772047,1.0,0.302828618968386,-0.0198252036908309,-0.0381620145580976,0.0055812008663174,4.777587377644948e-06,KILL
ppm,E07_pl_2ndchance_share,E,player_season,14784,596,6.189791308908391e-05,1.0,0.5041597337770383,0.3094841930116472,0.5041597337770383,1.0,0.2895174708818636,0.0149863388716883,0.0108073720562351,0.0049348631307165,9.413333573280334e-05,KILL
ppm,G01_noise,G,player_season,14852,600,6.114331426763589e-05,-1.0,0.3444259567387687,0.2961730449251248,0.3444259567387687,1.0,0.281198003327787,-0.0098070930881424,-0.0083170233502929,0.0037996982423386,5.046773409468084e-05,KILL
efg,F02_b2b_x_ftrate,F,player_season,13984,596,6.040173476908335e-05,-1.0,0.3843594009983361,0.3211314475873544,0.3843594009983361,1.0,0.3427620632279534,-0.0003881736695548,0.0041682145141508,0.0211944072962839,5.732014410587276e-05,KILL
ts,C05_top_usg_teammate_out,C,team_season,14079,48,5.354324114960652e-05,-1.0,0.3444259567387687,0.415973377703827,0.415973377703827,1.0,0.3693843594009983,-0.0065810350045079,-0.0199197477119297,0.0203953506300987,6.508918666036489e-05,KILL
ppm,E04_3pt_vs_opp_perim,E,opp_team_season,14844,48,5.2395774271120006e-05,-1.0,0.4242928452579035,0.3577371048252912,0.4242928452579035,1.0,0.3194675540765391,-0.0078675170873359,0.0315792984441421,0.0040025794449706,6.538618819230355e-05,KILL
ppm,B04_matchup_ftrate,B,opp_team_season,14844,48,5.2050877785394153e-05,-1.0,0.3793677204658902,0.3261231281198003,0.3793677204658902,1.0,0.3061564059900166,-0.013636376976803,0.0072483494047364,0.003897666715956,4.367422881553025e-06,KILL
ppm,C01_tm_usage_hhi,C,team_season,14852,48,4.593205067656274e-05,1.0,0.2346089850249584,0.3427620632279534,0.3427620632279534,1.0,0.3960066555740432,0.0141104826316354,0.0240185461852904,0.0037379451027519,3.3637963237268414e-05,KILL
ppm,F02_b2b_x_ftrate,F,player_season,14844,600,4.001237137004108e-05,-1.0,0.3743760399334442,0.3643926788685524,0.3743760399334442,1.0,0.3777038269550749,-0.000280829735029,-0.0050667854839511,0.0038857589750732,3.092133810189172e-05,KILL
efg,C01_tm_usage_hhi,C,team_season,13989,48,3.990926725473752e-05,1.0,0.6455906821963394,0.589018302828619,0.6455906821963394,1.0,0.4841930116472546,0.0131865360972603,0.0249052975992138,0.0213577146313381,5.770863258864049e-05,KILL
ts,C01_tm_usage_hhi,C,team_season,14079,48,3.6997167646490486e-05,1.0,0.5474209650582362,0.5956738768718802,0.5956738768718802,1.0,0.5757071547420965,0.0136141831379923,0.0260793126450055,0.0205043856402242,5.073038882738266e-05,KILL
ts,F02_b2b_x_ftrate,F,player_season,14073,596,3.459668574063443e-05,-1.0,0.5524126455906821,0.4725457570715474,0.5524126455906821,1.0,0.4891846921797005,-0.0003041884022018,-0.0045687902641189,0.0201909632514043,3.43571172646269e-05,KILL
efg,B01_pl_ftrate,B,player_season,13984,596,3.4157650143455665e-05,1.0,0.6638935108153078,0.5324459234608985,0.6638935108153078,1.0,0.4958402662229617,0.0279268180003248,-0.0093687061004085,0.0212817952512364,3.0263679759543408e-05,KILL
ppm,A04_opp_blk,A,opp_team_season,14852,48,2.516454267036495e-05,1.0,0.5424292845257903,0.6622296173044925,0.6622296173044925,1.0,0.5357737104825291,-0.005383684225506,0.0219808741241459,0.0037552446735906,2.41629068404688e-05,KILL
ts,A03_opp_paintpts_allowed,A,opp_team_season,14079,48,2.206976233947405e-05,-1.0,0.5241264559068219,0.6921797004991681,0.6921797004991681,1.0,0.5856905158069884,0.0043838859917939,-0.0096120782680745,0.0203020587266991,1.3659085077097744e-05,KILL
ppm,C06_top_usg_teammate_out_lastgame,C,team_season,14852,48,2.1996310590308996e-05,1.0,0.5058236272878536,0.5158069883527454,0.5158069883527454,1.0,0.5391014975041597,0.0003785205571837,0.0055264235990802,0.0039013940325849,8.889573280073338e-06,KILL
