candidate,n,corr_cand_future,corr_ref_future,dr2_over_ref_predicting_future,reads_future_flag,skipped
A01_opp_efg_allowed,14252,0.004768797027214734,0.6741257054561617,2.8846134444140595e-05,False,False
A02_opp_ts_allowed,14252,0.0025482277331603702,0.6741257054561617,2.457283430596266e-05,False,False
A03_opp_paintpts_allowed,14252,-0.006118504842943114,0.6741257054561617,1.266937998033469e-05,False,False
A04_opp_blk,14252,-0.01251440075660459,0.6741257054561617,7.859116807923802e-05,False,False
A05_opp_fg3pct_allowed,14252,0.007244713951859963,0.6741257054561617,4.4585474152946263e-05,False,False
A06_opp_fg3a_share_allowed,14252,0.005421944459987958,0.6741257054561617,2.4488911724460434e-05,False,False
A07_opp_ftrate_allowed,14252,-0.010583980876487388,0.6741257054561617,1.089557013553735e-05,False,False
A08_opp_pf,14252,-0.008855327732587834,0.6741257054561617,1.8776129925659886e-05,False,False
A09_opp_stl,14252,-0.006686397597022104,0.6741257054561617,1.6930369381758415e-05,False,False
A10_opp_defrtg,14252,0.0016063108362985273,0.6741257054561617,2.784985769547618e-05,False,False
A11_opp_fastbreak_allowed,14252,0.0014185970204086806,0.6741257054561617,2.560350243136359e-05,False,False
A12_opp_2ndchance_allowed,14252,-0.00405871945472384,0.6741257054561617,5.129324370967794e-07,False,False
B01_pl_ftrate,14244,0.09206806535539903,0.6735995973473147,0.00011159981356264438,False,False
B02_pl_ftpct,13750,0.1511604470736824,0.685303140787286,0.00017056487103482397,False,False
B03_pl_fouls_drawn_per36,14252,0.46259282157387743,0.6741257054561617,0.00267103355742328,False,False
B04_matchup_ftrate,14244,0.08733071032528637,0.6735995973473147,0.00010162569123279356,False,False
B05_matchup_fouldraw,14252,0.4502063146567823,0.6741257054561617,0.0022673099518054868,False,False
B06_pl_ftpts_per36,14252,0.5131114169908341,0.6741257054561617,0.0033133025026926264,False,False
C01_tm_usage_hhi,14252,0.013992953253146674,0.6741257054561617,0.00028338365509877466,False,False
C02_tm_ast_per_game,14252,0.043836835774328564,0.6741257054561617,0.00015202029577037417,False,False
C03_tm_ast_rate,14252,0.02069944238758105,0.6741257054561617,1.0767748909803555e-05,False,False
C04_teammate_usg_present,14252,-0.3012684774742613,0.6741257054561617,0.004613471908749579,False,False
C05_top_usg_teammate_out,14252,0.021799453103434587,0.6741257054561617,0.0005262962694383394,False,False
C06_top_usg_teammate_out_lastgame,14252,-0.015872605258688974,0.6741257054561617,0.00013775445677106598,False,False
C07_pl_usage_rank,14209,-0.5770027382900448,0.6741845718064259,0.017587974060525174,False,False
C08_vacated_usg,14252,-0.03792227141423857,0.6741257054561617,7.906873223970585e-05,False,False
D01_tm_poss_per40,14252,-0.02728071929790966,0.6741257054561617,0.0025565918855294774,False,False
D02_opp_poss_per40,14252,0.00041400742674898715,0.6741257054561617,2.761760650111056e-05,False,False
D03_pace_sum,14252,-0.018600608280380175,0.6741257054561617,0.0009767760229984393,False,False
D04_pl_fastbreak_share,14188,0.041040085605940316,0.6738933308015653,0.00019330924796079907,False,False
D05_transition_x_pace,14188,0.04066780317623048,0.6738933308015653,0.0001721096859533984,False,False
D06_tm_fastbreak_pts,14252,0.019252556755486417,0.6741257054561617,6.90928422950897e-05,False,False
E01_pl_fg3a_share,14244,-0.1325256642332356,0.6735995973473147,0.0011704412386368543,False,False
E02_pl_paintpts_share,14188,0.01551439374038389,0.6738933308015653,2.2313136544169097e-05,False,False
E03_pl_blocked_rate,14244,-0.05575239717009746,0.6735995973473147,0.0003451352647586955,False,False
E04_3pt_vs_opp_perim,14244,-0.12990500705213193,0.6735995973473147,0.0011077334612094355,False,False
E05_paint_vs_opp_rim,14188,0.009610329911985085,0.6738933308015653,3.3724139462557914e-07,False,False
E06_pl_efg_prior,14244,0.17084769423102777,0.6735995973473147,0.017564099533202898,False,False
E07_pl_2ndchance_share,14188,0.028258534383749104,0.6738933308015653,0.0001981392884280441,False,False
F01_b2b_x_fg3a_share,14244,-0.01320758920720752,0.6735995973473147,4.129667180727392e-05,False,False
F02_b2b_x_ftrate,14244,0.006672464295161744,0.6735995973473147,1.721003899614582e-05,False,False
F03_minutes_load_7d,14252,0.3360424223160286,0.6741257054561617,0.005386619405954079,False,False
F04_load_x_fg3a_share,14244,0.1442131809464964,0.6735995973473147,0.0003554471534496678,False,False
G01_noise,14252,-0.008723032861776862,0.6741257054561617,2.0952964732492282e-05,False,False
