family,cells,candidates,max_dr2,cleared_N1_p05,cleared_N2_p05,cleared_BOTH_p05,cleared_FAMILYWISE_p05,would_clear_ROW_NAIVE_p05,family_name
A,36,12,0.0014430974149688,2,19,1,0,23,opponent defensive matchup quality
B,18,6,0.0029799352697799,3,10,3,3,10,foul-draw / free-throw channel
C,24,8,0.0065920292740275,6,10,6,4,10,teammate context
D,18,6,0.0010606313808426,2,2,1,0,2,pace / transition
E,21,7,0.0071709042367751,10,14,10,1,14,shot-mix / shot-quality proxy
F,12,4,0.004105979942241,0,6,0,0,6,rest & load x shooting (interactions only)
G,3,1,7.51432320542724e-05,0,0,0,0,0,negative control
