game_id,team_id,season,def_poss,def_tov,def_pts_allowed,game_date,def_is_home,def_tov_rate,def_pts_rate,s_poss,s_tov,s_pts,pressure_loo,defrtg_loo,pressure_pregame,pregame_games,pressure_pregame_venue,pregame_venue_games,defrtg_pregame
1022100001,1611661313,2021,84,11,87,2021-05-14,1,13.095238095238095,103.57142857142857,2678,407,2819,15.265998457979954,105.31996915959907,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100001,1611661325,2021,83,14,90,2021-05-14,0,16.867469879518072,108.43373493975903,2503,391,2724,15.578512396694215,108.84297520661157,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100002,1611661323,2021,78,14,67,2021-05-14,0,17.94871794871795,85.8974358974359,2749,514,2571,18.71958068139274,93.74766005241483,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100002,1611661330,2021,78,21,78,2021-05-14,1,26.923076923076923,100.0,2569,496,2698,19.0686471296668,105.17864311521477,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100003,1611661317,2021,82,14,75,2021-05-14,0,17.073170731707318,91.46341463414635,3384,475,3473,13.961235614778921,102.90732889158086,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100003,1611661324,2021,83,11,77,2021-05-14,1,13.25301204819277,92.7710843373494,2647,458,2608,17.433697347893915,98.71294851794072,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100004,1611661320,2021,90,27,94,2021-05-14,1,30.0,104.44444444444444,2516,578,2467,22.712283594394066,97.81533388293487,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100004,1611661321,2021,90,15,71,2021-05-14,0,16.666666666666668,78.88888888888889,2600,424,2694,16.294820717131476,104.5019920318725,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100005,1611661322,2021,80,15,70,2021-05-15,1,18.75,87.5,2553,457,2676,17.87302871006874,105.37808329963607,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100005,1611661329,2021,81,16,56,2021-05-15,0,19.753086419753085,69.1358024691358,3427,638,3380,18.589360430364614,99.34249850567842,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100006,1611661319,2021,85,11,97,2021-05-15,0,12.941176470588236,114.11764705882354,3061,448,3023,14.684139784946236,98.31989247311827,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100006,1611661328,2021,84,5,83,2021-05-15,1,5.9523809523809526,98.80952380952381,2681,450,2657,17.135155949172123,99.11436272622257,17.190122272836252,0,17.190122272836252,0,101.26468472788301
1022100007,1611661313,2021,88,21,65,2021-05-16,0,23.863636363636363,73.86363636363636,2678,407,2819,14.903474903474903,106.33204633204633,15.978959347067782,1,15.978959347067782,0,101.94696107597396
1022100007,1611661325,2021,88,23,73,2021-05-16,1,26.136363636363637,82.95454545454545,2503,391,2724,15.238095238095237,109.77225672877847,17.09549277232244,1,17.09549277232244,0,103.36726835892793
