universe,n_rows,mae_b1_carry,mae_b3_carry,mae_b3_rsfrozen,bias_b3_carry,bias_b3_rsfrozen,actual_min_mean,actual_min_sd
PO 2021-2025,1940,5.8035,4.8312,5.8918,0.0075,-0.3112,22.1395,12.3537
RS 2021-2025 (same seasons),21308,5.5676,4.7904,4.7904,-0.0408,-0.0408,21.4567,10.36
PO 2021,320,6.9016,5.5258,6.3921,0.089,-0.1556,21.8751,12.1704
RS 2021,3410,5.8691,5.101,5.101,-0.0657,-0.0657,21.8698,10.0966
PO 2022,423,5.5812,4.5109,5.2172,0.0844,-0.1523,21.8678,11.3687
RS 2022,3930,5.5643,4.7606,4.7606,0.1594,0.1594,21.3077,9.9758
PO 2023,354,5.1868,4.8523,6.1059,0.0411,0.05,22.7403,13.3099
RS 2023,4387,5.4718,4.6899,4.6899,-0.1575,-0.1575,21.3645,10.8026
PO 2024,398,5.7657,4.819,6.2089,0.075,-0.2712,22.3623,13.0496
RS 2024,4356,5.4334,4.6903,4.6903,-0.0515,-0.0515,21.5038,10.8602
PO 2025,445,5.7495,4.6302,5.7195,-0.2111,-0.8972,21.9106,11.9834
RS 2025,5225,5.5656,4.7778,4.7778,-0.0684,-0.0684,21.3371,9.9969
PO started_last=0,874,5.6148,4.9315,5.8672,1.5671,3.0943,11.9355,8.5226
PO started_last=1,1066,5.9582,4.749,5.9121,-1.2711,-3.1033,30.5056,7.9253
RS started_last=0,9950,5.6338,5.0352,5.0352,-0.2688,-0.2688,13.9252,8.094
RS started_last=1,11358,5.5096,4.5758,4.5758,0.1589,0.1589,28.0545,7.1231
