split,n_games,bookie_mae,bookie_mae_t65,mean_n_books,mean_abs_margin,n_model_games,model_str_mae,bookie_mae_same_games,model_minus_bookie_gap
RS 2022,180,9.0137,9.0129,12.3389,11.0167,,,,
RS 2023,239,9.2869,9.2869,14.7029,11.7113,,,,
PO 2023,20,10.2032,10.2032,14.9,14.05,,,,
RS 2024,239,8.6832,8.6832,10.841,10.8536,206.0,9.1475,8.6953,0.4522
PO 2024,22,5.5444,5.5444,9.7273,9.0455,22.0,7.1508,5.5444,1.6063
RS 2025,286,10.4473,10.4473,10.5,12.2867,252.0,10.9915,10.5839,0.4076
PO 2025,24,10.3561,10.3561,11.0,10.6667,24.0,10.4443,10.3561,0.0883
RS 2026,209,10.1254,10.1254,10.9474,11.2727,,,,
PO pooled 2023-2025,66,8.7059,8.7059,11.7576,11.1515,,,,
RS pooled 2023-2025 (same seasons w/ PO odds),764,9.5325,9.5325,11.9215,11.6584,,,,
RS pooled 2023-2025 both-playoff-teams,303,10.0103,10.0103,11.9505,11.4785,,,,
PO 2024-2025 (chanreval overlap),46,8.0549,8.0549,10.3913,9.8913,46.0,8.8691,8.0549,0.8143
RS 2024-2025 (chanreval overlap),525,9.6442,9.6442,10.6552,11.6343,458.0,10.1621,9.7344,0.4277
