game_id,season,season_type,game_date,team_id,team_abbreviation,opp_team_id,opp_team_abbreviation,is_home,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,points_paint,points_fast_break,points_second_chance,points_off_turnovers,fouls_drawn,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_plus_minus,opp_points_paint,opp_points_fast_break,opp_points_second_chance,opp_points_off_turnovers,opp_fouls_drawn,box_source,opp_box_source,in_misc,era,source,observed_time,ch_ft,ch_3pt,pts_2s,ch_paint,ch_np2,box_poss,pbp_poss,ft_rate,fg3a_share,paint_share,reg_factor,pts_per100,ch_ft_per100,ch_3pt_per100,ch_paint_per100,ch_np2_per100,fta_per100,fg3a_per100,pf_per100,box_poss_reg,prior_games,pred_ch_ft,abserr_ch_ft,pred_ch_3pt,abserr_ch_3pt,pred_ch_paint,abserr_ch_paint,pred_ch_np2,abserr_ch_np2,pred_pts_sum,abserr_pts_sum,series_id,series_game_num
1042100101,2021,Playoffs,2021-09-23,1611661313,NYL,1611661317,PHO,0,L,200.0,32.0,69.0,0.464,12.0,28.0,0.429,6.0,7.0,0.857,6.0,25,31,19,5,4,10.0,22.0,82.0,-1,34.0,5,15,17,15,28,67,0.418,12,32,0.375,15,18,0.833,7,28,35,20,3,5,10,15,83.0,1,30,8,11,9,22,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_playoffs.parquet+misc_1042100101.parquet,2026-07-31T12:30:09+00:00,6.0,36.0,40.0,34.0,6.0,76.08,74.0,0.10144927536231885,0.4057971014492754,0.4146341463414634,1.0,107.78128286014721,7.886435331230284,47.31861198738171,44.689800210304945,7.886435331230284,9.200841219768664,36.80336487907466,28.916929547844376,76.08,32,11.512522729342576,5.512522729342576,29.313183540937818,6.686816459062182,30.269728727142894,3.730271272857106,6.217705346262892,0.21770534626289173,77.31314034368617,4.686859656313828,2021_1611661313-1611661317,1
1042200111,2022,Playoffs,2022-08-17,1611661313,NYL,1611661329,CHI,0,W,200.0,37.0,75.0,0.493,11.0,25.0,0.44,13.0,14.0,0.929,6.0,28,34,28,8,3,8.0,18.0,98.0,7,40.0,11,7,14,12,34,72,0.472,7,25,0.28,16,22,0.727,8,29,37,21,4,6,10,12,91.0,-7,50,17,11,10,18,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2022_playoffs.parquet+misc_1042200111.parquet,2026-07-30T17:02:53+00:00,13.0,33.0,52.0,40.0,12.0,83.16,80.0,0.18666666666666668,0.3333333333333333,0.40816326530612246,1.0,117.84511784511785,15.632515632515632,39.682539682539684,48.1000481000481,14.430014430014431,16.835016835016837,30.062530062530065,21.645021645021647,83.16,36,13.018090191203322,0.018090191203322448,29.69380011008503,3.3061998899149714,31.78387300181825,8.21612699818175,6.556823305501327,5.443176694498673,81.05258660860792,16.947413391392075,2022_1611661313-1611661329,1
1042200112,2022,Playoffs,2022-08-20,1611661313,NYL,1611661329,CHI,0,L,200.0,20.0,60.0,0.333,3.0,20.0,0.15,19.0,21.0,0.905,3.0,25,28,15,7,2,19.0,13.0,62.0,-38,24.0,5,0,13,18,40,78,0.513,6,22,0.273,14,14,1.0,10,35,45,28,14,3,10,18,100.0,38,60,20,15,25,13,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2022_playoffs.parquet+misc_1042200112.parquet,2026-07-30T17:02:53+00:00,19.0,9.0,34.0,24.0,10.0,85.24,85.0,0.35,0.3333333333333333,0.3870967741935484,1.0,72.73580478648522,22.290004692632568,10.558423275457532,28.155795401220086,11.731581417175036,24.636320976067577,23.463162834350072,15.251055842327547,85.24,37,13.016243734132622,5.9837562658673775,29.888257349615653,20.888257349615653,32.267112197540484,8.267112197540484,6.876968834971074,3.1230311650289257,82.04858211625984,20.048582116259837,2022_1611661313-1611661329,2
1042200113,2022,Playoffs,2022-08-23,1611661313,NYL,1611661329,CHI,1,L,200.0,30.0,69.0,0.435,7.0,22.0,0.318,5.0,6.0,0.833,5.0,28,33,18,4,3,16.0,12.0,72.0,-18,40.0,5,9,4,9,36,75,0.48,8,27,0.296,10,13,0.769,8,31,39,27,9,4,9,9,90.0,18,46,21,14,23,12,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2022_playoffs.parquet+misc_1042200113.parquet,2026-07-30T17:02:53+00:00,5.0,21.0,46.0,40.0,6.0,82.64,79.0,0.08695652173913043,0.3188405797101449,0.5555555555555556,1.0,87.12487899322362,6.050338818973862,25.411423039690224,48.402710551790896,7.260406582768635,7.260406582768635,26.621490803484996,14.52081316553727,82.64,38,13.625741477758371,8.625741477758371,28.670431228835383,7.670431228835383,31.78512344141425,8.21487655858575,7.059047639589644,1.059047639589644,81.14034378759764,9.140343787597644,2022_1611661313-1611661329,3
1042300111,2023,Playoffs,2023-09-15,1611661313,NYL,1611661322,WAS,1,W,200.0,33.0,75.0,0.44,12.0,34.0,0.353,12.0,14.0,0.857,14.0,29,43,18,6,9,10.0,12.0,90.0,15,40.0,9,19,9,15,31,75,0.413,5,22,0.227,8,12,0.667,13,24,37,24,8,2,7,15,75.0,-15,40,12,10,11,12,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2023_playoffs.parquet+misc_1042300111.parquet,2026-07-30T17:02:55+00:00,12.0,36.0,42.0,40.0,2.0,77.16,76.0,0.18666666666666668,0.4533333333333333,0.4444444444444444,1.0,116.64074650077761,15.552099533437016,46.65629860031105,51.840331778123385,2.5920165889061693,18.144116122343185,44.06428201140488,15.552099533437016,77.16,40,13.330824364794875,1.330824364794875,33.90131505458543,2.0986849454145684,36.11552815551146,3.8844718444885373,6.726230079177561,4.726230079177561,90.07389765406933,0.07389765406932725,2023_1611661313-1611661322,1
1042300112,2023,Playoffs,2023-09-19,1611661313,NYL,1611661322,WAS,1,W,225.0,34.0,81.0,0.42,4.0,23.0,0.174,18.0,21.0,0.857,11.0,30,41,21,8,7,15.0,17.0,90.0,5,52.0,7,12,18,25,32,80,0.4,8,26,0.308,13,16,0.813,9,29,38,20,8,7,15,25,85.0,-5,42,8,13,16,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2023_playoffs.parquet+misc_1042300112.parquet,2026-07-30T17:02:55+00:00,18.0,12.0,60.0,52.0,8.0,94.24,91.0,0.25925925925925924,0.2839506172839506,0.5777777777777777,0.8888888888888888,95.50084889643465,19.10016977928693,12.733446519524618,55.178268251273344,8.488964346349746,22.283531409168084,24.40577249575552,18.03904923599321,83.76888888888888,41,13.19594769162956,4.804052308370441,34.020841924938935,22.020841924938935,36.33676134421016,15.66323865578984,6.457056046567773,1.5429439534322267,90.01060700734642,0.010607007346422392,2023_1611661313-1611661322,2
1042300211,2023,Playoffs,2023-09-24,1611661313,NYL,1611661323,CON,1,L,200.0,23.0,68.0,0.338,8.0,27.0,0.296,9.0,12.0,0.75,12.0,18,30,17,4,6,14.0,10.0,63.0,-15,22.0,0,12,6,14,31,69,0.449,8,24,0.333,8,10,0.8,12,23,35,20,7,7,13,14,78.0,15,34,7,6,13,10,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2023_playoffs.parquet+misc_1042300211.parquet,2026-07-30T17:02:55+00:00,9.0,24.0,30.0,22.0,8.0,75.28,69.0,0.17647058823529413,0.39705882352941174,0.3492063492063492,1.0,83.68756641870351,11.955366631243358,31.88097768331562,29.224229543039318,10.626992561105206,15.94048884165781,35.86609989373007,13.28374070138151,75.28,42,13.682174277649898,4.682174277649898,32.77534424064337,8.77534424064337,37.22267331528068,15.22267331528068,6.544324877048831,1.4556751229511686,90.2245167106228,27.224516710622794,2023_1611661313-1611661323,1
1042300212,2023,Playoffs,2023-09-26,1611661313,NYL,1611661323,CON,1,W,200.0,29.0,65.0,0.446,10.0,26.0,0.385,16.0,16.0,1.0,8.0,29,37,19,5,9,14.0,15.0,84.0,7,32.0,16,7,17,15,27,68,0.397,9,23,0.391,14,18,0.778,6,25,31,21,7,2,10,15,77.0,-7,24,5,9,11,15,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2023_playoffs.parquet+misc_1042300212.parquet,2026-07-30T17:02:55+00:00,16.0,30.0,38.0,32.0,6.0,78.04,77.0,0.24615384615384617,0.4,0.38095238095238093,1.0,107.63710917478215,20.502306509482317,38.44182470527934,41.00461301896463,7.688364941055868,20.502306509482317,33.31624807790876,19.22091235263967,78.04,43,13.208856728495832,2.7911432715041684,32.2822459222376,2.2822459222375997,36.367290961316755,4.367290961316755,6.626121207265468,0.6261212072654683,88.48451481931565,4.484514819315649,2023_1611661313-1611661323,2
1042300213,2023,Playoffs,2023-09-29,1611661313,NYL,1611661323,CON,0,W,200.0,38.0,76.0,0.5,9.0,26.0,0.346,7.0,7.0,1.0,11.0,24,35,20,4,5,13.0,13.0,92.0,11,50.0,15,15,12,15,33,70,0.471,5,16,0.313,10,11,0.909,8,22,30,26,5,5,12,15,81.0,-11,48,8,13,17,13,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2023_playoffs.parquet+misc_1042300213.parquet,2026-07-30T17:02:55+00:00,7.0,27.0,58.0,50.0,8.0,81.08,78.0,0.09210526315789473,0.34210526315789475,0.5434782608695652,1.0,113.46817957572767,8.63344844597928,33.30044400592008,61.667488899851996,9.86679822397632,8.63344844597928,32.06709422792304,16.03354711396152,81.08,44,13.490704339738109,6.490704339738109,32.154792580838816,5.154792580838816,36.12339707571183,13.876602924288171,6.5911551068951875,1.4088448931048125,88.36004910318394,3.6399508968160603,2023_1611661313-1611661323,3
1042300214,2023,Playoffs,2023-10-01,1611661313,NYL,1611661323,CON,0,W,200.0,28.0,68.0,0.412,10.0,22.0,0.455,21.0,25.0,0.84,11.0,31,42,22,5,6,13.0,11.0,87.0,3,34.0,5,13,17,23,35,77,0.455,11,25,0.44,3,8,0.375,7,26,33,21,7,6,10,23,84.0,-3,42,11,14,14,11,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2023_playoffs.parquet+misc_1042300214.parquet,2026-07-30T17:02:55+00:00,21.0,30.0,36.0,34.0,2.0,81.0,79.0,0.36764705882352944,0.3235294117647059,0.39080459770114945,1.0,107.4074074074074,25.925925925925927,37.03703703703704,41.97530864197531,2.4691358024691357,30.864197530864196,27.160493827160494,13.580246913580247,81.0,45,12.835918962849902,8.164081037150098,31.868593213121525,1.8685932131215246,36.89384029349673,2.89384029349673,6.669375619417288,4.669375619417288,88.26772808888543,1.267728088885434,2023_1611661313-1611661323,4
