metric,season,rs_mean,po_mean,pct_change,n_pairs,mean_diff,sd_diff,t_stat
pts,2021,82.67578125,79.54545454545455,-3.7862680669200874,8,-3.130326704545455,6.786713433053836,-1.3045933127707892
pts,2022,83.60763888888889,79.63541666666666,-4.7510278666057575,8,-3.972222222222223,5.627059685614446,-1.9966273163185946
pts,2023,84.6875,78.73869047619047,-7.024424529959588,8,-5.948809523809526,5.3536838038969785,-3.14284048767388
pts,2024,82.58749999999999,80.02759740259741,-3.0996247584714327,8,-2.559902597402594,7.016687717732349,-1.0318968485520266
pts,2025,83.2471590909091,78.85748106060606,-5.273066466459635,8,-4.389678030303031,5.774297685767167,-2.150198186078098
pts,pooled,83.36111584595959,79.36092803030303,-4.798625564283938,40,-4.000187815656566,5.941977876806845,-4.257742061041237
ch_ft,2021,14.5703125,11.375,-21.93029490616622,8,-3.1953125,2.908035645752006,-3.107839671856377
ch_ft,2022,14.440972222222221,11.982291666666667,-17.025727338302477,8,-2.4586805555555555,2.2998760785859425,-3.0237275995735784
ch_ft,2023,15.090625,11.656746031746032,-22.755048039786086,8,-3.4338789682539685,2.092544155775751,-4.641467846734332
ch_ft,2024,14.45,11.32332251082251,-21.637906499498197,8,-3.1266774891774896,3.0440553164222157,-2.9051966871341524
ch_ft,2025,14.099431818181818,13.340435606060606,-5.383168782322521,8,-0.7589962121212124,2.622720846658219,-0.8185261030271618
ch_ft,pooled,14.53026830808081,11.935559163059162,-17.857269322264568,40,-2.5947091450216453,2.66880646439306,-6.148958999769636
ch_3pt,2021,22.65234375,25.23409090909091,11.397262850961763,8,2.581747159090909,2.679939332590062,2.7247944030702214
ch_3pt,2022,24.833333333333336,22.409375,-9.760906040268456,8,-2.423958333333333,6.099914515241502,-1.1239484556912895
ch_3pt,2023,23.803125,24.086309523809526,1.1896947304588137,8,0.2831845238095245,6.230934881450944,0.12854680777287764
ch_3pt,2024,24.243750000000002,23.051948051948052,-4.915914196656655,8,-1.191801948051948,4.468290110788203,-0.7544104956517362
ch_3pt,2025,27.272727272727273,23.02556818181818,-15.572916666666666,8,-4.247159090909091,4.03538140141668,-2.976863592527433
ch_3pt,pooled,24.56105587121212,23.56145833333333,-4.069847579518805,40,-0.9995975378787877,5.195980207031084,-1.2167117029876304
ch_paint,2021,35.875,33.95227272727273,-5.359518530250235,8,-1.922727272727272,5.8904302003920455,-0.9232422398128287
ch_paint,2022,35.208333333333336,34.891666666666666,-0.8994082840236718,8,-0.31666666666666776,3.0012519433585094,-0.29843165665748067
ch_paint,2023,36.425,34.512301587301586,-5.251059472061529,8,-1.9126984126984117,5.347789129768266,-1.011619557289761
ch_paint,2024,35.1,37.33874458874459,6.378189711523045,8,2.2387445887445887,5.186793768278026,1.220816983106341
ch_paint,2025,34.98863636363636,35.115530303030305,0.36267186315903577,8,0.1268939393939399,5.385633333751435,0.0666421640512454
