metric,season,rs_mean,po_mean,n_pairs,mean_diff,sd_diff,t_stat
n_played,2021,9.37890625,9.425,8,0.046093750000000044,0.6356058827368127,0.2051158057567156
n_played,2022,9.427083333333332,9.404166666666667,8,-0.022916666666666696,0.8675587467211346,-0.07471323625488371
n_played,2023,9.39375,9.029166666666669,8,-0.36458333333333326,0.6752240956638611,-1.5271928176919365
n_played,2024,9.34375,9.1424512987013,8,-0.2012987012987013,0.7975278366851306,-0.7139044942881594
n_played,2025,9.491477272727273,9.34090909090909,8,-0.1505681818181821,0.5502351455521182,-0.7739802392137889
n_played,pooled,9.40699337121212,9.268338744588743,40,-0.13865462662337666,0.6920950651168966,-1.2670641660363064
top5_share,2021,0.7330595661181649,0.7755411624963593,8,0.04248159637819435,0.04641468308893211,2.588751910001868
top5_share,2022,0.7296722973508104,0.7532390918450058,8,0.023566794494195464,0.057272963056674724,1.1638469049478184
top5_share,2023,0.7468197377104802,0.8032942508284344,8,0.05647451311795432,0.04258707660162071,3.7507633185034734
top5_share,2024,0.7551134900590891,0.8093676662535109,8,0.05425417619442183,0.03148038662159834,4.874590182884815
top5_share,2025,0.7275809964154997,0.7676072540960184,8,0.04002625768051876,0.03413509885419067,3.316567308307682
top5_share,pooled,0.7384492175308088,0.7818098851038657,40,0.04336066757305694,0.042783113408670796,6.409934175967465
top7_share,2021,0.903130713414227,0.9278156455670308,8,0.024684932152803846,0.025874526363719733,2.698388781771404
top7_share,2022,0.9008654357765777,0.9157968274479324,8,0.014931391671354766,0.05187728435635319,0.8140818035764656
top7_share,2023,0.9135625087377448,0.9486729848346114,8,0.03511047609686674,0.021637611293072918,4.589574219170995
top7_share,2024,0.916456101525147,0.9455468038714336,8,0.029090702346286745,0.03338329144713353,2.4647339440587177
top7_share,2025,0.9015644823162717,0.9337293671768605,8,0.032164884860588897,0.027964420084665906,3.2532780057153334
top7_share,pooled,0.9071158483539936,0.9343123257795739,40,0.0271964774255802,0.03283948457677522,5.237768747382164
starter_min_avg_n40,2021,28.20599745806064,29.40500626063372,8,1.1990088025730783,2.828591932314303,1.1989389424696677
starter_min_avg_n40,2022,28.4798710048864,29.21757954458415,8,0.7377085396977487,3.0837750693956476,0.6766235529126751
starter_min_avg_n40,2023,29.276939752566207,31.552713160531034,8,2.27577340796483,2.090044674419486,3.079771124342906
starter_min_avg_n40,2024,29.51933210392037,31.791280966112243,8,2.2719488621918713,1.1306776888600543,5.6833541964894065
starter_min_avg_n40,2025,28.040742744268428,29.488721165275713,8,1.447978421007286,1.5336183997431347,2.6704827241966584
starter_min_avg_n40,pooled,28.704576612740414,30.291060219427372,40,1.5864836066869628,2.2259709305918967,4.507607533145567
starter_min_avg_raw,2021,28.51092447916667,30.416810606060604,8,1.9058861268939409,3.678719646813588,1.4653630979065047
starter_min_avg_raw,2022,28.709791666666668,29.354809027777783,8,0.6450173611111132,3.272655082484159,0.5574631466246831
starter_min_avg_raw,2023,29.437739583333332,31.872259920634917,8,2.4345203373015876,2.5971594730440053,2.6513055625727393
starter_min_avg_raw,2024,29.689958333333333,31.974098124098123,8,2.284139790764793,1.3430109466659053,4.810476755196831
starter_min_avg_raw,2025,28.107594696969695,29.933680555555554,8,1.8260858585858588,1.8104692876828883,2.852824297920012
starter_min_avg_raw,pooled,28.891201751893938,30.7103316468254,40,1.8191298949314585,2.6230643123410733,4.386163008372478
starter_share,2021,0.7051499364515159,0.735125156515843,8,0.029975220064326943,0.07071479830785755,1.1989389424696675
starter_share,2022,0.7119967751221601,0.7304394886146037,8,0.018442713492443738,0.07709437673489113,0.6766235529126764
starter_share,2023,0.7319234938141552,0.7888178290132759,8,0.056894335199120724,0.05225111686048718,3.0797711243429027
starter_share,2024,0.7379833025980093,0.7947820241528061,8,0.056798721554796816,0.028266942221501338,5.683354196489414
starter_share,2025,0.7010185686067107,0.7372180291318928,8,0.03619946052518218,0.038340459993578394,2.670482724196659
starter_share,pooled,0.7176144153185102,0.7572765054856843,40,0.03966209016717408,0.055649273264797405,4.507607533145569
bench_share,2021,0.29485006354848403,0.264874843484157,8,-0.029975220064326936,0.0707147983078576,-1.1989389424696666
bench_share,2022,0.2880032248778399,0.2695605113853962,8,-0.018442713492443728,0.07709437673489114,-0.6766235529126758
bench_share,2023,0.26807650618584483,0.21118217098672404,8,-0.05689433519912076,0.05225111686048716,-3.079771124342906
bench_share,2024,0.26201669740199074,0.20521797584719392,8,-0.05679872155479679,0.028266942221501355,-5.683354196489407
