series_id,team_id,season,team_abbreviation,n_early,n_late,early_ch_ft,late_ch_ft,diff_ch_ft,early_ch_3pt,late_ch_3pt,diff_ch_3pt,early_ch_paint,late_ch_paint,diff_ch_paint,early_ch_np2,late_ch_np2,diff_ch_np2,early_pts_sum,late_pts_sum,diff_pts_sum
2021_1611661317-1611661319,1611661317,2021,PHO,2,3,5.045649623270483,6.863846202623677,1.8181965793531933,9.61920493133958,6.617680559060305,-3.001524372279275,3.023481000895668,2.1527712481704504,-0.8707097527252174,10.252390451845953,4.316133621497415,-5.936256830348538,21.003625161308776,4.5847653401159265,-16.41885982119285
2021_1611661317-1611661319,1611661319,2021,LVA,2,3,1.1821838938638631,4.273863170507401,3.0916792766435375,7.84920385705528,9.70707552015448,1.857871663099199,7.283293376435278,10.870844754072188,3.5875513776369097,4.881445027551261,1.509400760121272,-3.372044267429989,5.284600430261072,12.521768696737803,7.237168266476731
2021_1611661317-1611661329,1611661317,2021,PHO,2,2,3.0826969705149923,1.5217338948523293,-1.560963075662663,3.1090705920298003,7.946678480249901,4.8376078882201,4.1171596257625644,12.46157865784146,8.344419032078896,3.0422052034296305,2.046649985120986,-0.9955552183086445,7.185738450707007,21.53291769674437,14.347179246037363
2021_1611661317-1611661329,1611661329,2021,CHI,2,2,6.220910697702508,3.800162382470919,-2.420748315231589,2.5207836942637663,1.5216835675784317,-0.9991001266853345,9.192740694079205,4.131617946606113,-5.061122747473092,1.0006264419795494,2.003815584242686,1.0031891422631367,4.513655226379534,3.1940435876859254,-1.3196116386936083
2021_1611661323-1611661329,1611661323,2021,CON,2,2,5.827650170507998,4.8612306666100356,-0.9664195038979626,3.70997810849134,5.366413149360234,1.6564350408688941,11.566269775711643,6.083018706753091,-5.483251068958552,4.208302890433893,2.465816928742565,-1.7424859616913277,8.573100818053327,6.882914616275542,-1.6901862017777844
2021_1611661323-1611661329,1611661329,2021,CHI,2,2,3.1871206524828377,2.0792735985479576,-1.1078470539348801,1.567290774485393,9.511020981241796,7.943730206756403,15.454624524930622,10.66834413408887,-4.786280390841753,3.122710188467106,0.02372842242658324,-3.098981766040523,17.086325763431745,3.590375311725431,-13.495950451706314
2022_1611661313-1611661329,1611661313,2022,NYL,2,1,3.00092322853535,8.625741477758371,5.624818249223021,12.097228619765312,7.670431228835383,-4.426797390929929,8.241619597861117,8.21487655858575,-0.026743039275366698,4.283103929763799,1.059047639589644,-3.224056290174155,18.497997753825956,9.140343787597644,-9.357653966228312
2022_1611661313-1611661329,1611661329,2022,CHI,2,1,1.3835907801650436,3.770612241341489,2.3870214611764453,2.004982446194216,2.7137732788508764,0.7087908326566605,11.688818105831782,1.5249787159656876,-10.163839389866094,2.485327882021001,1.6709453377915384,-0.8143825442294625,8.582098557781606,2.139085091266608,-6.443013466514998
2022_1611661319-1611661323,1611661319,2022,LVA,2,2,1.5614183894899574,4.027677480382818,2.4662590908928603,13.085572090280495,2.835723248526058,-10.249848841754437,13.375329829587383,8.151986727603067,-5.223343101984316,4.097228427803732,4.1795958890531395,0.08236746124940719,14.052130249976045,11.633818178081462,-2.418312071894583
2022_1611661319-1611661323,1611661323,2022,CON,2,2,6.079267124398605,1.2731215224437955,-4.806145601954809,4.701951234775178,4.555853196341371,-0.14609803843380753,8.183606755757776,18.62231077521551,10.438704019457735,7.116375607546732,3.1239702137965244,-3.9924053937502073,15.366268788411098,17.59118625460831,2.224917466197212
2022_1611661319-1611661328,1611661319,2022,LVA,2,2,3.7259142142848614,2.768448031848166,-0.9574661824366952,12.733669900360047,3.1809476006598736,-9.552722299700173,2.1941609451386057,11.36700970720112,9.172848762062515,3.1075483524173,2.0100225849928517,-1.0975257674244485,15.033558711564154,13.669289083699645,-1.364269627864509
