series_game,n_teamgames,n_games,mae_ch_ft,mae_ch_3pt,mae_ch_paint,mae_ch_np2,mae_pts_sum,margin_mae_str_2024_25,n_margin_games
game 1,70,35,4.056,7.0287,6.9224,3.2954,9.9112,10.5527,14
game 2,62,31,4.1041,7.2576,6.5516,3.8253,8.1221,9.075,14
game 3,42,21,3.8569,6.4765,8.6883,2.8476,9.7898,6.9009,9
game 4+,38,19,4.8719,6.0366,7.177,3.3769,9.3227,7.8983,9
games 1-2,132,66,4.0786,7.1362,6.7483,3.5443,9.0708,9.8139,28
games 3+,80,40,4.339,6.2675,7.9704,3.099,9.5679,7.3996,18
