game_id,season,season_type,game_date,team_abbreviation,opp_team_abbreviation,pts,opp_pts,margin_true,bookie_margin,n_books,era_file,bookie_margin_t65,bookie_err,bookie_err_t65,both_playoff_teams,err_str,str_margin_cal
1022200061,2022,Regular Season,2022-06-03,PHO,CON,88,92,-4.0,-6.875,8,master_odds.csv,-6.875,-2.875,-2.875,True,,
1022200062,2022,Regular Season,2022-06-03,SEA,DAL,51,68,-17.0,6.115384615384615,13,master_odds.csv,6.115384615384615,23.115384615384613,23.115384615384613,True,,
1022200063,2022,Regular Season,2022-06-05,NYL,MIN,77,84,-7.0,2.75,8,master_odds.csv,2.75,9.75,9.75,False,,
1022200064,2022,Regular Season,2022-06-05,ATL,IND,75,66,9.0,6.846153846153846,13,master_odds.csv,6.846153846153846,-2.153846153846154,-2.153846153846154,False,,
1022200065,2022,Regular Season,2022-06-05,CHI,WAS,91,82,9.0,5.875,8,master_odds.csv,5.875,-3.125,-3.125,True,,
1022200066,2022,Regular Season,2022-06-05,LVA,DAL,84,78,6.0,8.692307692307692,13,master_odds.csv,8.692307692307692,2.6923076923076916,2.6923076923076916,True,,
1022200067,2022,Regular Season,2022-06-05,PHO,LAS,81,74,7.0,-1.9285714285714286,7,master_odds.csv,-1.9285714285714286,-8.928571428571429,-8.928571428571429,False,,
1022200068,2022,Regular Season,2022-06-05,SEA,CON,86,93,-7.0,3.5,8,master_odds.csv,3.5,10.5,10.5,True,,
1022200069,2022,Regular Season,2022-06-07,NYL,MIN,88,69,19.0,2.5,8,master_odds.csv,2.5,-16.5,-16.5,False,,
1022200070,2022,Regular Season,2022-06-07,SEA,ATL,72,60,12.0,7.923076923076923,13,master_odds.csv,7.923076923076923,-4.076923076923077,-4.076923076923077,False,,
1022200071,2022,Regular Season,2022-06-08,CON,IND,88,69,19.0,15.4375,8,master_odds.csv,15.4375,-3.5625,-3.5625,False,,
1022200072,2022,Regular Season,2022-06-08,WAS,CHI,84,82,2.0,3.4375,8,master_odds.csv,3.4375,1.4375,1.4375,True,,
1022200073,2022,Regular Season,2022-06-10,CON,CHI,79,83,-4.0,6.125,8,master_odds.csv,6.125,10.125,10.125,True,,
1022200074,2022,Regular Season,2022-06-10,IND,NYL,83,97,-14.0,-1.5,8,master_odds.csv,-1.5,12.5,12.5,False,,
1022200075,2022,Regular Season,2022-06-10,DAL,SEA,88,89,-1.0,-5.5,13,master_odds.csv,-5.5,-4.5,-4.5,True,,
1022200076,2022,Regular Season,2022-06-10,MIN,WAS,59,76,-17.0,-7.8125,8,master_odds.csv,-7.8125,9.1875,9.1875,False,,
1022200077,2022,Regular Season,2022-06-10,PHO,ATL,90,88,2.0,4.269230769230769,13,master_odds.csv,4.269230769230769,2.269230769230769,2.269230769230769,False,,
1022200078,2022,Regular Season,2022-06-11,LAS,LVA,72,89,-17.0,-6.571428571428571,7,master_odds.csv,-6.571428571428571,10.428571428571429,10.428571428571429,False,,
1022200079,2022,Regular Season,2022-06-12,NYL,CHI,86,88,-2.0,-6.75,8,master_odds.csv,-6.75,-4.75,-4.75,True,,
1022200080,2022,Regular Season,2022-06-12,DAL,SEA,79,84,-5.0,-3.6538461538461537,13,master_odds.csv,-3.6538461538461537,1.3461538461538463,1.3461538461538463,True,,
