rung,k,beta_RAW_Restricted Area,beta_RAW_In The Paint (Non-RA),beta_RAW_Mid-Range,beta_RAW_Corner 3,beta_RAW_Above the Break 3,beta_PROJ_Restricted Area,beta_PROJ_In The Paint (Non-RA),beta_PROJ_Mid-Range,beta_PROJ_Corner 3,beta_PROJ_Above the Break 3
B0_published_offset,1,0.7365391155462683,0.8619070873144902,0.6058314006725073,0.18496908898269218,0.6261353968216986,0.742142470162147,0.825940273322759,0.611444548961166,0.33475847614522297,0.6492010664232263
B1_plus_S1,2,0.7251815458892981,0.8497842030038258,0.593565307453012,0.16618653578199433,0.6167655134762917,0.7308535462869087,0.8138004945024615,0.5992870742189105,0.3169883745971986,0.6394534123422575
B2_plus_S2,3,0.7263016145422976,0.8574733337936871,0.58477478454464,0.1674572103369414,0.6060959841531015,0.7314897606690017,0.820440269438661,0.5919146406420434,0.32013380458971824,0.6310799712132669
B3_plus_volume_and_league,6,0.7262029733371043,0.8466708746785208,0.5911553848892603,0.16453961734128958,0.6054196924458647,0.7305734758562988,0.8115382697209131,0.5976881140131513,0.31418442553678205,0.6305728179073384
B4_plus_shooting_team_prior,7,0.7272665363935146,0.8421870209815728,0.588061563627944,0.16250333770789005,0.6021847596483219,0.7306430837533775,0.8081925131288831,0.5957143543757288,0.3101796019690289,0.6281875356591863
