delta,power_RAW,power_PROJ,n_rep,n_draws
0.0,0.02,0.02,100,300
0.15,0.02,0.02,100,300
0.3,0.09,0.1,100,300
0.45,0.29,0.27,100,300
0.6,0.39,0.37,100,300
0.9,0.9,0.9,100,300
