shape,arm,delta,recovered_Restricted Area,recovered_In The Paint (Non-RA),recovered_Mid-Range,recovered_Corner 3,recovered_Above the Break 3
INJ_COMMON,RAW_FROZEN,0.25,0.2499999999999971,0.250000000000004,0.2499999999999959,0.25000000000000033,0.2499999999999999
INJ_COMMON,PROJ_FROZEN,0.25,0.2499999999999979,0.2500000000000028,0.24999999999999578,0.2500000000000022,0.24999999999999933
INJ_COMMON,RAW_UNFROZEN,0.25,0.25000000000000044,0.2500000000000008,0.25,0.2500000000000002,0.25000000000000067
INJ_COMMON,PROJ_UNFROZEN,0.25,0.25000000000000056,0.25000000000000067,0.2500000000000001,0.25000000000000033,0.25000000000000056
INJ_CONTRAST_Restricted Area,RAW_FROZEN,0.25,0.1999999999999983,0.05006725144760138,0.06034287066695587,-0.07200610383218027,0.04955056878760633
INJ_CONTRAST_Restricted Area,PROJ_FROZEN,0.25,0.1716190738894111,0.07666130635382506,0.0920930275247015,-0.0896040744683042,0.07983268235285912
INJ_CONTRAST_Restricted Area,RAW_UNFROZEN,0.25,0.19999999999999962,0.05006147429835672,0.060400776191126826,-0.07211113339544567,0.049539674074231765
INJ_CONTRAST_Restricted Area,PROJ_UNFROZEN,0.25,0.17162149231243218,0.0766524676133733,0.09213760969090612,-0.08968359855144517,0.07982464995259031
INJ_CONTRAST_In The Paint (Non-RA),RAW_FROZEN,0.25,0.025890134393710906,0.2000000000000024,-0.017492093357606264,0.10141107676187935,-0.00016427844174260464
INJ_CONTRAST_In The Paint (Non-RA),PROJ_FROZEN,0.25,0.0396421106993492,0.16826835777863924,-0.019762957712365248,0.15283768955588906,0.004433507276274895
INJ_CONTRAST_In The Paint (Non-RA),RAW_UNFROZEN,0.25,0.025900741900134028,0.2000000000000003,-0.017490672529056672,0.10143265170311691,-0.00015561054305179844
INJ_CONTRAST_In The Paint (Non-RA),PROJ_UNFROZEN,0.25,0.039650975694290436,0.16827100193009337,-0.01975876123553877,0.15285179300071927,0.004442481038667179
INJ_CONTRAST_Mid-Range,RAW_FROZEN,0.25,0.011520803205097296,-0.006458297154548043,0.2000000000000003,0.02812687542016845,0.0014383102326318564
INJ_CONTRAST_Mid-Range,PROJ_FROZEN,0.25,0.017582618044963083,-0.007296728353197723,0.16379402579488833,0.03902162405283155,0.004496215864022046
INJ_CONTRAST_Mid-Range,RAW_UNFROZEN,0.25,0.01152490540843809,-0.006465548692088152,0.20000000000000018,0.028144135217735455,0.0014421857396849092
INJ_CONTRAST_Mid-Range,PROJ_UNFROZEN,0.25,0.017585216474208853,-0.007301261667711723,0.1637958950477284,0.03903119205232025,0.004500077171028627
INJ_CONTRAST_Corner 3,RAW_FROZEN,0.25,-0.002381827810393311,0.006487029741689909,0.004873104759047342,0.20000000000000098,-0.0008246005784983135
INJ_CONTRAST_Corner 3,PROJ_FROZEN,0.25,-0.002963935904525039,0.009776670058717407,0.0067606678323488545,0.16389055515476192,-0.0017676711874254902
INJ_CONTRAST_Corner 3,RAW_UNFROZEN,0.25,-0.002384669087210578,0.006491947100729645,0.00486937574973223,0.20000000000000054,-0.0008262492708630553
INJ_CONTRAST_Corner 3,PROJ_UNFROZEN,0.25,-0.002965970255932593,0.009780131891459432,0.006756639751612226,0.1638929983398375,-0.001769577974000125
INJ_CONTRAST_Above the Break 3,RAW_FROZEN,0.25,0.014970890211584154,-9.598403474142536e-05,0.0022761179316026503,-0.00753184834986792,0.2000000000000005
INJ_CONTRAST_Above the Break 3,PROJ_FROZEN,0.25,0.02412013327079965,0.002590394162018561,0.007115236560425453,-0.01614579429517532,0.163005265694267
INJ_CONTRAST_Above the Break 3,RAW_UNFROZEN,0.25,0.014959021778639836,-8.787270699661676e-05,0.0022205205881972168,-0.007465653525406096,0.20000000000000073
INJ_CONTRAST_Above the Break 3,PROJ_UNFROZEN,0.25,0.024108285775002347,0.002597660232787291,0.007068616745292244,-0.016092384841430496,0.16300236981171612
