null,arm,zone,obs,null_mean,null_sd,z,p_familywise
N_TSTRAJ,RAW_FROZEN,Restricted Area,0.7365391155462684,-0.004958165458562825,0.2093506463429394,3.5418915296309956,0.0001999600079984003
N_TSTRAJ,RAW_FROZEN,In The Paint (Non-RA),0.8619070873144885,-0.008555107247899017,0.27480252613088224,3.167591676896762,0.0009998000399920016
N_TSTRAJ,RAW_FROZEN,Mid-Range,0.6058314006725068,-0.009858138714723377,0.22828214730396224,2.69705514276343,0.011597680463907219
N_TSTRAJ,RAW_FROZEN,Corner 3,0.1849690889826924,-0.023325665192925175,0.1586595000801229,1.3128413619759858,0.3793241351729654
N_TSTRAJ,RAW_FROZEN,Above the Break 3,0.6261353968216979,-0.00705655562378451,0.16946780610376988,3.736355399902689,0.0001999600079984003
N_TSTRAJ,PROJ_FROZEN,Restricted Area,0.7421424701621469,-0.005368918364104392,0.1876010815273844,3.9845793128710505,0.0001999600079984003
N_TSTRAJ,PROJ_FROZEN,In The Paint (Non-RA),0.8259402733227578,-0.008293316466299173,0.24287968861765158,3.4347606197006133,0.0005998800239952009
N_TSTRAJ,PROJ_FROZEN,Mid-Range,0.6114445489611657,-0.009305108459398087,0.20104216473569395,3.0876590402647666,0.002599480103979204
N_TSTRAJ,PROJ_FROZEN,Corner 3,0.33475847614522236,-0.020702187849706875,0.15964512354989438,2.2265676275657493,0.05558888222355529
N_TSTRAJ,PROJ_FROZEN,Above the Break 3,0.6492010664232258,-0.006633038399559447,0.14764345637748424,4.442012676443956,0.0001999600079984003
N_OPPGAME,RAW_FROZEN,Restricted Area,0.7365391155462684,-0.0016290151628135406,0.09140518186073913,8.07577990308823,0.0001999600079984003
N_OPPGAME,RAW_FROZEN,In The Paint (Non-RA),0.8619070873144885,-0.0006749896400834434,0.12290226647429014,7.018439136230372,0.0001999600079984003
N_OPPGAME,RAW_FROZEN,Mid-Range,0.6058314006725068,-0.0012968412780207724,0.12937859758368772,4.692648191350278,0.0001999600079984003
N_OPPGAME,RAW_FROZEN,Corner 3,0.1849690889826924,0.0022599582591612015,0.15946187957861632,1.1457856335717764,0.47370525894821036
N_OPPGAME,RAW_FROZEN,Above the Break 3,0.6261353968216979,-0.0009599018261770537,0.10770320144391136,5.822438796997576,0.0001999600079984003
N_OPPGAME,PROJ_FROZEN,Restricted Area,0.7421424701621469,-0.0015117386736114675,0.08196939634185864,9.072339702665378,0.0001999600079984003
N_OPPGAME,PROJ_FROZEN,In The Paint (Non-RA),0.8259402733227578,-0.0007769555587378988,0.10856972245202189,7.61462045043756,0.0001999600079984003
N_OPPGAME,PROJ_FROZEN,Mid-Range,0.6114445489611657,-0.0013552201370259644,0.10800197694039754,5.6739680740878855,0.0001999600079984003
N_OPPGAME,PROJ_FROZEN,Corner 3,0.33475847614522236,0.001901087960400648,0.13701898505206436,2.4292793298559525,0.029994001199760048
N_OPPGAME,PROJ_FROZEN,Above the Break 3,0.6492010664232258,-0.0011055266834587884,0.09127090954435933,7.125014929216014,0.0001999600079984003
N_BLIND,RAW_FROZEN,Restricted Area,0.7365391155462684,-0.009416473634258396,0.06965945074138183,10.708605670032725,0.0001999600079984003
N_BLIND,RAW_FROZEN,In The Paint (Non-RA),0.8619070873144885,-0.014407119219169021,0.08674368414487181,10.102340189634017,0.0001999600079984003
N_BLIND,RAW_FROZEN,Mid-Range,0.6058314006725068,-0.0017800877909815043,0.11431185968586823,5.3153845115740355,0.0001999600079984003
N_BLIND,RAW_FROZEN,Corner 3,0.1849690889826924,-0.0012277160998960777,0.14564426480636572,1.2784355451973164,0.39072185562887424
N_BLIND,RAW_FROZEN,Above the Break 3,0.6261353968216979,-0.005652205220384483,0.1016653688528026,6.214383611363507,0.0001999600079984003
N_BLIND,PROJ_FROZEN,Restricted Area,0.7421424701621469,-0.009433997424990384,0.06180684617634286,12.160084425644259,0.0001999600079984003
N_BLIND,PROJ_FROZEN,In The Paint (Non-RA),0.8259402733227578,-0.013395224682026927,0.07619563619590651,11.01553238359701,0.0001999600079984003
N_BLIND,PROJ_FROZEN,Mid-Range,0.6114445489611657,-0.002764287237102642,0.09545137590486072,6.434782425875861,0.0001999600079984003
N_BLIND,PROJ_FROZEN,Corner 3,0.33475847614522236,-0.004144151479048615,0.1244417905983114,2.7233827638998123,0.016796640671865627
N_BLIND,PROJ_FROZEN,Above the Break 3,0.6492010664232258,-0.0063848553304445745,0.08453412816112102,7.755281044646626,0.0001999600079984003
