zone,rowset,null,arm,obs,sign,null_mean,null_sd,z,p_unadjusted_one_sided,p_familywise_one_sided,n_draws
Restricted Area,ALL_x_PUBLISHED,N_TSTRAJ,RAW_FROZEN,0.7777989016388654,+,-0.0074819206856234785,0.1450050440253192,5.415541422044407,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_TSTRAJ,RAW_FROZEN,0.6573986515726111,+,-0.01568533167194799,0.16169799929798281,4.162599328172119,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_TSTRAJ,RAW_FROZEN,0.5528264791193148,+,-0.020757011718312453,0.13150690334232665,4.361622669682424,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_TSTRAJ,RAW_FROZEN,0.3247228996355854,+,-0.03332315150930243,0.1257835104476745,2.8465261453633364,0.001799640071985603,0.008798240351929614,5000
Above the Break 3,ALL_x_PUBLISHED,N_TSTRAJ,RAW_FROZEN,0.5670578505642823,+,-0.013248771085570871,0.1280202600962506,4.532928000720793,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_FROZEN,0.7434244408588577,+,-0.009128427741589068,0.12803492600078006,5.877715496128469,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_TSTRAJ,PROJ_FROZEN,0.6760375624518948,+,-0.014381312744402462,0.1442788820010502,4.785307909381165,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_FROZEN,0.5929766303162509,+,-0.018295081554234975,0.11840510601327468,5.162545201403348,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_FROZEN,0.3659105069072224,+,-0.03107920618189404,0.11020132054152634,3.60240431909817,0.0001999600079984003,0.0009998000399920016,5000
Above the Break 3,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_FROZEN,0.6088958508456259,+,-0.012151579975654634,0.11551040892014554,5.376549495644345,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_TSTRAJ,RAW_UNFROZEN,0.7746215317221331,+,-0.007612132849701228,0.14408590897025786,5.428939374864912,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_TSTRAJ,RAW_UNFROZEN,0.6397966159322347,+,-0.016799257967362057,0.1598190583657159,4.108370307107557,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_TSTRAJ,RAW_UNFROZEN,0.5468792814532111,+,-0.024314488967644907,0.13028759500085568,4.384099425713588,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_TSTRAJ,RAW_UNFROZEN,0.31001562397753846,+,-0.03571913953293165,0.12122869896508796,2.851921751713565,0.002599480103979204,0.009598080383923215,5000
Above the Break 3,ALL_x_PUBLISHED,N_TSTRAJ,RAW_UNFROZEN,0.5621214161700355,+,-0.013788626388801628,0.12781228786640458,4.505905122055286,0.0001999600079984003,0.0001999600079984003,5000
