zone,rowset,null,arm,obs,sign,null_mean,null_sd,z,p_unadjusted_one_sided,p_familywise_one_sided,n_draws
Restricted Area,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_UNFROZEN,0.7388723549360713,+,-0.009539069904406257,0.12713771804412205,5.886619929584922,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_TSTRAJ,PROJ_UNFROZEN,0.661114745823484,+,-0.015269681813076292,0.14253144498813258,4.745510211398455,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_UNFROZEN,0.5880096191927723,+,-0.02116852301802281,0.11763142878078227,5.1787022271578325,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_UNFROZEN,0.3496704232206866,+,-0.033581902745292595,0.1080269358784543,3.5477478172406247,0.0001999600079984003,0.0009998000399920016,5000
Above the Break 3,ALL_x_PUBLISHED,N_TSTRAJ,PROJ_UNFROZEN,0.6042740282215185,+,-0.012634384977192086,0.11525995411071795,5.352322217707223,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_FROZEN,0.6810500337910069,+,-0.012212413517275075,0.1032494375299115,6.714442847278882,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_TSTRAJ,COMMON_FROZEN,0.6810500337910069,+,-0.012212413517275075,0.1032494375299115,6.714442847278882,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_FROZEN,0.6810500337910069,+,-0.012212413517275075,0.1032494375299115,6.714442847278882,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_FROZEN,0.6810500337910069,+,-0.012212413517275075,0.1032494375299115,6.714442847278882,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_FROZEN,0.6810500337910069,+,-0.012212413517275075,0.1032494375299115,6.714442847278882,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_UNFROZEN,0.6741081906977858,+,-0.01306472480878857,0.1024655392356278,6.7063807074334,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_TSTRAJ,COMMON_UNFROZEN,0.6741081906977858,+,-0.01306472480878857,0.1024655392356278,6.7063807074334,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_UNFROZEN,0.6741081906977858,+,-0.01306472480878857,0.1024655392356278,6.7063807074334,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_UNFROZEN,0.6741081906977858,+,-0.01306472480878857,0.1024655392356278,6.7063807074334,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_TSTRAJ,COMMON_UNFROZEN,0.6741081906977858,+,-0.01306472480878857,0.1024655392356278,6.7063807074334,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_OPPGAME,RAW_FROZEN,0.7777989016388654,+,-0.0013104331273303194,0.05796833897453134,13.44025632869179,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_OPPGAME,RAW_FROZEN,0.6573986515726111,+,-0.00419214331675025,0.08413361091664623,7.863573043891101,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_OPPGAME,RAW_FROZEN,0.5528264791193148,+,-0.0009444448618300537,0.07127945423923394,7.769011840670575,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_OPPGAME,RAW_FROZEN,0.3247228996355854,+,-0.016652068521502653,0.09234750703596599,3.696634366362862,0.0005998800239952009,0.0015996800639872025,5000
Above the Break 3,ALL_x_PUBLISHED,N_OPPGAME,RAW_FROZEN,0.5670578505642823,+,-0.0015412306650777843,0.06060886455055066,9.381450806674023,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_OPPGAME,PROJ_FROZEN,0.7434244408588577,+,-0.0014667024297365175,0.0514890336041634,14.466986291006293,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_OPPGAME,PROJ_FROZEN,0.6760375624518948,+,-0.003987304721223805,0.07329438154020755,9.277994477654104,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_OPPGAME,PROJ_FROZEN,0.5929766303162509,+,-0.0011609238130362671,0.060382950077975,9.839491998354713,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_OPPGAME,PROJ_FROZEN,0.3659105069072224,+,-0.014252130693791335,0.07769903104849372,4.892759053375396,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_OPPGAME,PROJ_FROZEN,0.6088958508456259,+,-0.001456991320453613,0.05195488743066791,11.747746407507385,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_OPPGAME,RAW_UNFROZEN,0.7746215317221331,+,-0.0012380196880269342,0.057466774107107516,13.501011035769997,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_OPPGAME,RAW_UNFROZEN,0.6397966159322347,+,-0.0026356090227534095,0.0831717282304259,7.72416587491293,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_OPPGAME,RAW_UNFROZEN,0.5468792814532111,+,-0.0019238515623396875,0.07078474570495823,7.7531271398932065,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_OPPGAME,RAW_UNFROZEN,0.31001562397753846,+,-0.02335156941904244,0.08855775661422687,3.7644042277266228,0.0003999200159968006,0.0013997200559888023,5000
Above the Break 3,ALL_x_PUBLISHED,N_OPPGAME,RAW_UNFROZEN,0.5621214161700355,+,-0.0015094185528773173,0.060174174733040126,9.366656663318349,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_OPPGAME,PROJ_UNFROZEN,0.7388723549360713,+,-0.00129919864861011,0.0510215810691165,14.507028948828658,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_OPPGAME,PROJ_UNFROZEN,0.661114745823484,+,-0.0028588299873641685,0.07244609640282329,9.165070428625226,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_OPPGAME,PROJ_UNFROZEN,0.5880096191927723,+,-0.0021192701632067965,0.05996492699275314,9.84123418389715,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_OPPGAME,PROJ_UNFROZEN,0.3496704232206866,+,-0.019347476286591295,0.07475460984515266,4.9363898797902195,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_OPPGAME,PROJ_UNFROZEN,0.6042740282215185,+,-0.001392548322298944,0.0515457153073167,11.750085781772935,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_OPPGAME,COMMON_FROZEN,0.6810500337910069,+,-0.0021709882289773436,0.04345921197710721,15.720971249545,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_OPPGAME,COMMON_FROZEN,0.6810500337910069,+,-0.0021709882289773436,0.04345921197710721,15.720971249545,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_OPPGAME,COMMON_FROZEN,0.6810500337910069,+,-0.0021709882289773436,0.04345921197710721,15.720971249545,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_OPPGAME,COMMON_FROZEN,0.6810500337910069,+,-0.0021709882289773436,0.04345921197710721,15.720971249545,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_OPPGAME,COMMON_FROZEN,0.6810500337910069,+,-0.0021709882289773436,0.04345921197710721,15.720971249545,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_OPPGAME,COMMON_UNFROZEN,0.6741081906977858,+,-0.0020637601113585096,0.04303506883901995,15.712115004125621,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_OPPGAME,COMMON_UNFROZEN,0.6741081906977858,+,-0.0020637601113585096,0.04303506883901995,15.712115004125621,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_OPPGAME,COMMON_UNFROZEN,0.6741081906977858,+,-0.0020637601113585096,0.04303506883901995,15.712115004125621,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_OPPGAME,COMMON_UNFROZEN,0.6741081906977858,+,-0.0020637601113585096,0.04303506883901995,15.712115004125621,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_OPPGAME,COMMON_UNFROZEN,0.6741081906977858,+,-0.0020637601113585096,0.04303506883901995,15.712115004125621,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_BLIND,RAW_FROZEN,0.7777989016388654,+,-0.007565195438570139,0.04046807301627741,19.407005042259854,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_BLIND,RAW_FROZEN,0.6573986515726111,+,-0.007258383708446638,0.05638659355531487,11.78750113054859,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_BLIND,RAW_FROZEN,0.5528264791193148,+,0.012753199128057916,0.06402582051920049,8.435241838553184,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_BLIND,RAW_FROZEN,0.3247228996355854,+,-0.010609351999985955,0.0852200639704788,3.93489791032936,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_BLIND,RAW_FROZEN,0.5670578505642823,+,-0.01610413029409493,0.05623038346739567,10.370940849025416,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_BLIND,PROJ_FROZEN,0.7434244408588577,+,-0.007066853654351998,0.03587982920033225,20.916802315944693,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_BLIND,PROJ_FROZEN,0.6760375624518948,+,-0.007979897701256369,0.04846466740817341,14.113734741895575,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_BLIND,PROJ_FROZEN,0.5929766303162509,+,0.008543100173887003,0.053686170027144174,10.886109585520245,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_BLIND,PROJ_FROZEN,0.3659105069072224,+,-0.007292132617297594,0.0702007713253542,5.316218504136742,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_BLIND,PROJ_FROZEN,0.6088958508456259,+,-0.01426811353700653,0.047317339843804214,13.16988584818405,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_BLIND,RAW_UNFROZEN,0.7746215317221331,+,-0.007879752279202004,0.040055775266441274,19.53529244650308,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_BLIND,RAW_UNFROZEN,0.6397966159322347,+,-0.014302190075415055,0.05538623319358982,11.809772362048854,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_BLIND,RAW_UNFROZEN,0.5468792814532111,+,0.005082978291784702,0.06296315786486982,8.604973472331517,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_BLIND,RAW_UNFROZEN,0.31001562397753846,+,-0.015626263777484432,0.0828736783819302,3.9293765416598903,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_BLIND,RAW_UNFROZEN,0.5621214161700355,+,-0.01521985000706532,0.05578599406975361,10.349215350634527,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_BLIND,PROJ_UNFROZEN,0.7388723549360713,+,-0.008200885085953057,0.0355126794691936,21.036802944427006,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_BLIND,PROJ_UNFROZEN,0.661114745823484,+,-0.013584333763200144,0.047665361508359684,14.154913720068052,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_BLIND,PROJ_UNFROZEN,0.5880096191927723,+,0.0025733584401961772,0.0528271231881874,11.08211512232195,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_BLIND,PROJ_UNFROZEN,0.3496704232206866,+,-0.013928486832104776,0.06832187245045747,5.321852241629493,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_BLIND,PROJ_UNFROZEN,0.6042740282215185,+,-0.013678092675897447,0.04693300332926468,13.166686064432982,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_BLIND,COMMON_FROZEN,0.6810500337910069,+,-0.00671492255697313,0.030908410261093772,22.2517091800645,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_BLIND,COMMON_FROZEN,0.6810500337910069,+,-0.00671492255697313,0.030908410261093772,22.2517091800645,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_BLIND,COMMON_FROZEN,0.6810500337910069,+,-0.00671492255697313,0.030908410261093772,22.2517091800645,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_BLIND,COMMON_FROZEN,0.6810500337910069,+,-0.00671492255697313,0.030908410261093772,22.2517091800645,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_BLIND,COMMON_FROZEN,0.6810500337910069,+,-0.00671492255697313,0.030908410261093772,22.2517091800645,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_PUBLISHED,N_BLIND,COMMON_UNFROZEN,0.6741081906977858,+,-0.009087077918618718,0.030588677930326737,22.334906731587104,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_PUBLISHED,N_BLIND,COMMON_UNFROZEN,0.6741081906977858,+,-0.009087077918618718,0.030588677930326737,22.334906731587104,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_PUBLISHED,N_BLIND,COMMON_UNFROZEN,0.6741081906977858,+,-0.009087077918618718,0.030588677930326737,22.334906731587104,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_PUBLISHED,N_BLIND,COMMON_UNFROZEN,0.6741081906977858,+,-0.009087077918618718,0.030588677930326737,22.334906731587104,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_PUBLISHED,N_BLIND,COMMON_UNFROZEN,0.6741081906977858,+,-0.009087077918618718,0.030588677930326737,22.334906731587104,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_CLEAN,N_TSTRAJ,RAW_FROZEN,0.8100002145070573,+,-0.003909542415621874,0.20677907107127955,3.9361321854575575,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_TSTRAJ,RAW_FROZEN,0.7613421447753786,+,-0.012894396309872783,0.22642501594447406,3.419394883801693,0.0001999600079984003,0.0003999200159968006,5000
Mid-Range,ALL_x_CLEAN,N_TSTRAJ,RAW_FROZEN,0.5416357577539914,+,-0.0205514417482248,0.19752988975772,2.846086737514844,0.0011997600479904018,0.0057988402319536095,5000
Corner 3,ALL_x_CLEAN,N_TSTRAJ,RAW_FROZEN,0.3205159963227915,+,-0.019266581465829945,0.17838067396836768,1.9048172104612364,0.027394521095780843,0.1247750449910018,5000
Above the Break 3,ALL_x_CLEAN,N_TSTRAJ,RAW_FROZEN,0.5860581952096443,+,-0.022035144116204997,0.1812773414028412,3.3544917120917046,0.0003999200159968006,0.0003999200159968006,5000
Restricted Area,ALL_x_CLEAN,N_TSTRAJ,PROJ_FROZEN,0.7837402318748573,+,-0.006531093509937707,0.1846439152311777,4.2799749149348365,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_TSTRAJ,PROJ_FROZEN,0.7664865094308885,+,-0.011108453373454506,0.20581565193178414,3.778113838796236,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_CLEAN,N_TSTRAJ,PROJ_FROZEN,0.5780387614634107,+,-0.01803601949386826,0.1711210997291943,3.48335057395371,0.0001999600079984003,0.0003999200159968006,5000
Corner 3,ALL_x_CLEAN,N_TSTRAJ,PROJ_FROZEN,0.37803139987629053,+,-0.02005919996789536,0.1702918826466004,2.3376956884687607,0.009598080383923215,0.038992201559688064,5000
Above the Break 3,ALL_x_CLEAN,N_TSTRAJ,PROJ_FROZEN,0.6279642272541266,+,-0.018595295564198425,0.16269246571062976,3.9741208665945074,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_CLEAN,N_TSTRAJ,RAW_UNFROZEN,0.7955123396084993,+,-0.004146514723651617,0.20265363177413273,3.9459389270822904,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_TSTRAJ,RAW_UNFROZEN,0.7400931815492786,+,-0.013171013598186775,0.222609774214023,3.383787606842712,0.0001999600079984003,0.0003999200159968006,5000
Mid-Range,ALL_x_CLEAN,N_TSTRAJ,RAW_UNFROZEN,0.5201098732239797,+,-0.02232362035420678,0.18988124853496474,2.856698582737109,0.0009998000399920016,0.005598880223955209,5000
Corner 3,ALL_x_CLEAN,N_TSTRAJ,RAW_UNFROZEN,0.3048157432351423,+,-0.015194956826448149,0.17330862704431707,1.8464787674981693,0.03199360127974405,0.14377124575084982,5000
Above the Break 3,ALL_x_CLEAN,N_TSTRAJ,RAW_UNFROZEN,0.5736222283576196,+,-0.022654786422105964,0.18000947410627124,3.3124757335144737,0.0003999200159968006,0.0003999200159968006,5000
Restricted Area,ALL_x_CLEAN,N_TSTRAJ,PROJ_UNFROZEN,0.7684257430122119,+,-0.006887947753377254,0.18082928632407788,4.287544935481804,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_TSTRAJ,PROJ_UNFROZEN,0.7466999690136746,+,-0.011247799975784461,0.20214078431231292,3.7496033844333443,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_CLEAN,N_TSTRAJ,PROJ_UNFROZEN,0.5583357463879478,+,-0.019415964035096992,0.16499397917292025,3.501653292557652,0.0001999600079984003,0.0003999200159968006,5000
Corner 3,ALL_x_CLEAN,N_TSTRAJ,PROJ_UNFROZEN,0.35912538028963187,+,-0.01704343319200805,0.16882210448074322,2.2281964476076523,0.014397120575884824,0.05538892221555689,5000
Above the Break 3,ALL_x_CLEAN,N_TSTRAJ,PROJ_UNFROZEN,0.6150075365777117,+,-0.019196660146751466,0.16117388425705573,3.93490669811601,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_CLEAN,N_TSTRAJ,COMMON_FROZEN,0.7278485515709215,+,-0.010968876494696423,0.15103084873316736,4.89183126667664,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_TSTRAJ,COMMON_FROZEN,0.7278485515709215,+,-0.010968876494696423,0.15103084873316736,4.89183126667664,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_CLEAN,N_TSTRAJ,COMMON_FROZEN,0.7278485515709215,+,-0.010968876494696423,0.15103084873316736,4.89183126667664,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_CLEAN,N_TSTRAJ,COMMON_FROZEN,0.7278485515709215,+,-0.010968876494696423,0.15103084873316736,4.89183126667664,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_CLEAN,N_TSTRAJ,COMMON_FROZEN,0.7278485515709215,+,-0.010968876494696423,0.15103084873316736,4.89183126667664,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_CLEAN,N_TSTRAJ,COMMON_UNFROZEN,0.7107516441356154,+,-0.011356372610184812,0.14793197454885262,4.881351843967535,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_TSTRAJ,COMMON_UNFROZEN,0.7107516441356154,+,-0.011356372610184812,0.14793197454885262,4.881351843967535,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_CLEAN,N_TSTRAJ,COMMON_UNFROZEN,0.7107516441356154,+,-0.011356372610184812,0.14793197454885262,4.881351843967535,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_CLEAN,N_TSTRAJ,COMMON_UNFROZEN,0.7107516441356154,+,-0.011356372610184812,0.14793197454885262,4.881351843967535,0.0001999600079984003,0.0001999600079984003,5000
Above the Break 3,ALL_x_CLEAN,N_TSTRAJ,COMMON_UNFROZEN,0.7107516441356154,+,-0.011356372610184812,0.14793197454885262,4.881351843967535,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_CLEAN,N_OPPGAME,RAW_FROZEN,0.8100002145070573,+,-0.000770667808441621,0.07940932824951558,10.210020663667368,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_OPPGAME,RAW_FROZEN,0.7613421447753786,+,-0.0020666063429626356,0.10636906490280727,7.176980937229181,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_CLEAN,N_OPPGAME,RAW_FROZEN,0.5416357577539914,+,-0.002126171799366321,0.10054240698661789,5.408284383183029,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_CLEAN,N_OPPGAME,RAW_FROZEN,0.3205159963227915,+,-0.003657067844943269,0.14384442390964583,2.2536366398975622,0.011797640471905619,0.0595880823835233,5000
Above the Break 3,ALL_x_CLEAN,N_OPPGAME,RAW_FROZEN,0.5860581952096443,+,-0.005756262337329659,0.08712542154082631,6.79267252979263,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_CLEAN,N_OPPGAME,PROJ_FROZEN,0.7837402318748573,+,-0.0012636888693108492,0.0713670495475803,10.999528854290203,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_OPPGAME,PROJ_FROZEN,0.7664865094308885,+,-0.0018319794984288833,0.09449860026688534,8.130474808721111,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_CLEAN,N_OPPGAME,PROJ_FROZEN,0.5780387614634107,+,-0.0020533827567960562,0.08307673560011415,6.982606382278334,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_CLEAN,N_OPPGAME,PROJ_FROZEN,0.37803139987629053,+,-0.00340998535792491,0.122403148128594,3.1162710360478774,0.0009998000399920016,0.004199160167966407,5000
Above the Break 3,ALL_x_CLEAN,N_OPPGAME,PROJ_FROZEN,0.6279642272541266,+,-0.004765401155566374,0.07401618429153176,8.548530763454716,0.0001999600079984003,0.0001999600079984003,5000
Restricted Area,ALL_x_CLEAN,N_OPPGAME,RAW_UNFROZEN,0.7955123396084993,+,-0.0007845681627515592,0.07867867534906495,10.120873340055724,0.0001999600079984003,0.0001999600079984003,5000
In The Paint (Non-RA),ALL_x_CLEAN,N_OPPGAME,RAW_UNFROZEN,0.7400931815492786,+,-0.002130781494420287,0.10542329817166303,7.040416833052591,0.0001999600079984003,0.0001999600079984003,5000
Mid-Range,ALL_x_CLEAN,N_OPPGAME,RAW_UNFROZEN,0.5201098732239797,+,-0.002887112462761741,0.09921395610649436,5.271405417251647,0.0001999600079984003,0.0001999600079984003,5000
Corner 3,ALL_x_CLEAN,N_OPPGAME,RAW_UNFROZEN,0.3048157432351423,+,-0.0022667923100250877,0.13945617867516272,2.2020002158560446,0.015396920615876825,0.07018596280743851,5000
