bin,n,mean_role,beta_RAW_RA,beta_PROJ_RA
low,133,5.193470116809899,0.6291800891748137,0.7115659134627816
mid,1336,8.80852145574831,0.781263970672045,0.7691704796318036
high,1767,14.314725734726133,0.7026599029191827,0.7098782046958234
