arm,r2_pooled,r2_Restricted Area,r2_In The Paint (Non-RA),r2_Mid-Range,r2_Corner 3,r2_Above the Break 3
RAW,0.4369629934851337,0.45868899193013635,0.22513200743008555,0.3791801214991589,0.15194551187040217,0.6075146097086208
PROJ_TANGENT,0.4370300000715759,0.45874675075641835,0.22494937624595635,0.37961470207493475,0.15164168629494346,0.6076028730500731
BASE_ONLY,0.4242959796846302,0.43906706573904253,0.20260833733786765,0.3734138343632678,0.15151665863363895,0.6032051410720123
