half_life,lambda,mae_2025,mae_selfold_2025_26,rmse_2025
0.5,500,2.168417,2.101963,2.860255
0.5,1000,2.16335,2.096869,2.855272
0.5,2000,2.160217,2.09345,2.854128
0.5,3500,2.158908,2.09174,2.855356
0.5,5000,2.158503,2.091076,2.856725
0.5,7500,2.158297,2.090664,2.858549
0.5,11000,2.158253,2.090476,2.860361
0.5,16000,2.158309,2.090433,2.862098
0.5,23000,2.158447,2.090511,2.863666
0.5,33000,2.158664,2.090696,2.865053
0.5,47000,2.158968,2.090972,2.866211
0.5,68000,2.159352,2.091318,2.867197
0.5,100000,2.159763,2.091674,2.867998
1.0,500,2.167279,2.101591,2.858611
1.0,1000,2.162918,2.09703,2.853964
1.0,2000,2.160303,2.093887,2.852814
1.0,3500,2.159161,2.092204,2.854122
1.0,5000,2.158836,2.091509,2.855619
1.0,7500,2.158749,2.091092,2.857629
1.0,11000,2.158753,2.090874,2.859615
1.0,16000,2.158733,2.09075,2.861497
1.0,23000,2.158777,2.090737,2.863174
1.0,33000,2.158922,2.090831,2.864649
1.0,47000,2.159145,2.091018,2.865878
1.0,68000,2.159454,2.091295,2.86693
1.0,100000,2.159813,2.091637,2.86779
1.5,500,2.167296,2.101911,2.859116
1.5,1000,2.163169,2.097487,2.854175
1.5,2000,2.160657,2.094357,2.852616
1.5,3500,2.159573,2.09265,2.853719
1.5,5000,2.159187,2.091895,2.855175
1.5,7500,2.159077,2.091392,2.857206
1.5,11000,2.159082,2.091154,2.859244
1.5,16000,2.159042,2.09098,2.861183
1.5,23000,2.159036,2.09091,2.86291
1.5,33000,2.159074,2.090914,2.864427
1.5,47000,2.159234,2.091032,2.865694
1.5,68000,2.159474,2.091242,2.866782
1.5,100000,2.159775,2.091527,2.867676
2.0,500,2.167484,2.102224,2.859729
2.0,1000,2.163443,2.097856,2.85454
2.0,2000,2.160914,2.094678,2.852644
2.0,3500,2.159852,2.092966,2.853552
2.0,5000,2.159436,2.092168,2.854949
2.0,7500,2.159287,2.091609,2.856965
2.0,11000,2.159292,2.091339,2.859022
2.0,16000,2.159251,2.09114,2.86099
2.0,23000,2.159209,2.091032,2.862746
2.0,33000,2.159197,2.090985,2.864288
2.0,47000,2.159291,2.091043,2.865578
2.0,68000,2.159491,2.091213,2.866688
2.0,100000,2.159743,2.091454,2.867605
3.0,500,2.167919,2.10273,2.860621
3.0,1000,2.163845,2.098339,2.85513
3.0,2000,2.16125,2.095088,2.8528
3.0,3500,2.160182,2.093341,2.853432
3.0,5000,2.159747,2.092503,2.854731
3.0,7500,2.159538,2.091872,2.856705
3.0,11000,2.159536,2.091561,2.858769
3.0,16000,2.159486,2.091332,2.860766
3.0,23000,2.159415,2.091181,2.862554
3.0,33000,2.159353,2.091083,2.864126
3.0,47000,2.159367,2.091072,2.865441
3.0,68000,2.159517,2.091187,2.866577
3.0,100000,2.159712,2.091376,2.86752
5.0,500,2.168465,2.10328,2.861544
5.0,1000,2.164347,2.098858,2.855792
5.0,2000,2.161607,2.095502,2.853044
5.0,3500,2.160491,2.093692,2.853389
5.0,5000,2.160041,2.092822,2.854573
5.0,7500,2.159778,2.092127,2.856485
5.0,11000,2.159761,2.091771,2.858544
5.0,16000,2.159698,2.091513,2.86056
5.0,23000,2.159604,2.091325,2.862375
5.0,33000,2.159507,2.091189,2.863974
5.0,47000,2.159462,2.091121,2.865314
5.0,68000,2.159543,2.091171,2.866473
5.0,100000,2.159692,2.091313,2.867439
inf,500,2.169589,2.104352,2.863267
inf,1000,2.165309,2.099859,2.857134
inf,2000,2.1623,2.096279,2.853661
inf,3500,2.16102,2.094329,2.853452
inf,5000,2.160547,2.093388,2.854392
inf,7500,2.160221,2.092608,2.85615
inf,11000,2.160149,2.092161,2.858165
inf,16000,2.160068,2.09184,2.860199
inf,23000,2.159949,2.091599,2.862057
inf,33000,2.159798,2.0914,2.863702
inf,47000,2.159668,2.091248,2.865084
inf,68000,2.159613,2.091176,2.866284
inf,100000,2.159679,2.091232,2.86729
