lambda,mae_selfold_2025_26,mae_2025,mae_2026_train_thru2024,rmse_selfold_2025_26,intercept,home
500,2.104352,2.169589,2.016956,2.783397,0.971555,0.015096
1000,2.099859,2.165309,2.012178,2.776673,0.978781,0.014965
2000,2.096279,2.1623,2.007832,2.771968,0.986475,0.014833
3500,2.094329,2.16102,2.004985,2.770386,0.992571,0.014758
5000,2.093388,2.160547,2.003418,2.770364,0.996246,0.014741
7500,2.092608,2.160221,2.002029,2.771022,1.000113,0.014763
11000,2.092161,2.160149,2.00108,2.772041,1.003377,0.014827
16000,2.09184,2.160068,2.000437,2.77318,1.006144,0.014931
23000,2.091599,2.159949,2.000033,2.774272,1.008398,0.015063
33000,2.0914,2.159798,1.999769,2.77527,1.010231,0.015216
47000,2.091248,2.159668,1.999589,2.776133,1.011663,0.015372
68000,2.091176,2.159613,1.999493,2.776906,1.012822,0.015529
100000,2.091232,2.159679,1.999536,2.777578,1.013729,0.015676
