model,mae_2023,rmse_2023,mae_2024,rmse_2024,mae_2025,rmse_2025,mae_2026,rmse_2026,mae_pooled,rmse_pooled
zero baseline,2.239084,3.018527,2.259932,3.051826,2.226104,3.00944,2.055298,2.785505,2.198865,2.973062
team baseline,2.196675,2.906036,2.222915,2.942512,2.180701,2.885204,2.008197,2.65432,2.15576,2.853928
v0 pooled lam=5000,2.17357,2.873346,2.209566,2.931471,2.160547,2.854392,2.002288,2.64808,2.139662,2.832555
v0 pooled lam=5000 [unseen->repl],2.173398,2.87298,2.209432,2.931176,2.160609,2.854218,2.002321,2.648074,2.139615,2.83234
single ext lam=68000,2.178135,2.890101,2.208713,2.93671,2.159613,2.866284,1.999864,2.650714,2.139751,2.842104
single ext lam=68000 [unseen->repl],2.177899,2.889573,2.208443,2.936071,2.159501,2.865716,1.999768,2.650481,2.139576,2.8416
"prior-anchored (lw=10000, lp=5000)",2.176152,2.88159,2.211609,2.935758,2.158245,2.861681,2.002321,2.647444,2.140082,2.837695
"prior-anchored (lw=10000, lp=5000) [unseen->repl]",2.175962,2.881128,2.211347,2.935171,2.15818,2.861172,2.002274,2.6473,2.139945,2.837256
"decay-pooled (h=0.5, lam=11000)",2.175613,2.879708,2.211668,2.935631,2.158253,2.860361,2.00141,2.646717,2.139763,2.836648
"decay-pooled (h=0.5, lam=11000) [unseen->repl]",2.175421,2.879263,2.211381,2.935059,2.158189,2.859879,2.001391,2.646591,2.139626,2.836228
