lambda_within,lambda_prior,mae_2025,mae_selfold_2025_26,rmse_2025
0,500,2.180538,2.113664,2.8792
0,1000,2.170455,2.104565,2.864268
0,2000,2.163865,2.098226,2.855565
0,5000,2.160771,2.094056,2.85373
0,10000,2.160389,2.092718,2.856692
0,20000,2.16033,2.092079,2.860509
0,50000,2.159593,2.09127,2.864517
500,0,2.176444,2.106852,2.872285
500,500,2.168172,2.1007,2.861734
500,1000,2.164581,2.097876,2.857443
500,2000,2.161583,2.095268,2.85433
500,5000,2.160023,2.093112,2.854289
500,10000,2.160062,2.092352,2.857106
500,20000,2.160151,2.091919,2.8607
500,50000,2.159544,2.09123,2.864576
1000,0,2.168554,2.099874,2.863036
1000,500,2.164399,2.096981,2.858636
1000,1000,2.16234,2.095416,2.856425
1000,2000,2.160524,2.093843,2.854655
1000,5000,2.159492,2.092434,2.85496
1000,10000,2.159797,2.092051,2.857521
1000,20000,2.159992,2.091776,2.860888
1000,50000,2.159496,2.091192,2.864635
2000,0,2.163197,2.095107,2.859011
2000,500,2.161484,2.093911,2.85761
2000,1000,2.160462,2.093174,2.856745
2000,2000,2.159478,2.092369,2.855936
2000,5000,2.158978,2.091645,2.856273
2000,10000,2.159423,2.091609,2.858315
2000,20000,2.15972,2.091532,2.861254
2000,50000,2.159409,2.091121,2.86475
5000,0,2.159664,2.091763,2.859122
5000,500,2.159284,2.091491,2.85898
5000,1000,2.159004,2.091286,2.858882
5000,2000,2.15867,2.091023,2.858799
5000,5000,2.158481,2.090794,2.859115
5000,10000,2.158788,2.090891,2.860249
5000,20000,2.159157,2.091034,2.862237
5000,50000,2.159208,2.09096,2.865074
10000,0,2.158625,2.090739,2.861206
10000,500,2.158528,2.090659,2.861241
10000,1000,2.158443,2.090591,2.861279
10000,2000,2.158326,2.090493,2.861363
10000,5000,2.158245,2.090396,2.861681
10000,10000,2.158389,2.090453,2.862318
10000,20000,2.158708,2.090625,2.863502
10000,50000,2.159006,2.090801,2.86555
20000,0,2.158316,2.09044,2.863796
20000,500,2.158303,2.09042,2.863837
20000,1000,2.158291,2.090402,2.863877
20000,2000,2.158274,2.090373,2.863954
20000,5000,2.158266,2.090331,2.864175
20000,10000,2.158325,2.090345,2.864514
20000,20000,2.158506,2.09045,2.865106
20000,50000,2.158877,2.090712,2.866296
50000,0,2.158803,2.090856,2.866769
50000,500,2.158803,2.090853,2.866782
50000,1000,2.158803,2.090851,2.866795
50000,2000,2.158804,2.090846,2.866821
50000,5000,2.158813,2.090836,2.866892
50000,10000,2.158835,2.09083,2.866998
50000,20000,2.158893,2.090844,2.867177
50000,50000,2.159089,2.090957,2.867568
