player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
201881,Angel McCoughtry,44,42,86,19.8,-0.009,-0.005,-0.014,11000,-0.285,-0.147,-0.076,-0.031
1628282,Sydney Wiese,1134,1132,2266,578.5,-0.004,-0.01,-0.014,11000,-0.284,-0.144,-0.072,-0.029
203829,Bria Hartley,525,520,1045,270.4,-0.01,-0.004,-0.014,11000,-0.15,-0.098,-0.06,-0.028
1630386,Awak Kuier,2043,2051,4094,1031.1,-0.082,0.063,-0.019,11000,-1.325,-0.559,-0.184,-0.037
1631002,Nia Clouden,662,672,1334,336.3,-0.035,0.015,-0.02,11000,-0.167,-0.143,-0.095,-0.044
204334,Reshanda Gray,918,921,1839,472.8,-0.009,-0.012,-0.021,11000,-0.429,-0.223,-0.113,-0.046
1630097,Kaila Charles,1102,1110,2212,585.5,-0.003,-0.018,-0.021,11000,-0.27,-0.171,-0.101,-0.046
202638,Jessica Breland,1057,1068,2125,543.9,-0.015,-0.009,-0.024,11000,-0.543,-0.267,-0.131,-0.052
1627676,Tiffany Mitchell,4971,4966,9937,2538.3,-0.301,0.275,-0.026,11000,-0.182,-0.313,-0.279,-0.129
1641698,Caitlin Bickle,25,28,53,17.5,-0.063,0.037,-0.026,11000,-1.013,-0.49,-0.219,-0.07
1631013,Aisha Sheppard,382,393,775,189.5,-0.003,-0.023,-0.026,11000,-0.552,-0.304,-0.157,-0.062
1631068,Sam Thomas,287,286,573,142.6,-0.031,0.003,-0.028,11000,-0.461,-0.237,-0.125,-0.055
1642300,Dyaisha Fair,8,8,16,3.9,0.024,-0.052,-0.028,11000,-0.521,-0.272,-0.143,-0.061
202641,Sydney Colson,1151,1161,2312,587.2,0.116,-0.148,-0.032,11000,-0.218,-0.417,-0.345,-0.143
1631147,Kianna Smith,224,222,446,112.6,-0.014,-0.02,-0.034,11000,-0.664,-0.348,-0.18,-0.074
1630119,Jazmine Jones,999,1000,1999,497.6,-0.022,-0.014,-0.036,11000,-0.63,-0.347,-0.186,-0.079
1630454,Charli Collier,828,824,1652,423.8,-0.019,-0.019,-0.038,11000,-0.854,-0.429,-0.214,-0.085
1629479,Teaira McCowan,6807,6788,13595,3462.4,0.534,-0.573,-0.039,11000,3.6,2.511,1.436,0.385
203849,Theresa Plaisance,1964,1973,3937,979.3,-0.028,-0.017,-0.045,11000,-1.034,-0.558,-0.282,-0.107
1642309,Jakia Brown-Turner,16,15,31,8.0,-0.027,-0.021,-0.048,11000,-0.996,-0.504,-0.254,-0.103
1641667,Taylor Soule,111,115,226,57.3,-0.077,0.028,-0.049,11000,-0.624,-0.369,-0.214,-0.099
202650,Jantel Lavender,1718,1719,3437,867.4,-0.051,0.001,-0.05,11000,-1.062,-0.564,-0.285,-0.111
1641641,Robyn Parks,1039,1053,2092,531.1,-0.048,-0.002,-0.05,11000,0.379,0.048,-0.076,-0.081
1629546,Marine Johannes,2810,2803,5613,1442.7,-0.049,-0.003,-0.052,11000,-0.912,-0.707,-0.444,-0.173
1641670,Madi Williams,96,92,188,46.4,-0.032,-0.023,-0.055,11000,-0.882,-0.477,-0.258,-0.113
202662,Jasmine Thomas,2941,2929,5870,1542.9,-0.113,0.057,-0.056,11000,-1.398,-0.768,-0.372,-0.13
1629566,Xu Han,1181,1182,2363,603.6,-0.073,0.017,-0.056,11000,-1.103,-0.59,-0.305,-0.124
1628287,Jennie Simms,819,808,1627,422.3,-0.054,-0.003,-0.057,11000,-0.377,-0.263,-0.18,-0.102
