target,rung,n_scored,mae,r2_common_sst,sst_common,status,skill_vs_R1
pts,R0_LEAGUE,9808,6.266055954863466,-0.0005439998779499522,589742.956668026,ok,-0.5043762928673472
pts,R1_PLAYER_EXPAND,9808,4.165218492588938,0.5001474350883799,589742.956668026,ok,0.0
pts,R2_EWMA_TUNED,9808,4.083554485204791,0.5228294406022382,589742.956668026,ok,0.019606176129643438
pts,R3_RATE_X_MINUTES,9808,4.06395950262199,0.5184084381687692,589742.956668026,ok,0.024310607029886966
pts,R4_RICH_LOOKUP,9808,4.0670156998445215,0.5303757409516014,589742.956668026,ok,0.023576864675681763
minutes,R0_LEAGUE,9808,9.557689820339396,-0.0005857522955468042,1197002.18469138,ok,-0.8129922068928119
minutes,R1_PLAYER_EXPAND,9808,5.271776560319472,0.6146908268961802,1197002.18469138,ok,0.0
minutes,R2_EWMA_TUNED,9808,4.860369512162573,0.6677757004436328,1197002.18469138,ok,0.078039545767844
minutes,R3_RATE_X_MINUTES,0,,,,DEGENERATE_FOR_THIS_TARGET,
minutes,R4_RICH_LOOKUP,9808,4.869998928151264,0.674925952968186,1197002.18469138,ok,0.07621294786891719
fga,R0_LEAGUE,9808,4.502022570646154,-0.00033592583435226864,297243.2184951061,ok,-0.7099351363231277
fga,R1_PLAYER_EXPAND,9808,2.6328616068600414,0.613503599929449,297243.2184951061,ok,0.0
fga,R2_EWMA_TUNED,9808,2.5297667348392885,0.6496273959864723,297243.2184951061,ok,0.03915696584740136
fga,R3_RATE_X_MINUTES,9808,2.527247491069575,0.6419911941062132,297243.2184951061,ok,0.040113812102878565
fga,R4_RICH_LOOKUP,9808,2.506695182604086,0.6527490917653088,297243.2184951061,ok,0.04791988455725238
ppm,R0_LEAGUE,9808,0.20831881789505785,-0.00016303499476455485,822.2536889702455,ok,-0.13130114532976234
ppm,R1_PLAYER_EXPAND,9808,0.1841409060311126,0.10277507754923076,822.2536889702455,ok,0.0
ppm,R2_EWMA_TUNED,9808,0.1807294155463804,0.14687986834583888,822.2536889702455,ok,0.01852652166355584
ppm,R3_RATE_X_MINUTES,9808,0.18234539929808175,0.14840311040319998,822.2536889702455,ok,0.009750721725717448
ppm,R4_RICH_LOOKUP,9808,0.17984919464694654,0.1616924470164507,822.2536889702455,ok,0.023306670292156273
reb,R0_LEAGUE,9808,2.6145199235271863,-0.0003345344796308325,109166.60195758563,ok,-0.42830966403952675
reb,R1_PLAYER_EXPAND,9808,1.8304993583344071,0.468546568563881,109166.60195758563,ok,0.0
reb,R2_EWMA_TUNED,9808,1.7889187398286117,0.49980610816323745,109166.60195758563,ok,0.022715451014214016
reb,R3_RATE_X_MINUTES,9808,1.7874052598033747,0.4907259597852246,109166.60195758563,ok,0.023542263664186325
reb,R4_RICH_LOOKUP,9808,1.773022782201657,0.5039500791236484,109166.60195758563,ok,0.031399397039422405
ast,R0_LEAGUE,9808,1.7454100736787574,-0.00018028277815873572,52165.380811582385,ok,-0.4080494174648419
ast,R1_PLAYER_EXPAND,9808,1.2395943295948555,0.4652251248249727,52165.380811582385,ok,0.0
ast,R2_EWMA_TUNED,9808,1.214777872925345,0.4928702434004878,52165.380811582385,ok,0.02001982106325184
ast,R3_RATE_X_MINUTES,9808,1.2035058637891312,0.4926046871020635,52165.380811582385,ok,0.02911312591879911
ast,R4_RICH_LOOKUP,9808,1.1976882594935454,0.5029492551193318,52165.380811582385,ok,0.03380627766747413
