feature,scheme,real,p,null_sd
P01_c04_prevgame,within_cyclic,0.0037165844616046965,0.07792207792207792,
A10_opp_defrtg,within_cyclic,0.005331196269763358,0.000999000999000999,
G01_noise,within_cyclic,5.508467639687059e-05,0.6093906093906094,
