row_set,response,rung,n,mae,r2_common_sst
E1_I0018 DECISION common,points,R0_LEAGUE,3165,7.047147059946652,-0.39922754135376715
E1_I0018 DECISION common,points,R1_PLAYER_EXPAND,3165,5.042420253214281,0.30947048709201996
E1_I0018 DECISION common,points,R2_EWMA_TUNED,3165,5.029112873400367,0.31760748281656803
E1_I0018 DECISION common,points,R3_RATE_X_MINUTES,3165,5.055282870192918,0.3142346619618349
E1_I0018 DECISION common,points,R4_RICH_LOOKUP,3165,5.04158432053962,0.3221207398601833
E1_I0018 DECISION common,ppm,R0_LEAGUE,3165,0.1863493853999856,-0.1468655299255699
E1_I0018 DECISION common,ppm,R1_PLAYER_EXPAND,3165,0.15214359772567906,0.24889462336805723
E1_I0018 DECISION common,ppm,R2_EWMA_TUNED,3165,0.15117251403467624,0.2600819954307305
E1_I0018 DECISION common,ppm,R3_RATE_X_MINUTES,3165,0.15170588093575,0.2589307941145714
E1_I0018 DECISION common,ppm,R4_RICH_LOOKUP,3165,0.15200702416007547,0.26026577443786336
E1_I0020 tier frame (pooled),points,R0_LEAGUE,13879,6.125217650857433,-0.0006686273432738865
E1_I0020 tier frame (pooled),points,R1_PLAYER_EXPAND,13879,4.097291283503927,0.4928661212301747
E1_I0020 tier frame (pooled),points,R2_EWMA_TUNED,13879,4.043923285650124,0.5103672803286745
E1_I0020 tier frame (pooled),points,R3_RATE_X_MINUTES,13879,4.016544155145805,0.507099224661121
E1_I0020 tier frame (pooled),points,R4_RICH_LOOKUP,13879,4.23982402533168,0.4648955561009104
