screen,decision,null_arm,cells,K,n_med,mde80_fw_med,mde80_fw_min,mde80_percell_med,pct_could_see_best_lead_fw,pct_could_see_D079_fw,pct_could_see_D084_fw
E0_I0014_residual_heterogeneity,D078/D082 era,N1_within,348,348,13879.0,0.0028382530805148363,0.0,0.0003096923143826953,0.4166666666666667,0.07183908045977011,0.05172413793103448
E0_I0016_efficiency_predictors,D085,N1_within,132,132,14079.0,0.0016896454149667001,0.00013996446597219696,0.0007401651930986883,0.5984848484848485,0.3106060606060606,0.0
E0_I0016_efficiency_predictors,D085,N2_entity_swap,132,132,14079.0,0.0014510288431790193,0.0006440749079095977,0.000605612001101443,1.0,0.18181818181818182,0.0
E0_I0017_shot_quality_efficiency,D087,N2_entity_swap,117,117,13984.0,0.0015343455097617676,0.0010067175395293956,0.0006367551138121765,0.9743589743589743,0.017094017094017096,0.0
E0_I0019_availability_forecast,D090,N2_entity_swap,318,318,17809.0,0.005919007493361914,0.001821213458749593,0.0005990849411477263,0.009433962264150943,0.0,0.0
E0_I0024_reb_ast_characterisation,D097,N1_within,250,250,9447.5,0.0008285892941439557,5.7863008750584775e-05,0.0003603348178260363,0.888,0.604,0.02
E0_I0024_reb_ast_characterisation,D097,N2_entity_swap,250,250,9447.5,0.001881525492896992,0.00035507452204477057,0.0007816767312556592,0.64,0.248,0.0
E1_I0018_teammate_volume_channel,D089,N1_within,154,154,9831.0,0.0013042170135471995,0.0005493491647017136,0.0005754072289846234,0.6753246753246753,0.42857142857142855,0.0
E1_I0018_teammate_volume_channel,D089,N2_entity_swap,154,154,9831.0,0.0016489094847454812,0.0005289604546189883,0.0006920908756823617,0.7467532467532467,0.2662337662337662,0.0
E1_I0023_usage_defence_interaction,D098/D099,paired_cluster_signflip,120,120,8689.0,0.003741610171521947,4.9651907601448975e-05,0.0012051795168476686,0.325,0.175,0.041666666666666664
