screen,decision,family_size_K,cell,mde80_fw,mde80_percell,n,stat_family,reported_dr2,reported_p_fw,blind_to_best_lead_fw,blind_to_D079_ceiling_fw,blind_to_D084_ceiling_fw,blind_to_best_lead_percell,was_reported_null_at_fw05
E0_I0016_efficiency_predictors,D085,132,efg|E06_pl_efg_prior,0.0806816840943945,0.0631196338935022,13984,increment,0.0,1.0,True,True,True,True,True
E0_I0016_efficiency_predictors,D085,132,ts|E06_pl_efg_prior,0.0612766295370589,0.0462759677593756,14073,increment,0.0008841662368468,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,neg_ctrl_player_noise|skill_vs_R2,0.0290390422635784,0.0029391503465695,17809,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_is_rookie_window|skill_vs_R2,0.0289480356313969,0.0029299392241058,17809,t_statistic,,0.1118881118881118,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_min_mean5|skill_vs_R2,0.0265832889050732,0.0026905943415461,15831,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_prior_season_games|skill_vs_R2,0.0264218911945743,0.0026742586741214,17809,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_usg_mean5|skill_vs_R2,0.0262497024834788,0.0026568308090666,15831,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_start_mean5|skill_vs_R2,0.0257279717371798,0.0026040244840548,15831,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_career_games_prior|skill_vs_R2,0.0247783008425197,0.0025079047321074,17809,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,neg_ctrl_player_noise|brier,0.0238288870680022,0.0024118110042536,17809,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_career_opps_prior|skill_vs_R2,0.023654662074978,0.0023941770394699,17809,t_statistic,,0.973026973026973,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_switch_rate|skill_vs_R2,0.0232545355498945,0.0023536787336306,17320,t_statistic,,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_min_cv5|skill_vs_R2,0.0232318733957241,0.0023513850120374,15254,t_statistic,,1.0,True,True,True,True,True
E0_I0016_efficiency_predictors,D085,132,ts|F03_minutes_load_7d,0.0225155766858099,0.0166202297398543,14079,increment,0.004105979942241,1.0,True,True,True,True,True
E0_I0016_efficiency_predictors,D085,132,ppm|B06_pl_ftpts_per36,0.0215101720039056,0.0169168065787592,14852,increment,0.0006958817202603,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_absence_spells|skill_vs_R2,0.0195497496156371,0.0019787034584888,17809,t_statistic,,0.7562437562437563,True,True,True,False,True
E0_I0016_efficiency_predictors,D085,132,efg|F03_minutes_load_7d,0.0195271952866814,0.0140559802832986,13989,increment,0.0030787315671721,1.0,True,True,True,True,True
E0_I0019_availability_forecast,D090,318,pl_switches|skill_vs_R2,0.0190677021096733,0.0019299136230199,17809,t_statistic,,1.0,True,True,True,False,True
E0_I0019_availability_forecast,D090,318,pl_switches5|skill_vs_R2,0.0175779955883093,0.0017791348404825,16345,t_statistic,,1.0,True,True,True,False,True
E0_I0016_efficiency_predictors,D085,132,ts|B06_pl_ftpts_per36,0.0163592932836512,0.0131707499627574,14079,increment,0.0017938216108652,1.0,True,True,True,True,True
