stratum,base,null,delta,mu_null,sd_null,mu_null_delta0,sd_null_delta0,rel_drift_sd
DECISION,B_SINGLE,N_E_entity_swap_player_season,0.0003,0.0001481862186020822,0.0002142592181329053,0.0001665989709203799,0.0002342086618272611,-0.08517807812364069
DECISION,B_SINGLE,N_E_entity_swap_player_season,0.001,0.00014822552212336547,0.00021365418251870032,0.0001665989709203799,0.0002342086618272611,-0.087761396816829
DECISION,B_SINGLE,N_E_entity_swap_player_season,0.003,0.00014931284973054713,0.00021416585038134753,0.0001665989709203799,0.0002342086618272611,-0.08557673012408053
DECISION,B_SINGLE,N_E_entity_swap_player_season,0.01,0.00015504571436263665,0.00021939867813144834,0.0001665989709203799,0.0002342086618272611,-0.06323414164218978
DECISION,B_COMPLETE,N_E_entity_swap_player_season,0.0003,0.0001472857236648007,0.00021561075118226128,0.00016892199114504922,0.00023589563449948942,-0.08599092289379373
DECISION,B_COMPLETE,N_E_entity_swap_player_season,0.001,0.00014643177993563713,0.00021472591151371642,0.00016892199114504922,0.00023589563449948942,-0.08974190230645757
DECISION,B_COMPLETE,N_E_entity_swap_player_season,0.003,0.00014714560922969542,0.00021453788040511683,0.00016892199114504922,0.00023589563449948942,-0.0905389967885091
DECISION,B_COMPLETE,N_E_entity_swap_player_season,0.01,0.0001528202045536096,0.00022015545434281764,0.00016892199114504922,0.00023589563449948942,-0.06672518628870962
POOLED,B_SINGLE,N_E_entity_swap_player_season,0.0003,7.489570913894522e-05,0.00010707122607788754,7.554016867518544e-05,0.00010880898024338902,-0.015970686993062425
POOLED,B_SINGLE,N_E_entity_swap_player_season,0.001,7.295169632154032e-05,0.00010397847787338823,7.554016867518544e-05,0.00010880898024338902,-0.04439433546014029
POOLED,B_SINGLE,N_E_entity_swap_player_season,0.003,7.109133611825133e-05,9.938680261960274e-05,7.554016867518544e-05,0.00010880898024338902,-0.08659374991577266
POOLED,B_SINGLE,N_E_entity_swap_player_season,0.01,7.113023383369078e-05,9.782497349746221e-05,7.554016867518544e-05,0.00010880898024338902,-0.10094761224080277
POOLED,B_COMPLETE,N_E_entity_swap_player_season,0.0003,7.888079671704892e-05,0.00011358601887433823,8.025374995221e-05,0.00011654464188409258,-0.025386177879346827
POOLED,B_COMPLETE,N_E_entity_swap_player_season,0.001,7.61292834894063e-05,0.00010949858643887709,8.025374995221e-05,0.00011654464188409258,-0.06045799559127755
POOLED,B_COMPLETE,N_E_entity_swap_player_season,0.003,7.295726930058979e-05,0.00010499722035168854,8.025374995221e-05,0.00011654464188409258,-0.09908153086856042
POOLED,B_COMPLETE,N_E_entity_swap_player_season,0.01,7.252841153199776e-05,0.00010509133638877713,8.025374995221e-05,0.00011654464188409258,-0.09827397733742345
