arm,K,q95_maxt,q95_maxt_lo,q95_maxt_hi,extrapolated_beyond_real_family,real_family_size
N1_within,1,1.9992539964460991,1.8716305117258254,2.124600715831498,False,154
N1_within,18,4.974338012066289,4.7879320037837045,5.177934009286335,False,154
N1_within,39,5.695986850028299,5.471366251907379,5.930188503966993,False,154
N1_within,44,5.833238170032072,5.578416272062386,6.037815252165143,False,154
N1_within,132,6.606553602093543,6.529167868854651,6.71532286185875,False,154
N1_within,154,6.726312674502062,6.726312674502062,6.726312674502062,False,154
N1_within,250,6.535048638253136,6.475072299537854,6.715319718264783,True,154
N1_within,318,6.606553602093543,6.529167868854651,6.726312674502062,True,154
N1_within,348,6.686211887168178,6.532631599070681,6.726312674502062,True,154
N2_entity_swap,1,2.00296895747484,1.838331965319275,2.1499326089213344,False,154
N2_entity_swap,18,5.065914990765384,4.912934455089431,5.267159537918044,False,154
N2_entity_swap,39,5.748932232686749,5.513125909180315,5.931908013213568,False,154
N2_entity_swap,44,5.866627662225086,5.616741659196355,6.0068760657827305,False,154
N2_entity_swap,132,6.97447469907285,6.902519080333685,7.0083281495438365,False,154
N2_entity_swap,154,7.0083281495438365,7.0083281495438365,7.0083281495438365,False,154
N2_entity_swap,250,6.964093931192527,6.849388411614208,6.975526631154893,True,154
N2_entity_swap,318,6.97447469907285,6.90712434511128,7.0083281495438365,True,154
N2_entity_swap,348,6.97447469907285,6.90712434511128,7.0083281495438365,True,154
