stratum,base,null,delta,sigma_null_delta0,sigma_null_planted_median,sigma_null_planted_max,rel_drift_median,rel_drift_max,n_reps
POOLED,B_SINGLE,N_B_entity_swap_team_season,0.001,0.00013446933165882835,9.959429268141058e-05,0.00011720388755328192,0.2593531071151725,0.39511156716867435,12
POOLED,B_SINGLE,N_B_entity_swap_team_season,0.003,0.00013446933165882835,9.22235242858887e-05,0.00011102104602437015,0.3141668576157162,0.4322236612911123,12
POOLED,B_SINGLE,N_B_entity_swap_team_season,0.01,0.00013446933165882835,0.00011922145130739779,0.00017978373550474786,0.11339299573613584,0.33698690464893427,12
DECISION,B_SINGLE,N_B_entity_swap_team_season,0.001,0.00021554513610756853,0.0001955898690474855,0.0002473174066384892,0.09258045632783049,0.2283985588060614,12
DECISION,B_SINGLE,N_B_entity_swap_team_season,0.003,0.00021554513610756853,0.00018363907173412524,0.00023283090830411723,0.14802497959184038,0.3070052851689899,12
DECISION,B_SINGLE,N_B_entity_swap_team_season,0.01,0.00021554513610756853,0.00020840394836750594,0.00023639397987434627,0.033130822940485014,0.26297632568438484,12
DECISION,B_COMPLETE,N_A_within_player_cyclic,0.001,0.0005578606899118994,0.00038073647114631224,0.0004004216119025103,0.3175061838351787,0.3736563882871271,12
DECISION,B_COMPLETE,N_A_within_player_cyclic,0.003,0.0005578606899118994,0.0002587123640506329,0.0002721551346586804,0.5362419888530051,0.5854134839760354,12
DECISION,B_COMPLETE,N_A_within_player_cyclic,0.01,0.0005578606899118994,0.0001350798368982895,0.00015320790184312236,0.7578609869076417,0.8024925821226836,12
POOLED,B_SINGLE,N_D_within_date_opp_swap,0.001,3.980095608761384e-05,8.356768231954217e-05,9.391265091427915e-05,1.099640072353655,1.3595576625734627,12
POOLED,B_SINGLE,N_D_within_date_opp_swap,0.003,3.980095608761384e-05,0.00013072133330465702,0.0001409316426558695,2.284376712380983,2.540910985797343,12
POOLED,B_SINGLE,N_D_within_date_opp_swap,0.01,3.980095608761384e-05,0.00024108843786336843,0.00026313183234074196,5.0573529272176385,5.611193755283412,12
