screen,file,n_cells_in_file,columns,pcorrect_col,pcorrect_min,n_cleared_percell05,n_min,n_med,n_max,dr2_col,dr2_max,dr2_med,pfw_col,pfw_min,n_cleared_fw05
E1_I0004_efficiency_transfer_v2,points_contrast.csv,12,centred;dR2_cand_minus_champ;d_points_skill;inflation;mae_candidate;mae_champion;mae_reference;n;p_cluster_opp_team_season;p_game;p_opponent_team_season;p_opponent_team_season_game;p_player_season;p_row_level_NAIVE;points_skill_candidate;points_skill_champion;r2_candidate;r2_champion;spec;stratum,,,,4938.0,5633.0,11267.0,,,,,,
E1_I0018_teammate_volume_channel,screen_results.csv,154,base;beta;beta_x_sd_in_y_units;cand_sd;candidate;cell_key;corr_with_abs_resid;corr_with_base_residual;dr2;inflation_N1_over_row;inflation_N2_over_row;mae_base;mae_with_candidate;n;n_base_cols;null_mean_N1;null_mean_N2;null_sd_N1;null_sd_N2;null_sd_row_NAIVE;outcome;p_N1_within_entity;p_N2_entity_swap;p_correct_level;p_familywise_N1;p_familywise_N2;p_familywise_maxt;p_row_level_NAIVE;paired_dr2_cand_minus_base;paired_p_cluster;paired_p_row_NAIVE;part;real;sign;stratum;t_N1;t_N2;tip_time;var_share_between_team_season;y_sd,p_correct_level,0.0016638935108153,97.0,5652.0,9831.0,14852.0,dr2,0.0111163843276289,0.00075080576966935,p_familywise_maxt,0.0016638935108153,64.0
E1_I0018_teammate_volume_channel,walkforward_points.csv,16,base;candidate;mae_pct_reduction;mae_reference;mae_with_candidate;n_scored;paired_p_cluster;paired_p_row_NAIVE;r2_reference;r2_with_candidate;seasons_scored;stratum;walkforward_paired_dr2_points,paired_p_cluster,0.0004997501249375,8.0,4517.0,8127.0,11738.0,walkforward_paired_dr2_points,0.008975192858252,0.0023263450161936,,,
E1_I0021_heterogeneity_diagnostic,family_wise_by_floor.csv,6,argmax;clears_005;clears_005_cyclic;family_wise_p;family_wise_p_cyclic;floor;max_z;max_z_cyclic;null_p95;null_p95_cyclic;z_R01_prior_efficiency_persistence;z_R02_opp_efg_allowed;z_R03_opp_ts_allowed;z_R04_opp_defrtg;z_R05_teammate_volume_pregame;z_R06_own_usage;z_control_NC1_noise_eff_frame;z_control_NC2_noise_tv_frame;z_cyclic_R01_prior_efficiency_persistence;z_cyclic_R02_opp_efg_allowed;z_cyclic_R03_opp_ts_allowed;z_cyclic_R04_opp_defrtg;z_cyclic_R05_teammate_volume_pregame;z_cyclic_R06_own_usage,,,,,,,,,,,,
E1_I0022_optimal_simple_estimator,champion_vs_best.csv,44,best_simple_adaptive_mae;best_simple_mae;best_simple_skill_vs_d081_ref;champ_mae;champ_skill_vs_best_simple;champ_skill_vs_best_simple_adaptive;champ_skill_vs_d081_ref;d081_ref_mae;n;slice;target,,,,47.0,3071.0,9517.0,,,,,,
E1_I0023_usage_defence_interaction,usage_tier_gain.csv,12,dr2_a_minus_b;mae_pct_reduction;mae_with;mae_without;n;n_clusters_present;null_sd_cluster;null_sd_row;null_width_inflation_cluster_over_row;p_cluster;p_row_NAIVE;response;stratum;tier;tier_cut_high;tier_cut_low,,,,1393.0,2507.0,4474.0,,,,,,
E1_I0023_usage_defence_interaction,stress_family_wise.csv,24,cell;dr2;kind;n;p_swap;response;stratum;swap_null_mean;swap_null_sd;tier;z,,,,1259.0,2397.0,4563.0,dr2,0.0238629178718996,-0.00022653274839335,,,
E1_I0023_usage_defence_interaction,interaction_forecast.csv,120,base;beta_sign_consistent;cell_id;defence;dr2_a_minus_b;fit;kind;mae_pct_reduction;mae_with;mae_without;mean_interaction_beta;n_clusters_present;n_rows_eligible;n_scored;null_sd_cluster;null_sd_row;null_width_inflation_cluster_over_row;p_cluster;p_row_NAIVE;r2_with;r2_without;response;sd_response;stratum;usage,,,,4514.0,8689.0,14852.0,,,,,,
E1_I0025_threshold_vs_refit,ladder_increments.csv,28,dr2;eval_rows;increment;response;stratum;why,,,,,,,dr2,0.0342589245337328,0.00222630741084475,,,
E1_I0025_threshold_vs_refit,pooled_tier_dummy.csv,28,dr2_defence_family;eval_rows;mae_pct_reduction;mae_with;mae_without;mean_defence_beta;n_defence_family_cols;n_scored;null_sd_cluster;p_cluster_signflip;p_row_NAIVE;response;rung;sd_response;sst;stratum,,,,1687.0,3983.0,11705.0,,,,,,
