stratum,base,null,carrier,kind,level,block,n,n_groups,real_dr2,null_mean,null_sd,p,q95_dr2,secs,t_crit_percell
POOLED,B_SINGLE,N_A_within_player_cyclic,P01_c04_prevgame,perm_cyclic,"['player_id', 'season']",None,14852,600,0.002199581444448333,0.00213184178243826,0.0006830703436879191,0.43261231281198004,0.0033410543783516083,6.4,1.770260716319157
POOLED,B_SINGLE,N_B_entity_swap_team_season,P01_c04_prevgame,entity_swap,"['team_id', 'season']",None,14852,48,0.002199581444448333,9.864026136752398e-05,0.00012336882205933207,0.0016638935108153079,0.0003445781914999156,0.7,1.9935176978030325
POOLED,B_SINGLE,N_C_entity_swap_opp_team_season,A10_opp_defrtg,entity_swap,"['opp_team_id', 'season']",None,14852,48,0.0014430974149688088,0.00010439765016122873,0.00014337491455651154,0.0016638935108153079,0.0003987143263701737,0.8,2.0527766458960257
POOLED,B_SINGLE,N_D_within_date_opp_swap,A10_opp_defrtg,perm_between,"['opp_team_id', 'game_id']",game_date,14852,1632,0.0014430974149688088,3.5022296094336046e-05,4.881309390355379e-05,0.0016638935108153079,0.0001333358255313163,3.3,2.0140810912586433
POOLED,B_SINGLE,N_R_row_level_CONTRAST_ONLY,P01_c04_prevgame,perm_row,row,None,14852,14852,0.002199581444448333,5.539648533632802e-05,8.15637871887922e-05,0.0016638935108153079,0.00020771031126533802,0.9,1.867419735874399
POOLED,B_SINGLE,N_R_row_level_CONTRAST_ONLY_OPP,A10_opp_defrtg,perm_row,row,None,14852,14852,0.0014430974149688088,5.888404899345744e-05,8.854526796403578e-05,0.0016638935108153079,0.00022757528781387475,1.4,1.9051412085503454
POOLED,B_COMPLETE,N_A_within_player_cyclic,P01_c04_prevgame,perm_cyclic,"['player_id', 'season']",None,14852,600,0.0004844132072594421,0.0004905477148070328,0.0003286545565898581,0.4442595673876872,0.0011060404886452096,7.4,1.872765070487905
POOLED,B_COMPLETE,N_B_entity_swap_team_season,P01_c04_prevgame,entity_swap,"['team_id', 'season']",None,14852,48,0.0004844132072594421,7.935600704601014e-05,0.00010094969339194427,0.011647254575707155,0.0002993264464054983,0.6,2.179010475103054
POOLED,B_COMPLETE,N_C_entity_swap_opp_team_season,A10_opp_defrtg,entity_swap,"['opp_team_id', 'season']",None,14852,48,0.0016912415267264966,0.0001066684311852092,0.00014986187838837416,0.0016638935108153079,0.00040332592701011494,0.7,1.9795394199991527
POOLED,B_COMPLETE,N_D_within_date_opp_swap,A10_opp_defrtg,perm_between,"['opp_team_id', 'game_id']",game_date,14852,1632,0.0016912415267264966,3.550992501585241e-05,4.909163640964099e-05,0.0016638935108153079,0.00013620240224802266,2.2,2.0511126659529215
POOLED,B_COMPLETE,N_R_row_level_CONTRAST_ONLY,P01_c04_prevgame,perm_row,row,None,14852,14852,0.0004844132072594421,5.554508977858145e-05,8.347711138041287e-05,0.009983361064891847,0.000203629971631708,0.6,1.7739579077945105
POOLED,B_COMPLETE,N_R_row_level_CONTRAST_ONLY_OPP,A10_opp_defrtg,perm_row,row,None,14852,14852,0.0016912415267264966,5.810274741514898e-05,8.757877910418184e-05,0.0016638935108153079,0.00021897646081182567,0.6,1.8369029009333957
DECISION,B_SINGLE,N_A_within_player_cyclic,P01_c04_prevgame,perm_cyclic,"['player_id', 'season']",None,5673,343,0.002911036682052511,0.0012184271647293543,0.0006406614938048595,0.011647254575707155,0.002283467551908203,3.6,1.6624073671942143
DECISION,B_SINGLE,N_B_entity_swap_team_season,P01_c04_prevgame,entity_swap,"['team_id', 'season']",None,5673,48,0.002911036682052511,0.00017655940604623956,0.000227716746547718,0.0016638935108153079,0.0006611576419954194,0.4,2.1280746510561634
DECISION,B_SINGLE,N_C_entity_swap_opp_team_season,A10_opp_defrtg,entity_swap,"['opp_team_id', 'season']",None,5673,48,0.008185208044630105,0.0004157098908675947,0.0005431944588390166,0.0016638935108153079,0.0015383408603198863,0.4,2.066720216277094
DECISION,B_SINGLE,N_D_within_date_opp_swap,A10_opp_defrtg,perm_between,"['opp_team_id', 'game_id']",game_date,5673,1388,0.008185208044630105,0.00010541647506107282,0.00015114833099022433,0.0016638935108153079,0.00039826469107885284,1.5,1.937488916346157
DECISION,B_SINGLE,N_R_row_level_CONTRAST_ONLY,P01_c04_prevgame,perm_row,row,None,5673,5673,0.002911036682052511,0.00012288202813710034,0.0001590538652593599,0.0016638935108153079,0.0004701345623578983,0.2,2.183238575526306
DECISION,B_SINGLE,N_R_row_level_CONTRAST_ONLY_OPP,A10_opp_defrtg,perm_row,row,None,5673,5673,0.008185208044630105,0.00013037491923418356,0.00018351466558272998,0.0016638935108153079,0.0005367185671309905,0.4,2.2142298361087867
DECISION,B_COMPLETE,N_A_within_player_cyclic,P01_c04_prevgame,perm_cyclic,"['player_id', 'season']",None,5673,343,0.0023420284455654364,0.0009207783661197202,0.000551969252438069,0.011647254575707155,0.0018402951413847074,3.7,1.665884052786359
DECISION,B_COMPLETE,N_B_entity_swap_team_season,P01_c04_prevgame,entity_swap,"['team_id', 'season']",None,5673,48,0.0023420284455654364,0.00016612197815447325,0.00021528569465831867,0.0016638935108153079,0.0006537588066172787,0.4,2.2650684209962813
DECISION,B_COMPLETE,N_C_entity_swap_opp_team_season,A10_opp_defrtg,entity_swap,"['opp_team_id', 'season']",None,5673,48,0.008599225579600498,0.000425928115350958,0.0005514240365527689,0.0016638935108153079,0.0015909796788643167,0.4,2.11280518491121
DECISION,B_COMPLETE,N_D_within_date_opp_swap,A10_opp_defrtg,perm_between,"['opp_team_id', 'game_id']",game_date,5673,1388,0.008599225579600498,0.00011145813552478955,0.0001586946919242584,0.0016638935108153079,0.0004100616657748414,1.5,1.8816226719956641
DECISION,B_COMPLETE,N_R_row_level_CONTRAST_ONLY,P01_c04_prevgame,perm_row,row,None,5673,5673,0.0023420284455654364,0.00012300360348266713,0.0001606375977838822,0.0016638935108153079,0.00045751763723800076,0.3,2.0824143187535737
DECISION,B_COMPLETE,N_R_row_level_CONTRAST_ONLY_OPP,A10_opp_defrtg,perm_row,row,None,5673,5673,0.008599225579600498,0.00012971258498058167,0.0001805055139412096,0.0016638935108153079,0.0005418746115227084,0.2,2.2833763775015057
