variant,pooled_mae,n,mae_2024,mae_2025,mae_2026
v1_none,10.175266229683182,627,9.125884883037694,10.99147288892967,10.243943971501645
v2_reconstructed,10.155492015187953,627,9.03721349748723,10.975283738175099,10.303683318588483
v3_pregame_oracle,10.117016383817154,627,9.03465480423683,10.91733968199327,10.250155525678739
v4_omniscient,10.107171605118157,627,9.166234324713745,10.822523465573907,10.19351296350426
