catalog_number,name,channel,observed_improvement,null_q05,null_q50,null_q95,null_q99,null_max,null_sd
7,b2b_x_age_pooled,fg3,-0.001561,-0.003663,-0.000115,0.001412,0.002765,0.004815,0.001639
7,b2b_x_age_pooled,paint,-0.002851,-0.003411,-0.000123,0.001444,0.002606,0.005781,0.001525
7,b2b_x_age_pooled,ft,-0.000646,-0.002306,-6.7e-05,0.001045,0.002199,0.004021,0.001064
7,b2b_x_age_pooled,np2,0.002191,-0.001872,-8e-06,0.001309,0.002106,0.004289,0.000983
9,travel_km_since_last,fg3,-0.001081,-0.001711,-2.3e-05,0.001241,0.002201,0.004586,0.000935
9,travel_km_since_last,paint,-0.000246,-0.00229,-6.7e-05,0.001123,0.002087,0.003317,0.001078
9,travel_km_since_last,ft,0.002891,-0.001056,-2.4e-05,0.000662,0.001297,0.002516,0.000551
9,travel_km_since_last,np2,-0.00019,-0.0009,-1.1e-05,0.000694,0.001292,0.002315,0.000508
10,tip_split_local,fg3,0.002803,-0.003204,-6.4e-05,0.001908,0.003892,0.009711,0.001628
10,tip_split_local,paint,-0.000112,-0.003483,-9.8e-05,0.00183,0.003475,0.007955,0.001687
10,tip_split_local,ft,-0.000278,-0.00074,-1.2e-05,0.000503,0.000909,0.001728,0.000398
10,tip_split_local,np2,-0.000255,-0.001588,-1.2e-05,0.001134,0.002058,0.003579,0.000852
27,age_curve_peak,fg3,0.00059,-0.003898,-1.9e-05,0.003187,0.005411,0.011675,0.002307
27,age_curve_peak,paint,-0.000392,-0.003176,-0.000143,0.001473,0.002983,0.005761,0.00149
27,age_curve_peak,ft,0.002101,-0.002286,-3.8e-05,0.001422,0.002404,0.003817,0.001104
27,age_curve_peak,np2,-0.001113,-0.003096,-3e-05,0.002411,0.003966,0.008463,0.001687
28,height_x_paint_vol,paint,-0.002535,-0.002719,-7.8e-05,0.001356,0.002419,0.005471,0.001313
29,experience_x_minutes_vol,fg3,7.6e-05,-0.00472,-5.5e-05,0.002975,0.005465,0.011207,0.002386
29,experience_x_minutes_vol,paint,-1.8e-05,-0.0033,-6e-05,0.00182,0.003201,0.006996,0.00165
29,experience_x_minutes_vol,ft,0.000778,-0.002323,-5.1e-05,0.001407,0.00213,0.005068,0.001136
29,experience_x_minutes_vol,np2,-4.4e-05,-0.003538,-3e-05,0.002408,0.003962,0.006914,0.001815
30,draft_pedigree_lowexp,fg3,0.001364,-0.004236,-9.5e-05,0.002477,0.004573,0.010149,0.002152
30,draft_pedigree_lowexp,paint,-0.000418,-0.0037,-0.000119,0.001579,0.003345,0.008391,0.001707
30,draft_pedigree_lowexp,ft,0.000445,-0.002037,-6.7e-05,0.001009,0.001995,0.003925,0.000977
30,draft_pedigree_lowexp,np2,-0.000343,-0.002651,-5e-05,0.001776,0.00328,0.008067,0.001408
31,weight_x_b2b_pooled,fg3,-0.002013,-0.003696,-0.000146,0.001372,0.002392,0.005268,0.001655
31,weight_x_b2b_pooled,paint,0.001055,-0.003521,-0.000131,0.001339,0.002698,0.006358,0.001597
31,weight_x_b2b_pooled,ft,0.000256,-0.001752,-3.9e-05,0.001017,0.001924,0.003383,0.000894
31,weight_x_b2b_pooled,np2,-0.000409,-0.001602,-2.7e-05,0.001093,0.001858,0.004106,0.000872
33,age_x_travel_pooled,fg3,-0.000147,-0.003361,-4.9e-05,0.002245,0.003851,0.008574,0.001725
33,age_x_travel_pooled,paint,0.000627,-0.002692,-9.5e-05,0.001288,0.002336,0.003194,0.001335
33,age_x_travel_pooled,ft,-0.000986,-0.00167,-5.1e-05,0.000983,0.001764,0.003677,0.000816
33,age_x_travel_pooled,np2,1.6e-05,-0.001988,-3.6e-05,0.00155,0.002865,0.005707,0.001134
80,minutes_load_x_age_pooled,fg3,-0.000114,-0.004265,-0.000108,0.003024,0.005287,0.009746,0.002306
80,minutes_load_x_age_pooled,paint,0.000512,-0.003563,-0.000126,0.00176,0.003267,0.010618,0.001712
80,minutes_load_x_age_pooled,ft,0.001393,-0.002144,-6.7e-05,0.001349,0.002287,0.005487,0.00111
80,minutes_load_x_age_pooled,np2,2e-06,-0.003447,-5.5e-05,0.002249,0.003655,0.007715,0.001709
86,venue_elevation,fg3,0.003336,-0.002405,-4.3e-05,0.001451,0.002503,0.004602,0.001159
86,venue_elevation,paint,0.001825,-0.002306,-5.1e-05,0.001226,0.002399,0.003969,0.001175
86,venue_elevation,ft,-0.000546,-0.001307,-3.6e-05,0.000687,0.001221,0.003066,0.000623
86,venue_elevation,np2,-0.001065,-0.001189,-7e-06,0.000882,0.001608,0.00327,0.000649
