catalog_number,name,channel,observed_improvement,null_q05,null_q50,null_q95,null_q99,null_max,null_sd
22,opp_dreb_x_secondchance,np2,-0.000808,-0.000886,-5e-06,0.000685,0.001379,0.00268,0.000498
23,opp_rotation_x_minshare,fg3,0.000378,-0.002666,-7.1e-05,0.001405,0.003207,0.006162,0.00134
23,opp_rotation_x_minshare,paint,0.001483,-0.003034,-0.000101,0.001308,0.002694,0.008479,0.001386
23,opp_rotation_x_minshare,ft,7.5e-05,-0.001733,-5.8e-05,0.000753,0.001348,0.004243,0.000824
23,opp_rotation_x_minshare,np2,-0.002191,-0.001046,-1.2e-05,0.000845,0.001818,0.003911,0.000617
24,opp_3pvar_x_shooter,fg3,0.000892,-0.002078,-8.3e-05,0.001254,0.002733,0.005695,0.001073
25,opp_transdef_x_transshare,fg3,0.000395,-0.001365,-2e-05,0.000859,0.001923,0.003948,0.000714
25,opp_transdef_x_transshare,paint,-0.001254,-0.001429,-2e-05,0.000878,0.001618,0.007882,0.000764
25,opp_transdef_x_transshare,ft,-0.000323,-0.000975,-2.1e-05,0.000685,0.001323,0.003299,0.000544
25,opp_transdef_x_transshare,np2,-0.000104,-0.00066,-3e-06,0.000565,0.00101,0.001842,0.00037
26,zone_displacement_vs_opp,fg3,0.002145,-0.002669,-4e-05,0.001852,0.00347,0.005403,0.001369
26,zone_displacement_vs_opp,paint,0.001094,-0.002523,-7.5e-05,0.001369,0.002656,0.003943,0.001186
26,zone_displacement_vs_opp,np2,0.00195,-0.001703,-1e-05,0.00164,0.002692,0.004492,0.000998
36,fast_slow_ewma_gap,fg3,-0.001836,-0.002297,-3.7e-05,0.001366,0.00251,0.004792,0.001151
36,fast_slow_ewma_gap,paint,0.001238,-0.002363,-5.8e-05,0.001354,0.002468,0.006791,0.001209
36,fast_slow_ewma_gap,ft,2.8e-05,-0.001246,-2.4e-05,0.000739,0.001499,0.004507,0.000642
36,fast_slow_ewma_gap,np2,-1e-05,-0.001013,-4e-06,0.000728,0.001355,0.002769,0.000515
37,rate_volatility,fg3,0.00119,-0.003431,-9.3e-05,0.002137,0.003412,0.007463,0.001619
37,rate_volatility,paint,-4.5e-05,-0.00263,-7e-05,0.001469,0.0026,0.004473,0.001349
37,rate_volatility,ft,-0.00054,-0.001013,-5.8e-05,0.000975,0.001582,0.003115,0.000618
37,rate_volatility,np2,0.000698,-0.002653,-3e-06,0.002333,0.003986,0.006952,0.001508
38,hot_hand_3p_dev,fg3,0.000817,-0.002334,-5.8e-05,0.001358,0.002814,0.004755,0.001185
39,role_expansion,fg3,-0.000131,-0.001966,-4.4e-05,0.001087,0.002127,0.004525,0.000999
39,role_expansion,paint,-3.1e-05,-0.002084,-7.1e-05,0.001162,0.002178,0.004324,0.001058
39,role_expansion,ft,-9.9e-05,-0.001092,-2.3e-05,0.000685,0.001234,0.003014,0.000571
39,role_expansion,np2,2.2e-05,-0.000949,-6e-06,0.000729,0.001341,0.002618,0.000536
40,usage_eff_divergence,fg3,-0.000105,-0.001782,-4.7e-05,0.001192,0.002337,0.00513,0.000959
40,usage_eff_divergence,paint,0.000603,-0.00211,-6.3e-05,0.001011,0.001982,0.004799,0.000999
40,usage_eff_divergence,ft,-0.000271,-0.001117,-3.4e-05,0.000641,0.001418,0.0026,0.000567
40,usage_eff_divergence,np2,0.000224,-0.000977,-8e-06,0.000751,0.001473,0.003068,0.000547
41,ftpct_leading_indicator,fg3,0.000186,-0.002111,-6.4e-05,0.001401,0.003036,0.006284,0.001171
42,rim_rate_trend,paint,-0.001292,-0.002211,-7.9e-05,0.001138,0.002153,0.004006,0.001097
43,shot_distance_drift,fg3,-0.004308,-0.002111,-3.4e-05,0.001501,0.002785,0.006077,0.001109
43,shot_distance_drift,paint,0.000832,-0.002283,-8.8e-05,0.001222,0.002295,0.005216,0.001144
43,shot_distance_drift,ft,7.4e-05,-0.001378,-2.8e-05,0.000794,0.001451,0.002862,0.000683
43,shot_distance_drift,np2,-4.5e-05,-0.001207,-7e-06,0.000957,0.001725,0.004438,0.000688
44,self_creation_index,fg3,0.006248,-0.005568,-8.3e-05,0.00432,0.007098,0.015385,0.002954
