synthetic_feature,channel,observed_improvement,p_block_by_player_season,p_row_exchangeable_run1,null_sd_block,null_sd_row,null_sd_ratio_block_over_row
iid_noise,fg3,-0.003428,0.987006,0.990025,0.001048,0.001049,0.999751
iid_noise,paint,-0.004717,0.994003,0.997506,0.001091,0.000939,1.161748
iid_noise,ft,3.3e-05,0.364818,0.34414,0.000598,0.000602,0.994455
iid_noise,np2,-0.000165,0.705147,0.673317,0.000488,0.000519,0.940334
player_season_constant,fg3,0.000347,0.305347,0.331671,0.002156,0.001882,1.145447
player_season_constant,paint,5e-06,0.41929,0.426434,0.001628,0.001182,1.377596
player_season_constant,ft,0.000112,0.322339,0.309227,0.001058,0.000936,1.130583
player_season_constant,np2,0.001317,0.108446,0.089776,0.001507,0.001166,1.292266
ar1_within_player,fg3,-0.002431,0.905047,0.912718,0.001967,0.001813,1.085205
ar1_within_player,paint,-0.001154,0.808096,0.845387,0.001446,0.001198,1.207463
ar1_within_player,ft,-0.000732,0.817091,0.837905,0.000952,0.001004,0.947682
ar1_within_player,np2,-0.000378,0.677661,0.640898,0.001357,0.001148,1.18248
