baseline,channel,spec_a,spec_b,corr_incremental_prediction,improvement_a,improvement_b,collapses_at_0.9
old_ewma_only_baseline,fg3,#87 prev_season_anchor,#92 two_season_blend @w=0.9,0.998291,0.032216,0.028926,True
new_frozen_baseline,fg3,#87 prev_season_anchor,#92 two_season_blend @w=0.9,-0.000789,5e-06,0.012693,False
old_ewma_only_baseline,fg3,#87 prev_season_anchor,#92 two_season_blend @w=0.5,0.932796,0.032216,0.010795,True
new_frozen_baseline,fg3,#87 prev_season_anchor,#92 two_season_blend @w=0.5,0.006922,5e-06,0.016526,False
old_ewma_only_baseline,fg3,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.952145,0.028926,0.010795,True
new_frozen_baseline,fg3,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.99997,0.012693,0.016526,True
old_ewma_only_baseline,paint,#87 prev_season_anchor,#92 two_season_blend @w=0.9,0.998026,0.014358,0.013408,True
new_frozen_baseline,paint,#87 prev_season_anchor,#92 two_season_blend @w=0.9,-0.10679,-6e-06,0.004749,False
old_ewma_only_baseline,paint,#87 prev_season_anchor,#92 two_season_blend @w=0.5,0.930283,0.014358,0.008016,True
new_frozen_baseline,paint,#87 prev_season_anchor,#92 two_season_blend @w=0.5,-0.09899,-6e-06,0.004197,False
old_ewma_only_baseline,paint,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.951451,0.013408,0.008016,True
new_frozen_baseline,paint,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.999967,0.004749,0.004197,True
old_ewma_only_baseline,ft,#87 prev_season_anchor,#92 two_season_blend @w=0.9,0.998234,0.012998,0.011775,True
new_frozen_baseline,ft,#87 prev_season_anchor,#92 two_season_blend @w=0.9,0.030427,-0.000385,-1e-06,False
old_ewma_only_baseline,ft,#87 prev_season_anchor,#92 two_season_blend @w=0.5,0.919399,0.012998,0.004142,True
new_frozen_baseline,ft,#87 prev_season_anchor,#92 two_season_blend @w=0.5,0.999958,-0.000385,-0.000679,True
old_ewma_only_baseline,ft,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.941074,0.011775,0.004142,True
new_frozen_baseline,ft,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.038848,-1e-06,-0.000679,False
old_ewma_only_baseline,np2,#87 prev_season_anchor,#92 two_season_blend @w=0.9,0.997818,0.015169,0.014765,True
new_frozen_baseline,np2,#87 prev_season_anchor,#92 two_season_blend @w=0.9,-0.104747,4e-06,0.000352,False
old_ewma_only_baseline,np2,#87 prev_season_anchor,#92 two_season_blend @w=0.5,0.904045,0.015169,0.01037,True
new_frozen_baseline,np2,#87 prev_season_anchor,#92 two_season_blend @w=0.5,-0.099903,4e-06,0.000448,False
old_ewma_only_baseline,np2,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.930186,0.014765,0.01037,True
new_frozen_baseline,np2,#92 two_season_blend @w=0.9,#92 two_season_blend @w=0.5,0.999988,0.000352,0.000448,True
