K,inner_mae_mean,inner_mae_fold1,inner_mae_fold2,inner_mae_fold3
2.0,0.6873789676833839,0.7055804203037281,0.6896351040020913,0.6669213787443323
5.0,0.6816054097018803,0.6971951115671919,0.6811467168900186,0.6664744006484307
10.0,0.6771364046441755,0.6907319373204326,0.674840709034615,0.665836567577479
20.0,0.673188634684616,0.6846260566265805,0.6699128490425692,0.665026998384698
40.0,0.669897993841829,0.6792788618347136,0.6662975174670942,0.6641176022236791
80.0,0.6675145030763939,0.6753650454215083,0.6639037720782033,0.6632746917294698
160.0,0.6660401001402793,0.6728964676360745,0.6625044632099921,0.6627193695747713
320.0,0.6650552932454392,0.6711080674470837,0.6617050534336449,0.6623527588555889
640.0,0.6644673686296116,0.6698220534159701,0.6614019138865156,0.6621781385863492
1280.0,0.6642014096603275,0.6691458754926599,0.6613383229419372,0.6621200305463855
2560.0,0.6641533933386392,0.6688132958957608,0.6613871179347355,0.6622597661854216
5120.0,0.6642071570217715,0.6686857607675499,0.6614363647346624,0.6624993455631019
1000000000.0,0.6643133225375473,0.6685743873092957,0.661499790768168,0.6628657895351783
