alpha,inner_mae_mean,inner_mae_fold1,inner_mae_fold2,inner_mae_fold3
0.05,6.543767545034039,6.645954585263576,6.5614274353539965,6.423920614484546
0.08,6.567739763355145,6.6568537119169875,6.583434559532591,6.462931018615857
0.1,6.588079204360468,6.67310350896957,6.599211773210219,6.491922330901613
0.15,6.650263098465486,6.722364909351339,6.652462638056685,6.575961747988433
0.2,6.719037781358726,6.7880113825239,6.709065140849956,6.660036820702323
0.3,6.867527818116148,6.956217303767183,6.830761059494548,6.815605091086712
0.4,7.035989873325803,7.141018219960859,6.9818171013694235,6.985134298647126
0.5,7.217963226339695,7.323928786912366,7.1659831200018145,7.163977772104903
