player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
203828,Stefanie Dolson,5486,5458,10944,2759.8,-0.864,1.152,0.288,5000,2.748,1.918,1.093,0.288
1641658,Grace Berger,1217,1234,2451,626.3,0.297,-0.01,0.286,5000,1.597,1.088,0.678,0.286
1630097,Kaila Charles,1102,1110,2212,585.5,-0.343,0.628,0.285,5000,1.631,0.968,0.534,0.285
1630462,Aari McDonald,5014,5007,10021,2501.8,-0.201,0.407,0.206,5000,3.478,2.332,1.252,0.206
1641642,Li Meng,1090,1093,2183,539.5,-0.063,0.255,0.192,5000,1.576,0.783,0.404,0.192
1630151,Olivia Époupa,225,221,446,113.8,-0.149,0.34,0.191,5000,1.531,0.796,0.416,0.191
1642320,Jaylyn Sherrod,67,70,137,36.7,0.073,0.095,0.168,5000,0.843,0.584,0.36,0.168
1629481,Arike Ogunbowale,9879,9848,19727,4934.4,2.054,-1.891,0.163,5000,2.753,1.742,0.872,0.163
1641675,Dulcy Fankam Mendjiadeu,997,997,1994,505.9,0.252,-0.089,0.163,5000,1.431,0.995,0.553,0.163
1630993,Anneli Maley,83,82,165,44.4,0.041,0.121,0.161,5000,1.571,0.818,0.41,0.161
1630131,Kylee Shook,1155,1159,2314,566.6,-0.733,0.881,0.148,5000,3.615,2.129,0.971,0.148
1631141,Jade Melbourne,1667,1664,3331,832.0,-0.375,0.512,0.136,5000,2.187,1.359,0.673,0.136
1630961,Tina Krajisnik,8,8,16,5.3,0.179,-0.045,0.135,5000,1.186,0.628,0.328,0.135
1628287,Jennie Simms,724,714,1438,373.4,-0.498,0.625,0.128,5000,2.028,1.17,0.553,0.128
204335,Betnijah Laney-Hamilton,6845,6810,13655,3419.6,0.384,-0.27,0.114,5000,-0.633,-0.589,-0.339,0.114
1630101,Crystal Dangerfield,5515,5494,11009,2769.5,-0.599,0.707,0.108,5000,-0.827,-0.609,-0.242,0.108
1631046,Hannah Sjerven,15,14,29,9.0,0.059,0.045,0.104,5000,0.916,0.487,0.254,0.104
1631062,Khayla Pointer,108,107,215,57.8,-0.111,0.213,0.102,5000,1.663,0.805,0.358,0.102
1628244,Sami Whitcomb,6460,6457,12917,3213.3,-0.384,0.483,0.1,5000,3.512,2.377,1.235,0.1
1642294,Charisma Osborne,18,20,38,10.0,-0.032,0.131,0.099,5000,1.131,0.546,0.261,0.099
1630440,Chelsea Dungee,121,123,244,64.5,-0.35,0.448,0.097,5000,1.272,0.623,0.283,0.097
1628508,Cecilia Zandalasini,944,953,1897,487.3,0.012,0.077,0.089,5000,1.155,0.526,0.204,0.089
1628278,Shatori Walker-Kimbrough,5812,5825,11637,2930.7,-0.236,0.316,0.08,5000,1.646,0.992,0.484,0.08
1630136,Megan Walker,1139,1132,2271,580.6,-0.358,0.438,0.08,5000,-1.308,-0.756,-0.259,0.08
1628929,Kristy Wallace,3537,3545,7082,1777.1,-0.351,0.41,0.059,5000,1.278,0.801,0.419,0.059
204325,Crystal Bradford,887,898,1785,440.2,0.527,-0.487,0.04,5000,1.836,1.016,0.439,0.04
204327,Brittany Boyd-Jones,44,47,91,22.4,-0.102,0.141,0.039,5000,0.386,0.198,0.099,0.039
100940,Diana Taurasi,6936,6943,13879,3474.5,0.982,-0.945,0.037,5000,1.163,0.762,0.4,0.037
1631021,Sika Kone,782,780,1562,403.1,0.049,-0.028,0.021,5000,0.62,0.352,0.156,0.021
1627687,Jillian Alleyne,14,13,27,7.8,-0.075,0.084,0.009,5000,0.282,0.108,0.039,0.009
203823,Chiney Ogwumike,1649,1654,3303,824.8,-0.556,0.554,-0.002,5000,1.588,0.903,0.363,-0.002
1641667,Taylor Soule,108,112,220,55.8,-0.408,0.4,-0.009,5000,0.478,0.184,0.046,-0.009
1630452,Rennia Davis,83,83,166,43.1,0.175,-0.196,-0.021,5000,-0.284,-0.103,-0.039,-0.021
1631073,Raina Perez,5,4,9,2.3,-0.001,-0.021,-0.022,5000,-0.232,-0.113,-0.055,-0.022
1631072,Elissa Cunane,21,19,40,10.0,-0.057,0.032,-0.025,5000,-0.236,-0.122,-0.062,-0.025
1630441,Arella Guirantes,658,654,1312,338.4,0.029,-0.057,-0.028,5000,1.411,0.69,0.231,-0.028
1631081,Katie Benzan,53,54,107,26.8,-0.022,-0.014,-0.035,5000,-0.402,-0.211,-0.101,-0.035
203026,Tiffany Hayes,5317,5284,10601,2687.4,0.726,-0.769,-0.043,5000,1.849,1.048,0.407,-0.043
1630479,Sparkle Taylor,46,47,93,24.5,0.132,-0.178,-0.046,5000,-0.714,-0.306,-0.133,-0.046
1641690,Kadi Sissoko,658,646,1304,336.3,-0.144,0.091,-0.053,5000,1.842,0.965,0.343,-0.053
1642300,Dyaisha Fair,8,8,16,3.9,0.057,-0.113,-0.056,5000,-0.416,-0.232,-0.128,-0.056
1628949,Khaalia Hillsman,1,1,2,0.9,-0.019,-0.039,-0.058,5000,-0.552,-0.281,-0.143,-0.058
1641659,Taylor Mikesell,59,56,115,29.2,0.041,-0.11,-0.069,5000,-0.419,-0.257,-0.15,-0.069
1630118,Stella Johnson,62,63,125,31.2,-0.219,0.126,-0.093,5000,-0.389,-0.265,-0.175,-0.093
1642309,Jakia Brown-Turner,16,15,31,8.0,-0.058,-0.048,-0.107,5000,-1.11,-0.553,-0.272,-0.107
1642534,Ezinne Kalu,24,23,47,12.7,-0.126,0.011,-0.115,5000,-0.739,-0.427,-0.247,-0.115
1630110,Haley Gorecki,13,13,26,6.3,-0.125,0.006,-0.119,5000,-1.14,-0.584,-0.296,-0.119
1641698,Caitlin Bickle,21,23,44,14.6,-0.167,0.013,-0.154,5000,-1.606,-0.794,-0.393,-0.154
1642305,Jessika Carter,10,9,19,4.3,-0.122,-0.041,-0.163,5000,-1.6,-0.81,-0.407,-0.163
1630453,Aleah Goodman,6,6,12,3.2,-0.063,-0.103,-0.166,5000,-1.574,-0.807,-0.41,-0.166
1642301,Marquesha Davis,156,154,310,80.2,-0.107,-0.063,-0.171,5000,-1.737,-0.875,-0.434,-0.171
1630385,Shyla Heal,66,63,129,31.5,-0.134,-0.037,-0.171,5000,-0.912,-0.581,-0.354,-0.171
1628304,Yvonne Anderson,197,197,394,100.7,0.09,-0.265,-0.175,5000,-1.147,-0.733,-0.429,-0.175
1630957,Rui Machida,906,901,1807,463.2,-0.527,0.348,-0.18,5000,-1.494,-1.03,-0.563,-0.18
1641641,Robyn Parks,989,1002,1991,505.4,-0.224,0.036,-0.188,5000,0.278,-0.054,-0.197,-0.188
201507,Leilani Mitchell,1446,1440,2886,725.0,0.333,-0.528,-0.195,5000,2.474,1.176,0.284,-0.195
1641652,Maddy Siegrist,1921,1933,3854,962.8,0.091,-0.298,-0.207,5000,2.167,1.049,0.247,-0.207
1630154,Kamiah Smalls,68,69,137,33.9,-0.199,-0.022,-0.221,5000,-1.69,-0.945,-0.514,-0.221
204332,Cierra Burdick,128,123,251,63.9,-0.245,0.013,-0.232,5000,-2.016,-1.115,-0.583,-0.232
204365,Erica Wheeler,6551,6600,13151,3373.0,-0.909,0.652,-0.257,5000,1.934,1.149,0.427,-0.257
1629546,Marine Johannes,2535,2529,5064,1273.3,0.198,-0.463,-0.265,5000,-0.429,-0.587,-0.527,-0.265
1629566,Han Xu,1131,1136,2267,573.8,-0.71,0.444,-0.266,5000,-0.552,-0.542,-0.425,-0.266
201919,Shavonte Zellous,872,875,1747,442.5,-0.287,0.016,-0.271,5000,-0.0,-0.165,-0.27,-0.271
1627700,Julie Allemand,810,807,1617,401.7,0.099,-0.375,-0.275,5000,-2.223,-1.409,-0.758,-0.275
1642289,Kamilla Cardoso,1701,1699,3400,875.8,0.047,-0.322,-0.276,5000,-0.845,-0.47,-0.287,-0.276
204330,Isabelle Harrison,3807,3816,7623,1924.3,-0.171,-0.106,-0.277,5000,0.954,0.452,0.024,-0.277
203029,Riquna Williams,2759,2745,5504,1347.1,0.2,-0.495,-0.296,5000,-0.487,-0.755,-0.68,-0.296
1641687,Victaria Saxton,146,147,293,76.5,-0.542,0.245,-0.297,5000,-3.178,-1.657,-0.81,-0.297
1629506,Kiara Leslie,175,182,357,86.0,-0.288,-0.03,-0.318,5000,-1.32,-0.883,-0.584,-0.318
1630461,Kiana Williams,213,213,426,109.4,-0.541,0.217,-0.323,5000,-1.373,-1.007,-0.658,-0.323
1628263,Lindsay Allen,4613,4603,9216,2353.0,0.579,-0.912,-0.333,5000,2.259,1.173,0.321,-0.333
1629482,Sophie Cunningham,6808,6806,13614,3497.1,0.47,-0.813,-0.342,5000,1.214,0.648,0.107,-0.342
1628286,Erica McCall,708,701,1409,355.8,-0.185,-0.168,-0.353,5000,-0.393,-0.488,-0.476,-0.353
1642299,Nika Mühl,110,112,222,56.9,-0.194,-0.167,-0.361,5000,-2.256,-1.323,-0.77,-0.361
1628273,Kaela Davis,200,200,400,106.3,0.123,-0.484,-0.361,5000,-1.942,-1.228,-0.738,-0.361
1630386,Awak Kuier,1924,1933,3857,964.5,-0.732,0.37,-0.362,5000,-1.373,-1.146,-0.794,-0.362
1631086,Lexie Hull,3221,3229,6450,1624.5,0.662,-1.041,-0.378,5000,-0.439,-0.452,-0.402,-0.378
1630137,Stephanie Watts,170,175,345,84.0,-0.349,-0.051,-0.4,5000,-1.705,-1.243,-0.813,-0.4
204320,Amanda Zahui B,1888,1902,3790,967.4,-1.529,1.125,-0.404,5000,0.508,0.047,-0.282,-0.404
1628882,Lexie Brown,3527,3529,7056,1778.6,0.037,-0.46,-0.423,5000,1.745,0.791,0.061,-0.423
1630996,Rae Burrell,1890,1910,3800,944.3,0.056,-0.484,-0.428,5000,1.0,0.348,-0.136,-0.428
1630127,Leaonna Odom,414,416,830,207.2,-0.519,0.09,-0.429,5000,0.189,-0.316,-0.5,-0.429
1641670,Madi Williams,96,92,188,46.4,-0.251,-0.182,-0.433,5000,-3.216,-1.812,-0.988,-0.433
1630442,Natasha Mack,1263,1273,2536,637.0,-0.555,0.085,-0.47,5000,0.71,-0.077,-0.45,-0.47
1631002,Nia Clouden,599,610,1209,304.2,-0.79,0.315,-0.475,5000,-1.433,-1.271,-0.936,-0.475
201913,Kia Vaughn,1948,1954,3902,984.0,-0.73,0.254,-0.476,5000,-2.169,-1.685,-1.099,-0.476
201881,Angel McCoughtry,44,42,86,19.8,-0.32,-0.164,-0.484,5000,-4.233,-2.231,-1.161,-0.484
204334,Reshanda Gray,890,894,1784,456.6,0.301,-0.793,-0.492,5000,-0.214,-0.523,-0.617,-0.492
1641650,Haley Jones,2625,2616,5241,1295.9,-0.941,0.438,-0.503,5000,1.339,0.221,-0.377,-0.503
203866,Kayla Thornton,6694,6714,13408,3425.4,-0.705,0.185,-0.52,5000,-1.944,-1.788,-1.332,-0.52
1629492,Beatrice Mompremier,876,879,1755,457.3,-0.631,0.103,-0.528,5000,-1.588,-1.312,-0.968,-0.528
1641651,Jordan Horston,3361,3379,6740,1677.4,-0.464,-0.068,-0.533,5000,-1.353,-1.259,-0.975,-0.533
1628897,Linnae Harper,154,160,314,77.8,-0.251,-0.282,-0.533,5000,-3.919,-2.307,-1.263,-0.533
1641672,Kayana Traylor,67,70,137,34.8,-0.176,-0.366,-0.542,5000,-4.057,-2.295,-1.254,-0.542
1631068,Sam Thomas,261,260,521,128.8,-0.578,0.018,-0.56,5000,-3.853,-2.302,-1.279,-0.56
1641654,Stephanie Soares,349,343,692,175.4,-0.352,-0.214,-0.566,5000,-2.116,-1.597,-1.084,-0.566
1631029,Jasmine Dickey,376,375,751,180.6,-0.5,-0.082,-0.582,5000,-3.536,-2.32,-1.355,-0.582
1641653,Ashley Joens,251,250,501,127.5,-0.107,-0.475,-0.582,5000,-2.876,-1.863,-1.149,-0.582
1628922,Azura Stevens,5958,5968,11926,3011.3,-0.046,-0.566,-0.612,5000,-0.013,-0.338,-0.57,-0.612
1629488,Brianna Turner,7409,7416,14825,3812.3,-0.461,-0.161,-0.622,5000,-0.663,-0.734,-0.706,-0.622
