path,class,guard,rows_2021_2024,id_col,name_col,status,ids_with_multiple_names,names_with_multiple_ids,rows_exposed_duplication,rows_exposed_drop,rows_with_ambiguous_spelling
exploration/E0_I0003_rebound_interaction/player_season.csv,ID_AND_NAME,GUARDED(633->633),633,player_id,player_name,OK,0.0,0.0,0.0,0.0,26
exploration/E0_I0003_rebound_interaction/stability_pairs.csv,ID_AND_NAME,NO_SEASON_COLUMN_STRUCTURE_ONLY,242,player_id,player_name,OK,0.0,0.0,0.0,0.0,9
exploration/E0_I0004_shot_location_allowance/shot_level_residuals_2021_2024.csv,ID_AND_NAME,GUARDED(121412->121412),121412,PLAYER_ID,PLAYER_NAME,OK,0.0,0.0,0.0,0.0,4410
exploration/E0_I0004_shot_location_allowance/shot_level_residuals_LOO_2021_2024.csv,ID_AND_NAME,GUARDED(121411->121411),121411,PLAYER_ID,PLAYER_NAME,OK,0.0,0.0,0.0,0.0,4410
exploration/E0_I0006_usage_redistribution/absence_games.csv,ID_AND_NAME,GUARDED(451->451),451,player_id,player_name,OK,0.0,0.0,0.0,0.0,25
exploration/E0_I0006_usage_redistribution/clean_absence_games.csv,ID_AND_NAME,GUARDED(622->622),622,player_id,player_name,OK,0.0,0.0,0.0,0.0,39
exploration/E0_I0006_usage_redistribution/clean_high_usage_players.csv,ID_AND_NAME,GUARDED(200->200),200,player_id,player_name,OK,0.0,0.0,0.0,0.0,11
exploration/E0_I0006_usage_redistribution/clean_played_panel.parquet,ID_AND_NAME,GUARDED(16720->16720),16720,player_id,player_name,OK,0.0,0.0,0.0,0.0,699
exploration/E0_I0006_usage_redistribution/clean_redistribution_rows.csv,ID_AND_NAME,GUARDED(4983->4983),4983,player_id,player_name,OK,0.0,0.0,0.0,0.0,278
exploration/E0_I0006_usage_redistribution/clean_roster_panel.parquet,ID_AND_NAME,GUARDED(21581->21581),21581,player_id,player_name,OK,1.0,0.0,260.0,0.0,1091
exploration/E0_I0006_usage_redistribution/high_usage_players.csv,ID_AND_NAME,GUARDED(167->167),167,player_id,player_name,OK,0.0,0.0,0.0,0.0,9
exploration/E0_I0006_usage_redistribution/redistribution_rows.csv,ID_AND_NAME,GUARDED(3838->3838),3838,player_id,player_name,OK,0.0,0.0,0.0,0.0,222
exploration/E0_I0008_height_differential/player_game_height_vs_opponent.csv,ID_AND_NAME,GUARDED(18212->18212),18212,player_id,player_name,OK,8.0,0.0,671.0,0.0,770
exploration/E0_I0010_positional_matchup/features_ast.csv,ID_AND_NAME,GUARDED(12337->12337),12337,player_id,player_name,OK,0.0,0.0,0.0,0.0,396
exploration/E0_I0010_positional_matchup/features_pts.csv,ID_AND_NAME,GUARDED(12337->12337),12337,player_id,player_name,OK,0.0,0.0,0.0,0.0,396
exploration/E0_I0010_positional_matchup/features_reb.csv,ID_AND_NAME,GUARDED(12337->12337),12337,player_id,player_name,OK,0.0,0.0,0.0,0.0,396
exploration/E0_I0010_positional_matchup/player_game_features.csv,ID_AND_NAME,GUARDED(41547->41547),41547,player_id,player_name,OK,0.0,0.0,0.0,0.0,1470
exploration/E0_I0011_tendency_estimator/frame.parquet,ID_AND_NAME,GUARDED(18212->18212),18212,player_id,player_name,OK,8.0,0.0,671.0,0.0,770
exploration/E0_I0017_shot_quality_efficiency/screen_frame.parquet,ID_AND_NAME,GUARDED(13989->13989),13989,player_id,player_name,OK,0.0,0.0,0.0,0.0,566
exploration/E0_I0029_freethrow_hurdle/screen_frame.parquet,ID_AND_NAME,GUARDED(18212->18212),18212,player_id,player_name,OK,8.0,0.0,671.0,0.0,770
exploration/E1_I0004_rim_finishing/ra_common_frame.parquet,ID_AND_NAME,GUARDED(30764->30764),30764,PLAYER_ID,PLAYER_NAME,OK,0.0,0.0,0.0,0.0,1301
exploration/E1_I0004_rim_finishing/_validate_sandbox/frame.parquet,ID_AND_NAME,GUARDED(18212->18212),18212,player_id,player_name,OK,8.0,0.0,671.0,0.0,770
exploration/E1_I0008_height_mismatch/frame.parquet,ID_AND_NAME,GUARDED(18212->18212),18212,player_id,player_name,OK,8.0,0.0,671.0,0.0,770
exploration/E1_I0011_split_alpha/frame.parquet,ID_AND_NAME,GUARDED(18212->18212),18212,player_id,player_name,OK,8.0,0.0,671.0,0.0,770
exploration/E1_I0030_home_advantage_accounting/_player_frame.parquet,ID_AND_NAME,GUARDED(21462->21462),21462,player_id,player_name,OK,12.0,0.0,972.0,0.0,972
exploration/E1_I0033_aggregation_level/_master_player_partition.parquet,ID_AND_NAME,GUARDED(21462->21462),21462,player_id,player_name,OK,12.0,0.0,972.0,0.0,972
exploration/E1_I0035_availability_sum/_player_frame.parquet,ID_AND_NAME,GUARDED(20084->20084),20084,player_id,player_name,OK,12.0,0.0,951.0,0.0,759
exploration/E1_I0035_availability_sum/_player_frame_all_seasons.parquet,ID_AND_NAME,GUARDED(26574->26574),26574,player_id,player_name,OK,12.0,0.0,1167.0,0.0,960
