path,bytes,n_cols,class,id_cols,name_cols
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_d3par.csv,11181,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dorebA.csv,11393,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dpace.csv,11153,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dtovf.csv,11171,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_d3par.csv,11188,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dorebA.csv,11376,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dpace.csv,11192,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dtovf.csv,11174,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_d3par.csv,11182,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dorebA.csv,11391,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dpace.csv,11176,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dtovf.csv,11159,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_b2b.csv,11587,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_rest.csv,11761,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_travel.csv,12182,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_rest_dif.csv,11787,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_b2b.csv,11588,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_rest.csv,11770,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_travel.csv,12184,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_rest_dif.csv,11782,4,NO_PLAYER_IDENTITY,,
