season,team,slate_index,n_name,n_id,delta
2021,ATL,1,10,10,0
2021,ATL,2,12,12,0
2021,ATL,3,12,12,0
2021,ATL,4,12,12,0
2021,ATL,5,12,12,0
2021,ATL,6,12,12,0
2021,ATL,7,11,11,0
2021,ATL,8,11,11,0
2021,ATL,9,11,11,0
2021,ATL,10,11,11,0
2021,ATL,11,10,10,0
2021,ATL,12,10,10,0
2021,ATL,13,11,11,0
2021,ATL,14,11,11,0
2021,ATL,15,11,11,0
2021,ATL,16,11,11,0
2021,ATL,17,11,11,0
2021,ATL,18,11,11,0
2021,ATL,19,11,11,0
2021,ATL,20,12,12,0
2021,ATL,21,11,11,0
2021,ATL,22,11,11,0
2021,ATL,23,10,10,0
2021,ATL,24,11,11,0
2021,ATL,25,11,11,0
2021,ATL,26,11,11,0
2021,ATL,27,11,11,0
2021,ATL,28,11,11,0
2021,ATL,29,11,11,0
2021,ATL,30,10,10,0
2021,ATL,31,11,11,0
2021,ATL,32,11,11,0
2021,CHI,1,11,11,0
2021,CHI,2,12,12,0
2021,CHI,3,14,13,1
2021,CHI,4,13,12,1
2021,CHI,5,11,11,0
2021,CHI,6,11,11,0
2021,CHI,7,12,12,0
2021,CHI,8,13,13,0
2021,CHI,9,13,13,0
2021,CHI,10,11,11,0
2021,CHI,11,11,11,0
2021,CHI,12,11,11,0
2021,CHI,13,10,10,0
2021,CHI,14,10,10,0
2021,CHI,15,10,10,0
2021,CHI,16,10,10,0
2021,CHI,17,10,10,0
2021,CHI,18,11,11,0
2021,CHI,19,11,11,0
2021,CHI,20,11,11,0
2021,CHI,21,11,11,0
2021,CHI,22,11,11,0
2021,CHI,23,11,11,0
2021,CHI,24,11,11,0
2021,CHI,25,11,11,0
2021,CHI,26,11,11,0
2021,CHI,27,11,11,0
2021,CHI,28,11,11,0
2021,CHI,29,11,11,0
2021,CHI,30,11,11,0
2021,CHI,31,11,11,0
2021,CHI,32,11,11,0
2021,CHI,33,12,11,1
2021,CHI,34,12,11,1
2021,CHI,35,11,11,0
2021,CHI,36,11,11,0
2021,CHI,37,11,11,0
2021,CHI,38,11,11,0
2021,CHI,39,11,11,0
2021,CHI,40,11,11,0
2021,CHI,41,11,11,0
2021,CHI,42,11,11,0
2021,CON,1,10,10,0
2021,CON,2,11,11,0
2021,CON,3,12,12,0
2021,CON,4,12,12,0
2021,CON,5,12,12,0
2021,CON,6,12,12,0
2021,CON,7,12,12,0
2021,CON,8,12,12,0
2021,CON,9,11,11,0
2021,CON,10,11,11,0
2021,CON,11,12,12,0
2021,CON,12,12,12,0
2021,CON,13,11,11,0
2021,CON,14,11,11,0
2021,CON,15,11,11,0
2021,CON,16,12,12,0
2021,CON,17,12,12,0
2021,CON,18,11,11,0
2021,CON,19,11,11,0
2021,CON,20,11,11,0
2021,CON,21,11,11,0
2021,CON,22,11,11,0
2021,CON,23,11,11,0
2021,CON,24,11,11,0
2021,CON,25,11,11,0
2021,CON,26,11,11,0
2021,CON,27,11,11,0
2021,CON,28,11,11,0
2021,CON,29,11,11,0
2021,CON,30,11,11,0
2021,CON,31,11,11,0
2021,CON,32,11,11,0
2021,CON,33,11,11,0
2021,CON,34,11,11,0
2021,CON,35,11,11,0
2021,CON,36,11,11,0
2021,DAL,1,13,13,0
2021,DAL,2,14,14,0
2021,DAL,3,14,14,0
2021,DAL,4,12,12,0
2021,DAL,5,12,12,0
2021,DAL,6,12,12,0
2021,DAL,7,14,14,0
2021,DAL,8,14,14,0
2021,DAL,9,12,12,0
2021,DAL,10,12,12,0
2021,DAL,11,12,12,0
2021,DAL,12,12,12,0
2021,DAL,13,12,12,0
2021,DAL,14,12,12,0
2021,DAL,15,12,12,0
2021,DAL,16,12,12,0
2021,DAL,17,12,12,0
2021,DAL,18,12,12,0
2021,DAL,19,12,12,0
2021,DAL,20,12,12,0
2021,DAL,21,12,12,0
2021,DAL,22,12,12,0
2021,DAL,23,12,12,0
2021,DAL,24,12,12,0
2021,DAL,25,12,12,0
2021,DAL,26,11,11,0
2021,DAL,27,11,11,0
2021,DAL,28,11,11,0
2021,DAL,29,11,11,0
2021,DAL,30,11,11,0
2021,DAL,31,12,12,0
2021,DAL,32,12,12,0
2021,DAL,33,12,12,0
2021,IND,1,12,12,0
2021,IND,2,12,12,0
2021,IND,3,13,13,0
2021,IND,4,13,13,0
2021,IND,5,12,12,0
2021,IND,6,13,12,1
2021,IND,7,13,12,1
2021,IND,8,12,12,0
2021,IND,9,12,12,0
2021,IND,10,12,12,0
2021,IND,11,12,12,0
2021,IND,12,12,12,0
2021,IND,13,12,12,0
2021,IND,14,12,12,0
2021,IND,15,13,12,1
2021,IND,16,13,12,1
2021,IND,17,13,13,0
2021,IND,18,13,13,0
2021,IND,19,13,12,1
2021,IND,20,13,12,1
2021,IND,21,13,13,0
2021,IND,22,11,11,0
2021,IND,23,13,13,0
2021,IND,24,13,13,0
2021,IND,25,13,13,0
2021,IND,26,13,13,0
2021,IND,27,13,13,0
2021,IND,28,13,13,0
2021,IND,29,13,13,0
2021,IND,30,13,13,0
2021,IND,31,13,13,0
2021,IND,32,13,13,0
2021,LAS,1,12,12,0
2021,LAS,2,12,12,0
2021,LAS,3,12,12,0
2021,LAS,4,11,11,0
2021,LAS,5,12,12,0
2021,LAS,6,12,12,0
2021,LAS,7,13,13,0
2021,LAS,8,10,10,0
2021,LAS,9,13,13,0
2021,LAS,10,13,13,0
