OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID,SOURCE
201538,Maj,Forsberg,34,1022100021,v2
203440,Tiara,Cruse,5,1022100021,v2
101286,Kurt,Walker,18,1022100022,v2
101044,Amy,Bonner,31,1022100022,v2
1628171,Brandon,Schwab,47,1022100022,v2
203054,Che,Flores,13,1022100023,v2
1628171,Brandon,Schwab,47,1022100023,v2
1628952,Kevin,Fahy,43,1022100023,v2
1628480,Robert,Hussey,85,1022100024,v2
1627545,Karleena,Tobin,12,1022100024,v2
202297,Tim,Greene,9,1022100024,v2
1628167,Toni,Patillo,76,1022100025,v2
202047,Kevin,Sparrock,50,1022100025,v2
203800,Isaac,Barnett,16,1022100025,v2
1628702,Randy,Richardson,11,1022100026,v2
1627526,Matt,Kallio,17,1022100026,v2
203891,Fatou,Cissoko-Stephens,15,1022100026,v2
1627519,John,Conley,3,1022100027,v2
1628484,Dannica,Mosher,14,1022100027,v2
202299,Billy,Smith,7,1022100027,v2
202678,Janetta,Graham,44,1022100028,v2
200667,Angelica,Suffren,86,1022100028,v2
203800,Isaac,Barnett,16,1022100028,v2
202297,Tim,Greene,9,1022100029,v2
202047,Kevin,Sparrock,50,1022100029,v2
203891,Fatou,Cissoko-Stephens,15,1022100029,v2
1628952,Kevin,Fahy,43,1022100030,v2
203054,Che,Flores,13,1022100030,v2
1628484,Dannica,Mosher,14,1022100030,v2
1627519,John,Conley,3,1022100031,v2
100697,Eric,Brewton,55,1022100031,v2
100698,Jeffrey,Smith,53,1022100031,v2
1627526,Matt,Kallio,17,1022100032,v2
202299,Billy,Smith,7,1022100032,v2
100274,Roy,Gulbeyan,42,1022100032,v2
202297,Tim,Greene,9,1022100033,v2
1628167,Toni,Patillo,76,1022100033,v2
1628702,Randy,Richardson,11,1022100033,v2
200667,Angelica,Suffren,86,1022100034,v2
101044,Amy,Bonner,31,1022100034,v2
1628171,Brandon,Schwab,47,1022100034,v2
1627519,John,Conley,3,1022100035,v2
203440,Tiara,Cruse,5,1022100035,v2
100308,Michael,Price,39,1022100035,v2
100698,Jeffrey,Smith,53,1022100036,v2
100697,Eric,Brewton,55,1022100036,v2
1627526,Matt,Kallio,17,1022100036,v2
203054,Che,Flores,13,1022100037,v2
1628484,Dannica,Mosher,14,1022100037,v2
201538,Maj,Forsberg,34,1022100037,v2
100308,Michael,Price,39,1022100038,v2
1628167,Toni,Patillo,76,1022100038,v2
1628702,Randy,Richardson,11,1022100038,v2
201538,Maj,Forsberg,34,1022100039,v2
100697,Eric,Brewton,55,1022100039,v2
1627519,John,Conley,3,1022100039,v2
100274,Roy,Gulbeyan,42,1022100040,v2
1629174,Blanca,Burns,8,1022100040,v2
203438,Tiffany,Bird,2,1022100040,v2
203054,Che,Flores,13,1022100041,v2
101044,Amy,Bonner,31,1022100041,v2
202047,Kevin,Sparrock,50,1022100041,v2
1628702,Randy,Richardson,11,1022100042,v2
1628487,Danielle,Scott,4,1022100042,v2
100308,Michael,Price,39,1022100042,v2
203054,Che,Flores,13,1022100043,v2
201538,Maj,Forsberg,34,1022100043,v2
202047,Kevin,Sparrock,50,1022100043,v2
101044,Amy,Bonner,31,1022100044,v2
1629174,Blanca,Burns,8,1022100044,v2
202297,Tim,Greene,9,1022100044,v2
1628484,Dannica,Mosher,14,1022100045,v2
100697,Eric,Brewton,55,1022100045,v2
1628480,Robert,Hussey,85,1022100045,v2
200667,Angelica,Suffren,86,1022100046,v2
1627545,Karleena,Tobin,12,1022100046,v2
203438,Tiffany,Bird,2,1022100046,v2
203891,Fatou,Cissoko-Stephens,15,1022100047,v2
202299,Billy,Smith,7,1022100047,v2
203440,Tiara,Cruse,5,1022100047,v2
100274,Roy,Gulbeyan,42,1022100048,v2
202297,Tim,Greene,9,1022100048,v2
101044,Amy,Bonner,31,1022100048,v2
100698,Jeffrey,Smith,53,1022100049,v2
1628487,Danielle,Scott,4,1022100049,v2
203054,Che,Flores,13,1022100049,v2
1628702,Randy,Richardson,11,1022100050,v2
1628168,Jenna,Reneau,77,1022100050,v2
203438,Tiffany,Bird,2,1022100050,v2
1627545,Karleena,Tobin,12,1022100051,v2
200667,Angelica,Suffren,86,1022100051,v2
100308,Michael,Price,39,1022100051,v2
202047,Kevin,Sparrock,50,1022100052,v2
100697,Eric,Brewton,55,1022100052,v2
202299,Billy,Smith,7,1022100052,v2
201538,Maj,Forsberg,34,1022100053,v2
203054,Che,Flores,13,1022100053,v2
1628487,Danielle,Scott,4,1022100053,v2
1628702,Randy,Richardson,11,1022100054,v2
1627545,Karleena,Tobin,12,1022100054,v2
101044,Amy,Bonner,31,1022100054,v2
100308,Michael,Price,39,1022100055,v2
1628168,Jenna,Reneau,77,1022100055,v2
203800,Isaac,Barnett,16,1022100055,v2
200667,Angelica,Suffren,86,1022100056,v2
100697,Eric,Brewton,55,1022100056,v2
1628484,Dannica,Mosher,14,1022100056,v2
202047,Kevin,Sparrock,50,1022100057,v2
100274,Roy,Gulbeyan,42,1022100057,v2
201538,Maj,Forsberg,34,1022100057,v2
203800,Isaac,Barnett,16,1022100058,v2
202299,Billy,Smith,7,1022100058,v2
1628952,Kevin,Fahy,43,1022100058,v2
1628168,Jenna,Reneau,77,1022100059,v2
202297,Tim,Greene,9,1022100059,v2
203054,Che,Flores,13,1022100059,v2
