era,timing,bet_type,game_id,game_date,season,season_type,model_value,market_ref,edge,side,bet_at_min_threshold,cons_profit,cons_outcome,be_profit,be_outcome,be_book,be_price,be_line,clv_pts,line_terc,total_terc,fav_side,rest_sign,phase,weekend,n_books,p_home_cons,model_p_home
extension,T-24h,spread,1022500116,2025-07-06,2025,Regular Season,-6.438638636801692,-15.9375,9.498861363198309,home,True,-1.0,-1.0,-1.0,-1.0,lowvig,-108.0,16.0,-1.6079545454545467,large,low,-1.0,home_more,mid,weekend,8,,
extension,T-24h,spread,1022500117,2025-07-06,2025,Regular Season,2.2804004450816526,5.375,-3.0945995549183474,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,mybookieag,-110.0,-5.5,0.2386363636363633,mid,mid,1.0,equal,mid,weekend,8,,
extension,T-24h,spread,1022500118,2025-07-06,2025,Regular Season,9.58031988978038,14.55,-4.96968011021962,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,fanduel,-110.0,-15.5,0.05000000000000071,large,low,1.0,away_more,mid,weekend,10,,
extension,T-24h,spread,1022500119,2025-07-07,2025,Regular Season,4.489699747445707,6.428571428571429,-1.9388716811257218,away,True,-1.0,-1.0,-1.0,-1.0,fanduel,-106.0,-6.5,-0.9350649350649345,mid,low,1.0,home_more,mid,weekday,7,,
extension,T-24h,spread,1022500120,2025-07-07,2025,Regular Season,2.516292022935904,9.5625,-7.046207977064096,away,True,-1.0,-1.0,-1.0,-1.0,fanduel,-106.0,-10.0,3.5625,large,mid,1.0,equal,mid,weekday,8,,
extension,T-24h,spread,1022500121,2025-07-08,2025,Regular Season,1.513763429099568,4.833333333333333,-3.3195699042337647,away,True,0.9090909090909091,1.0,1.02,1.0,lowvig,102.0,-5.0,-2.166666666666667,mid,low,1.0,home_more,mid,weekday,9,,
extension,T-24h,spread,1022500122,2025-07-08,2025,Regular Season,3.742875067424258,5.1,-1.3571249325757417,away,True,-1.0,-1.0,-1.0,-1.0,lowvig,-103.0,-5.5,0.6909090909090905,mid,mid,1.0,equal,mid,weekday,10,,
extension,T-24h,spread,1022500123,2025-07-09,2025,Regular Season,-12.928269296082084,-17.0,4.0717307039179165,home,True,0.9090909090909091,1.0,0.9090909090909091,1.0,betmgm,-110.0,17.5,-0.045454545454546746,large,low,-1.0,equal,mid,weekday,7,,
extension,T-24h,spread,1022500124,2025-07-09,2025,Regular Season,1.1650756055251923,6.5,-5.3349243944748075,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,mybookieag,-110.0,-6.5,-0.5454545454545459,mid,low,1.0,home_more,mid,weekday,6,,
extension,T-24h,spread,1022500126,2025-07-09,2025,Regular Season,-2.425117416329474,1.5,-3.925117416329474,away,True,-1.0,-1.0,-1.0,-1.0,draftkings,-110.0,-2.0,1.6818181818181819,small,mid,1.0,away_more,mid,weekday,8,,
extension,T-24h,spread,1022500128,2025-07-10,2025,Regular Season,2.3135569859865077,-1.125,3.4385569859865077,home,True,0.9090909090909091,1.0,0.8333333333333334,1.0,fanatics,-120.0,1.5,4.715909090909091,small,low,-1.0,equal,mid,weekday,4,,
extension,T-24h,spread,1022500129,2025-07-11,2025,Regular Season,-1.9862912099544403,2.65,-4.63629120995444,away,True,-1.0,-1.0,-1.0,-1.0,mybookieag,-110.0,-3.0,1.059090909090909,small,mid,1.0,away_more,mid,weekday,10,,
extension,T-24h,spread,1022500130,2025-07-11,2025,Regular Season,14.429217693541636,17.85,-3.4207823064583653,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,williamhill_us,-110.0,-18.0,-0.5136363636363619,large,low,1.0,equal,mid,weekday,10,,
extension,T-24h,spread,1022500131,2025-07-12,2025,Regular Season,-6.0627667215292,-9.928571428571429,3.865804707042229,home,True,0.9090909090909091,1.0,0.9090909090909091,1.0,fanduel,-110.0,10.5,-1.8214285714285712,large,low,-1.0,home_more,mid,weekend,7,,
extension,T-24h,spread,1022500132,2025-07-12,2025,Regular Season,-1.3518470887416194,1.125,-2.4768470887416196,away,True,-1.0,-1.0,-1.0,-1.0,fanatics,-120.0,-1.5,-0.2250000000000001,small,low,1.0,away_more,mid,weekend,4,,
extension,T-24h,spread,1022500133,2025-07-13,2025,Regular Season,3.0160471830221827,10.3125,-7.296452816977817,away,True,-1.0,-1.0,-1.0,-1.0,fanduel,-110.0,-11.0,0.7215909090909083,large,high,1.0,away_more,mid,weekend,8,,
extension,T-24h,spread,1022500134,2025-07-13,2025,Regular Season,-0.153792010975744,3.75,-3.903792010975744,away,True,-1.0,-1.0,-1.0,-1.0,lowvig,-108.0,-4.5,-0.20454545454545459,small,mid,1.0,home_more,mid,weekend,8,,
extension,T-24h,spread,1022500135,2025-07-13,2025,Regular Season,9.61684317213622,12.11111111111111,-2.4942679389748914,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,bovada,-110.0,-12.5,1.6111111111111107,large,low,1.0,home_more,mid,weekend,9,,
extension,T-24h,spread,1022500136,2025-07-13,2025,Regular Season,6.448978842799081,5.95,0.49897884279908045,home,False,-1.0,-1.0,-1.0,-1.0,fanatics,-115.0,-5.5,1.2318181818181815,mid,low,1.0,away_more,mid,weekend,10,,
extension,T-24h,spread,1022500137,2025-07-14,2025,Regular Season,-4.895567638207425,-10.625,5.729432361792575,home,True,-1.0,-1.0,-1.0,-1.0,lowvig,-103.0,11.0,-0.4659090909090917,large,low,-1.0,equal,mid,weekday,8,,
extension,T-24h,spread,1022500139,2025-07-15,2025,Regular Season,-12.648596177385206,-15.5,2.8514038226147935,home,True,0.9090909090909091,1.0,0.9090909090909091,1.0,williamhill_us,-110.0,15.5,0.0,large,mid,-1.0,equal,mid,weekday,7,,
extension,T-24h,spread,1022500140,2025-07-15,2025,Regular Season,0.3498664341503879,-1.3333333333333333,1.6831997674837211,home,True,0.9090909090909091,1.0,0.9090909090909091,1.0,williamhill_us,-110.0,1.5,2.183333333333333,small,low,-1.0,equal,mid,weekday,6,,
extension,T-24h,spread,1022500141,2025-07-16,2025,Regular Season,-3.571616258767633,-5.8125,2.240883741232367,home,True,-1.0,-1.0,-1.0,-1.0,lowvig,-108.0,7.0,-4.142045454545455,mid,low,-1.0,away_more,mid,weekday,8,,
extension,T-24h,spread,1022500142,2025-07-16,2025,Regular Season,2.0963770374742072,7.857142857142857,-5.7607658196686495,away,True,-1.0,-1.0,-1.0,-1.0,fanduel,-110.0,-8.5,-2.37012987012987,mid,low,1.0,equal,mid,weekday,7,,
extension,T-24h,spread,1022500143,2025-07-16,2025,Regular Season,1.2374114728665644,5.357142857142857,-4.119731384276292,away,True,-1.0,-1.0,-1.0,-1.0,lowvig,-108.0,-5.5,0.8116883116883109,mid,low,1.0,home_more,mid,weekday,7,,
extension,T-24h,spread,1022500145,2025-07-16,2025,Regular Season,3.271647628076621,-5.388888888888889,8.66053651696551,home,True,0.9090909090909091,1.0,0.970873786407767,1.0,lowvig,-103.0,5.5,-0.5202020202020199,mid,high,-1.0,away_more,mid,weekday,9,,
extension,T-24h,spread,1022500152,2025-07-24,2025,Regular Season,-7.914720076939944,-6.0625,-1.8522200769399442,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,williamhill_us,-110.0,6.0,-0.012500000000000178,mid,mid,-1.0,home_more,mid,weekday,8,,
extension,T-24h,spread,1022500153,2025-07-24,2025,Regular Season,4.476263759957223,-3.9444444444444446,8.420708204401667,home,True,0.9090909090909091,1.0,0.8695652173913043,1.0,betmgm,-115.0,4.5,2.171717171717172,small,low,-1.0,equal,mid,weekday,9,,
extension,T-24h,spread,1022500154,2025-07-24,2025,Regular Season,-4.453686193697083,-6.4,1.9463138063029177,home,True,-1.0,-1.0,-1.0,-1.0,lowvig,-108.0,6.5,-4.645454545454545,mid,low,-1.0,equal,mid,weekday,10,,
extension,T-24h,spread,1022500155,2025-07-25,2025,Regular Season,0.1029410696389172,6.055555555555555,-5.952614485916638,away,True,-1.0,-1.0,-1.0,-1.0,mybookieag,-110.0,-6.5,0.0101010101010095,mid,high,1.0,home_more,mid,weekday,9,,
extension,T-24h,spread,1022500157,2025-07-25,2025,Regular Season,2.6935467316416366,5.5,-2.8064532683583634,away,True,-1.0,-1.0,-1.0,-1.0,fanduel,-105.0,-5.5,1.3636363636363633,mid,low,1.0,home_more,mid,weekday,9,,
extension,T-24h,spread,1022500160,2025-07-26,2025,Regular Season,-2.4624734689071985,-4.777777777777778,2.315304308870579,home,True,0.9090909090909091,1.0,0.9090909090909091,1.0,mybookieag,-110.0,5.0,0.8232323232323231,mid,low,-1.0,home_more,mid,weekend,9,,
extension,T-24h,spread,1022500161,2025-07-27,2025,Regular Season,-9.608119141489029,-6.5,-3.108119141489029,away,True,-1.0,-1.0,-1.0,-1.0,fanduel,-108.0,6.5,-1.2272727272727275,mid,low,-1.0,home_more,mid,weekend,3,,
extension,T-24h,spread,1022500162,2025-07-27,2025,Regular Season,3.6267169513218382,-4.833333333333333,8.460050284655171,home,True,-1.0,-1.0,-1.0,-1.0,mybookieag,-110.0,5.0,-3.8484848484848486,mid,mid,-1.0,equal,mid,weekend,3,,
extension,T-24h,spread,1022500164,2025-07-27,2025,Regular Season,6.555627015292711,8.25,-1.6943729847072886,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,draftkings,-110.0,-9.0,0.05000000000000071,large,low,1.0,away_more,mid,weekend,8,,
extension,T-24h,spread,1022500165,2025-07-28,2025,Regular Season,-6.366024967014929,-8.625,2.258975032985071,home,True,-1.0,-1.0,-1.0,-1.0,fanduel,-108.0,9.0,-2.420454545454545,large,low,-1.0,away_more,mid,weekday,4,,
extension,T-24h,spread,1022500167,2025-07-29,2025,Regular Season,6.534176212218654,8.1,-1.565823787781346,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,betmgm,-110.0,-8.5,-0.2181818181818187,large,low,1.0,equal,mid,weekday,10,,
