era,timing,bet_type,game_id,game_date,season,season_type,model_value,market_ref,edge,side,bet_at_min_threshold,cons_profit,cons_outcome,be_profit,be_outcome,be_book,be_price,be_line,clv_pts,line_terc,total_terc,fav_side,rest_sign,phase,weekend,n_books
old,near-tip,spread,1022400028,2024-05-25,2024,Regular Season,1.4878091936952025,8.541666666666666,-7.053857472971464,away,True,-1.0,-1.0,-1.0,-1.0,betrivers,-114.0,-9.0,,mid,,1.0,home_more,early,weekend,12
old,near-tip,spread,1022400032,2024-05-28,2024,Regular Season,5.132446418276836,7.75,-2.617553581723164,away,True,-1.0,-1.0,-1.0,-1.0,superbook,-110.0,-8.0,,mid,,1.0,equal,early,weekday,12
old,near-tip,spread,1022400033,2024-05-28,2024,Regular Season,-1.0727695026817603,5.416666666666667,-6.489436169348427,away,True,0.9090909090909091,1.0,0.9523809523809523,1.0,williamhill_us,-105.0,-5.5,,mid,,1.0,home_more,early,weekday,12
old,near-tip,spread,1022400035,2024-05-29,2024,Regular Season,6.467161722532994,14.076923076923077,-7.609761354390082,away,True,0.9090909090909091,1.0,0.9090909090909091,1.0,williamhill_us,-110.0,-14.5,,large,,1.0,home_more,early,weekday,13
old,near-tip,spread,1022400038,2024-05-30,2024,Regular Season,-2.741420658691736,-5.576923076923077,2.8355024182313406,home,True,-1.0,-1.0,-1.0,-1.0,unibet_us,-117.0,6.0,,mid,,-1.0,equal,early,weekday,13
old,near-tip,spread,1022400039,2024-05-30,2024,Regular Season,2.4893913960029783,4.5,-2.0106086039970217,away,True,-1.0,-1.0,-1.0,-1.0,lowvig,-108.0,-4.5,,small,,1.0,equal,early,weekday,13
old,near-tip,spread,1022400040,2024-05-31,2024,Regular Season,-7.411367209140198,-8.541666666666666,1.1302994575264682,home,True,0.9090909090909091,1.0,0.9090909090909091,1.0,fanduel,-110.0,9.0,,mid,,-1.0,equal,early,weekday,12
old,near-tip,spread,1022400041,2024-05-31,2024,Regular Season,4.753074915261182,8.423076923076923,-3.670002007815741,away,True,0.9090909090909091,1.0,0.9523809523809523,1.0,betmgm,-105.0,-8.5,,mid,,1.0,away_more,early,weekday,13
old,near-tip,spread,1022400042,2024-05-31,2024,Regular Season,9.262351695700898,13.26923076923077,-4.006879073529872,away,True,0.9090909090909091,1.0,0.9259259259259259,1.0,lowvig,-108.0,-13.5,,large,,1.0,equal,early,weekday,13
old,near-tip,spread,1022400043,2024-05-31,2024,Regular Season,9.033307043561509,6.666666666666667,2.366640376894842,home,True,0.9090909090909091,1.0,0.9090909090909091,1.0,williamhill_us,-110.0,-6.0,,mid,,1.0,equal,early,weekday,12
