Bookmaker,Year,MAE
Circa Sports,2022,8.116071428571429
Pointsbet (Us),2022,8.92603550295858
Fox Bet,2022,8.927374301675977
William Hill (Us),2022,8.960674157303371
Gtbets,2022,8.985981308411215
Fanduel,2022,8.98611111111111
Betus,2022,9.0
Bovada,2022,9.002840909090908
Barstool Sportsbook,2022,9.015748031496063
Betrivers,2022,9.015748031496063
Sugarhouse,2022,9.015748031496063
Twinspires,2022,9.015748031496063
Unibet,2022,9.022346368715084
Betmgm,2022,9.052941176470588
Draftkings,2022,9.270642201834862
Mybookie.Ag,2022,9.6
Fox Bet,2023,8.993243243243244
Circa Sports,2023,9.175675675675675
Mybookie.Ag,2023,9.294117647058824
Bovada,2023,9.345703125
Betrivers,2023,9.348249027237355
William Hill (Us),2023,9.357142857142858
Fanduel,2023,9.36100386100386
Betus,2023,9.362934362934363
Lowvig.Ag,2023,9.36298076923077
Pointsbet (Us),2023,9.36328125
Twinspires,2023,9.37984496124031
Unibet,2023,9.37984496124031
Barstool Sportsbook,2023,9.41869918699187
Betmgm,2023,9.423694779116467
Draftkings,2023,9.530952380952382
Betonline.Ag,2023,9.62992125984252
Superbook,2023,9.857142857142858
Wynnbet,2023,9.866336633663366
Caesars,2023,14.625
Wynnbet,2024,8.188073394495413
Superbook,2024,8.33448275862069
Mybookie.Ag,2024,8.36480686695279
Caesars,2024,8.366279069767442
Betus,2024,8.382692307692308
Betrivers,2024,8.39272030651341
Lowvig.Ag,2024,8.4
Fanduel,2024,8.412451361867705
Betonline.Ag,2024,8.421455938697317
Bovada,2024,8.4272030651341
Draftkings,2024,8.463320463320464
Betmgm,2024,8.540485829959515
Unibet,2024,9.090909090909092
Betmgm,2025,10.026315789473685
Mybookie.Ag,2025,10.264705882352942
Bovada,2025,10.530973451327434
Lowvig.Ag,2025,10.570796460176991
Betonline.Ag,2025,10.579646017699115
Betrivers,2025,10.579646017699115
Betus,2025,10.58849557522124
Draftkings,2025,10.597345132743364
Fanduel,2025,10.628318584070797
Caesars,2025,10.63679245283019
Fanatics,2025,10.775229357798166
