arm,scheme,variance_model,channel,intercept_arm,observed_delta_r2,nominal_signflip_p,placebo_n,placebo_mean,placebo_sd,placebo_q95,placebo_calibrated_p_one_sided,z_vs_placebo,placebo_centred
A4_CLEAN_DEC,GKF,VSIG,S1_WLS_p1,FROZEN,0.000142825666587,0.3411317736452709,300,1.4618757706098287e-06,1.5427612342850006e-05,2.6920658240710317e-05,0.0033222591362126247,9.163037524851072,True
A4_CLEAN_DEC,GKF,VSIG,S1_WLS_p1,UNFROZEN,-2.40236599583886e-06,0.993001399720056,300,-1.0535231533022035e-06,1.783895037662932e-05,2.7213409958648116e-05,0.5481727574750831,-0.07561223132857445,True
A4_CLEAN_DEC,GKF,VSIG,S1_WLS_p2,FROZEN,0.0002508860006436,0.394121175764847,300,2.0713758626819366e-06,3.054018723072744e-05,5.2584456466996915e-05,0.0033222591362126247,8.14712178747149,True
A4_CLEAN_DEC,GKF,VSIG,S1_WLS_p2,UNFROZEN,-5.635575168220824e-05,0.864627074585083,300,-3.0892866450099877e-06,3.538685108673537e-05,5.245267617508822e-05,0.9235880398671097,-1.5052615138498433,True
A4_CLEAN_DEC,GKF,VSIG,S2_SHRINK,FROZEN,-0.0001015531166582,0.6070785842831433,300,-4.5787766261779065e-05,0.00025841615969404166,0.00036340810230132015,0.6976744186046512,-0.21579668416420136,True
A4_CLEAN_DEC,GKF,VSIG,S2_SHRINK,UNFROZEN,-0.0004447660794799,0.0689862027594481,300,-4.88864798804957e-05,0.0002547599118884876,0.00035596434618935513,0.9634551495016611,-1.553932079285249,True
A4_CLEAN_DEC,GKF,VSIG,S3_ADD_VHAT_X_LEVEL,FROZEN,-0.0022610527249927,0.2391521695660868,300,-0.0021757237796187945,0.0011100386129234982,0.00013456095662880014,0.3654485049833887,-0.07687024971967,False
A4_CLEAN_DEC,GKF,VSIG,S3_ADD_VHAT_X_LEVEL,UNFROZEN,-0.0022610527249927,0.2391521695660868,300,-0.0021757237796187737,0.0011100386129235121,0.00013456095662880014,0.3654485049833887,-0.0768702497196878,False
A4_CLEAN_DEC,GKF,VSIG,S3_ADD_VHAT,FROZEN,7.020756216415174e-05,0.9278144371125776,300,-0.0002910914482857009,0.0005139602921269063,0.000334199817214455,0.16611295681063123,0.7029706691050001,False
A4_CLEAN_DEC,GKF,VSIG,S3_ADD_VHAT,UNFROZEN,7.020756216415411e-05,0.9278144371125776,300,-0.0002910914482857041,0.0005139602921269269,0.00033419981721502,0.16611295681063123,0.7029706691049828,False
A4_CLEAN_DEC,GKF,VSIG,S4_TWOSTAGE,FROZEN,0.0002344508052526,0.3743251349730054,300,-3.648485548355559e-06,3.0815703377175517e-05,4.089909522663741e-05,0.0033222591362126247,7.726557070162814,True
A4_CLEAN_DEC,GKF,VSIG,S4_TWOSTAGE,UNFROZEN,-2.463049325603356e-05,0.9364127174565088,300,-9.810754471249725e-06,3.581956689445868e-05,4.3740485556905716e-05,0.7242524916943521,-0.41373305345789824,True
