arm,scheme,variance_model,response,q_dropped_pct,n_scored,n_retained,mse_all_scored,mse_retained,mse_reduction_vs_all,mse_random_subset_mean,mse_random_subset_q025,p_vs_random_subsets,NOTE
A4_CLEAN_DEC,WF,VSIG,y_pts,10,2945,2656,40.351995303999225,38.14429768381874,0.05471099021370274,40.34425526472829,39.58873176995729,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VSIG,y_pts,20,2945,2396,40.351995303999225,36.24560740381233,0.10176418462707137,40.338368383416196,39.29032273689276,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VSIG,y_pts,30,2945,2086,40.351995303999225,35.02829609653738,0.13193149848860686,40.348208704037674,38.91383293957779,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VALL,y_pts,10,2945,2632,40.351995303999225,38.16202130957156,0.05427176470281314,40.34521819162757,39.567323003916975,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VALL,y_pts,20,2945,2338,40.351995303999225,35.96408696595887,0.10874080215818904,40.35046810788429,39.17864895410466,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VALL,y_pts,30,2945,2079,40.351995303999225,34.360095937752405,0.14849078270122051,40.36181176026134,38.88406743399194,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VSD,y_pts,10,2945,2879,40.351995303999225,40.40474730973364,-0.0013072960912339227,40.348716895023216,39.975979039770856,0.6016991504247876,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VSD,y_pts,20,2945,2716,40.351995303999225,40.47505500706268,-0.0030496559621491226,40.356245627218335,39.66574306130738,0.6281859070464768,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VSD,y_pts,30,2945,2716,40.351995303999225,40.47505500706268,-0.0030496559621491226,40.3656220358257,39.69152982818379,0.6131934032983508,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VLEV,y_pts,10,2945,2634,40.351995303999225,37.93940342867782,0.05978866366199975,40.36578886260881,39.61151694664903,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VLEV,y_pts,20,2945,2391,40.351995303999225,36.89551961616821,0.08565811087632758,40.34852640304816,39.24638562653545,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,WF,VLEV,y_pts,30,2945,2088,40.351995303999225,36.0418554235498,0.10681355030843431,40.33598654335032,38.92079851656498,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,GKF,VSIG,y_pts,10,3549,3192,40.93652149423161,38.9086931458174,0.04953592231083814,40.935275373222,40.19492949902194,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,GKF,VSIG,y_pts,20,3549,2835,40.93652149423161,37.70221126195928,0.07900793995718669,40.95140932229557,39.86654259385326,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,GKF,VSIG,y_pts,30,3549,2467,40.93652149423161,35.18007931805566,0.14061874253255968,40.92987929177859,39.56332200385115,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,GKF,VALL,y_pts,10,3549,3194,40.93652149423161,38.706904582110994,0.05446522642220086,40.925673267556775,40.159587565515835,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
A4_CLEAN_DEC,GKF,VALL,y_pts,20,3549,2864,40.93652149423161,36.77649307730199,0.10162144376423898,40.941362402179045,39.90029794467515,0.0004997501249375312,"abstention changes WHICH rows are forecast, not the forecast; this is a variance result, not a skill result"
