arm,target,response,scheme,model,features,n_features,n_scored,n_blocks,mean_realised,sd_realised,decile1_mean_realised,decile10_mean_realised,top_minus_bottom_decile_spread,top_over_bottom_decile_ratio,ratio_boot_lo,ratio_boot_hi,spearman_vhat_vs_realised,calibration_slope,calibration_intercept,oof_r2_of_vhat_on_absres,r2_boot_lo,r2_boot_hi,mean_abs_calibration_error,mean_predicted,n_boot_used
A4_CLEAN_DEC,pts,absres_pts,WF,V0,,0,2945,174,5.069947896237722,3.8793876331768127,5.2825658094266155,4.9158235880251375,-0.36674222140147794,0.9305749829472952,0.8220818541929147,1.0397531637805253,-0.03316135893865202,-5.6503371880887,33.921877627987826,-0.0004897892258233227,-0.004151368474144157,-8.510680550635783e-05,3.071470078960882,5.106231499346976,2000
A4_CLEAN_DEC,pts,absres_pts,WF,VSD,pts__pred_sd,1,2945,174,5.069947896237722,3.8793876331768127,5.42376615940573,4.676532387718949,-0.7472337716867807,0.8622297219818463,0.7591605901120552,1.006535807639504,-0.031032730612033037,-0.5136226420547445,7.6749785125240715,-0.0064038913415331855,-0.013214618423539099,-0.0019084286630541695,3.0744844754638696,5.071876515927994,2000
A4_CLEAN_DEC,pts,absres_pts,WF,VSIG,pl_pts_sd5;pts__pred_cv,2,2945,174,5.069947896237722,3.8793876331768127,3.7811352062863213,6.159658514539583,2.3785233082532615,1.6290500546763973,1.4220790769216827,1.9022548087193634,0.14137706134889544,0.9317197318773844,0.29483885410787675,0.02549010786701522,0.011408836048110419,0.03853089127023574,3.0405027016850323,5.125048744549138,2000
A4_CLEAN_DEC,pts,absres_pts,WF,VALL,pl_games_prior;pl_minutes_prior;pl_career_games_prior;pl_prior_season_games;pl_is_rookie_window;pl_min_mean5;pl_fga_mean5;pl_pts_mean5;pl_usg_mean5;pl_start_frac5;pl_min_sd5;pl_min_cv5;pl_min_rng5;pl_fga_sd5;pl_pts_sd5;pl_usg_sd5;pl_min_trend5;pl_abs_min_trend5;pl_start_switch5;pl_rest_days;pl_teamgames_since_appear;pl_dnp_frac5;tm_rest_days;tm_b2b;tm_3in4;tm_games_prior7d;opp_rest_days;tm_rest_diff;tm_roster_churn_prior;tm_newfaces_prior;tm_five_tenure_prior;tm_five_changed_prior;tm_prior_meetings;tm_first_meeting;tm_is_home;tm_game_idx;opp_game_idx;tm_poss_mean_prior;opp_poss_mean_prior;pts__pred_point;pts__pred_sd;pts__pred_width;pts__pred_iqr;pts__pred_cv;pts__is_fallback;pts__fallback_level;pts__is_cold_start;pts__n_prior_games;minutes__pred_point;minutes__pred_sd;minutes__pred_width;minutes__pred_iqr;minutes__pred_cv;fga__pred_point;fga__pred_sd;fga__pred_width;fga__pred_iqr;fga__pred_cv,58,2945,174,5.069947896237722,3.8793876331768127,3.927815153582711,5.720785740531746,1.7929705869490355,1.4564803884199078,1.2628555871282232,1.7548601309299972,0.11886454523276598,0.6601008519764066,1.7384203986842006,0.015001968584375747,-0.004365710280404605,0.032364894865804614,3.0495889115850052,5.0469977240274755,2000
A4_CLEAN_DEC,pts,absres_pts,WF,VLEV,pl_pts_mean5,1,2945,174,5.069947896237722,3.8793876331768127,3.8407035032157126,6.3109709909855845,2.470267487769872,1.643180991633847,1.4197448754505009,1.9122346607784928,0.1216589433207699,0.8307735523611287,0.8229090018054434,0.02382416814664412,0.007417139588932323,0.03912306784182362,3.050328091632737,5.112149854026814,2000
A4_CLEAN_DEC,pts,absres_pts,GKF,V0,,0,3549,174,5.077011208948851,3.9368139958080137,5.543447333131901,4.729689547371232,-0.8137577857606688,0.8532036588681872,0.7412673125532675,0.9944137539987941,-0.06672636611876294,-3.999204130249277,25.381078388680073,-0.0026703472534164163,-0.006001715437953442,-0.0014323917091473633,3.1018354632978498,5.0770269579776475,2000
A4_CLEAN_DEC,pts,absres_pts,GKF,VSD,pts__pred_sd,1,3549,174,5.077011208948851,3.9368139958080137,5.343968143730017,4.623164583725141,-0.7208035600048754,0.865118290263279,0.7582800142739411,0.9787351595992158,-0.055644850189643304,-2.4756686067574303,17.652201412247855,-0.003155400748170223,-0.006848715297347563,-0.0014449143018285932,3.1020284412148014,5.079512730005382,2000
A4_CLEAN_DEC,pts,absres_pts,GKF,VSIG,pl_pts_sd5;pts__pred_cv,2,3549,174,5.077011208948851,3.9368139958080137,3.6440215649823715,6.118851821454321,2.4748302564719493,1.6791480819581597,1.4228161642584831,1.8809810980832535,0.14146686725666338,0.933580918368813,0.3354958630414849,0.02580998453972594,0.013037658532598102,0.03865368738050388,3.064795476733389,5.078847749150568,2000
A4_CLEAN_DEC,pts,absres_pts,GKF,VALL,pl_games_prior;pl_minutes_prior;pl_career_games_prior;pl_prior_season_games;pl_is_rookie_window;pl_min_mean5;pl_fga_mean5;pl_pts_mean5;pl_usg_mean5;pl_start_frac5;pl_min_sd5;pl_min_cv5;pl_min_rng5;pl_fga_sd5;pl_pts_sd5;pl_usg_sd5;pl_min_trend5;pl_abs_min_trend5;pl_start_switch5;pl_rest_days;pl_teamgames_since_appear;pl_dnp_frac5;tm_rest_days;tm_b2b;tm_3in4;tm_games_prior7d;opp_rest_days;tm_rest_diff;tm_roster_churn_prior;tm_newfaces_prior;tm_five_tenure_prior;tm_five_changed_prior;tm_prior_meetings;tm_first_meeting;tm_is_home;tm_game_idx;opp_game_idx;tm_poss_mean_prior;opp_poss_mean_prior;pts__pred_point;pts__pred_sd;pts__pred_width;pts__pred_iqr;pts__pred_cv;pts__is_fallback;pts__fallback_level;pts__is_cold_start;pts__n_prior_games;minutes__pred_point;minutes__pred_sd;minutes__pred_width;minutes__pred_iqr;minutes__pred_cv;fga__pred_point;fga__pred_sd;fga__pred_width;fga__pred_iqr;fga__pred_cv,58,3549,174,5.077011208948851,3.9368139958080137,3.796658741865899,6.176838092262859,2.38017935039696,1.6269142191134096,1.4084730541203798,1.872883510409723,0.12920670110188448,0.8651123036278134,0.6827715545251306,0.0255129125524024,0.010175996676398865,0.040244968651027384,3.0686060928206444,5.079386382550166,2000
A4_CLEAN_DEC,pts,absres_pts,GKF,VLEV,pl_pts_mean5,1,3549,174,5.077011208948851,3.9368139958080137,3.9156947414879304,6.450497437964899,2.534802696476969,1.6473443063934463,1.4349210282313607,1.8633518892966954,0.12664382927857018,0.9489434019884875,0.2575077939245046,0.02471047249349967,0.011242788203485283,0.03757502982784395,3.072541604273909,5.078810185017565,2000
A4_CLEAN_DEC,minutes,absres_minutes,WF,V0,,0,2945,174,4.277748815621224,3.7255364840090723,4.381006138168854,4.076583630497339,-0.30442250767151524,0.9305131063343464,0.7760750205125454,1.077454743663954,-0.023800738562278875,-1.6262427560564672,11.272090104255788,-0.0021068266877903863,-0.0064966496439798575,-0.000491883115708187,2.7726810913180033,4.30092079585668,2000
A4_CLEAN_DEC,minutes,absres_minutes,WF,VSD,minutes__pred_sd,1,2945,174,4.277748815621224,3.7255364840090723,4.264716910887719,4.046448471040646,-0.21826843984707267,0.9488199464565072,0.8046394506558204,1.1162470882173803,-0.006970274420589828,-0.5105137459847094,6.439800330558244,-0.004813405755562883,-0.011757721711434932,-0.0004080191443210601,2.7639156902881186,4.235050538681829,2000
A4_CLEAN_DEC,minutes,absres_minutes,WF,VSIG,pl_abs_min_trend5;pl_dnp_frac5;pl_min_rng5;pl_min_sd5;pl_start_switch5;pts__pred_cv;pts__pred_width,7,2945,174,4.277748815621224,3.7255364840090723,3.00411298132837,5.734683146325582,2.7305701649972125,1.9089438985712843,1.644751531171264,2.253299571453147,0.2053441988268346,1.0123223602962483,-0.12510983614749133,0.04286571434945807,0.022341077486926826,0.06368907691552374,2.701229645074749,4.349265436041787,2000
