arm,scheme,rule,q_dropped_pct,n_scored,n_retained,mse_all,mse_retained,mse_reduction,sd_y_all,sd_y_retained,variance_reduction_of_response,r2_all,r2_retained,mean_y_all,mean_y_retained,r2_change_on_retained
A4_CLEAN_DEC,WF,VSIG_predicted_error,10,2945,2650,40.351995303999225,38.33765035343924,0.04991933943748128,7.694862027971136,7.311454879227409,0.09717009908976093,0.3182724681898096,0.2825662561735758,13.78981324278438,13.059622641509433,-0.03570621201623381
A4_CLEAN_DEC,WF,VSIG_predicted_error,20,2945,2356,40.351995303999225,36.33664438275017,0.09950811331629728,7.694862027971136,6.978838125428181,0.17744570272419813,0.3182724681898096,0.25361493046892525,13.78981324278438,12.365449915110357,-0.06465753772088434
A4_CLEAN_DEC,WF,VSIG_predicted_error,30,2945,2061,40.351995303999225,35.306390457364024,0.1250397857311194,7.694862027971136,6.790803524391602,0.22117361435508653,0.3182724681898096,0.2340123625342031,13.78981324278438,11.729257641921397,-0.08426010565560649
A4_CLEAN_DEC,WF,FORECAST_LEVEL_ALONE,10,2945,2650,40.351995303999225,38.04267967186995,0.057229279859189575,7.694862027971136,7.1909934226272165,0.12667456530514554,0.3182724681898096,0.2640348783739136,13.78981324278438,12.947924528301886,-0.05423758981589599
A4_CLEAN_DEC,WF,FORECAST_LEVEL_ALONE,20,2945,2356,40.351995303999225,36.40051500041218,0.09792527665157169,7.694862027971136,6.857809789822436,0.20572810379324058,0.3182724681898096,0.22567900957421538,13.78981324278438,12.227928692699491,-0.0925934586155942
A4_CLEAN_DEC,WF,FORECAST_LEVEL_ALONE,30,2945,2061,40.351995303999225,34.835677956967274,0.136704946198416,7.694862027971136,6.663509201264114,0.25009831545614625,0.3182724681898096,0.21507342171146182,13.78981324278438,11.646773410965551,-0.10319904647834777
A4_CLEAN_DEC,GKF,VSIG_predicted_error,10,3549,3194,40.93652149423161,39.2760155018534,0.040562947992837994,7.739067617077838,7.463451696120349,0.06995883721904161,0.3163150145112682,0.2946836307042072,13.78698224852071,13.131183469004384,-0.021631383807060978
A4_CLEAN_DEC,GKF,VSIG_predicted_error,20,3549,2839,40.93652149423161,37.86063126820596,0.07513804577799998,7.739067617077838,7.156307589042051,0.14493187826275256,0.3163150145112682,0.26045798131930575,13.78698224852071,12.454033110250087,-0.055857033191962446
A4_CLEAN_DEC,GKF,VSIG_predicted_error,30,3549,2484,40.93652149423161,36.00046246268247,0.1205783699097317,7.739067617077838,6.893937260293372,0.20648092482287705,0.3163150145112682,0.24221099738287954,13.78698224852071,11.7914653784219,-0.07410401712838866
A4_CLEAN_DEC,GKF,FORECAST_LEVEL_ALONE,10,3549,3194,40.93652149423161,38.57547408136095,0.05767581921202947,7.739067617077838,7.235331701942012,0.12594329285199068,0.3163150145112682,0.262893275316873,13.78698224852071,12.943018159048215,-0.05342173919439519
A4_CLEAN_DEC,GKF,FORECAST_LEVEL_ALONE,20,3549,2839,40.93652149423161,36.94728150577053,0.09744941296546672,7.739067617077838,6.9182893279743505,0.20086498747503723,0.3163150145112682,0.22778532644197658,13.78698224852071,12.231067277210286,-0.08852968806929162
A4_CLEAN_DEC,GKF,FORECAST_LEVEL_ALONE,30,3549,2484,40.93652149423161,35.65910492291707,0.12891707401319352,7.739067617077838,6.714649986188799,0.24721756658602556,0.3163150145112682,0.20877764105447683,13.78698224852071,11.615539452495975,-0.10753737345679137
