date,team_abbr_in_file,master_abbr,team_id,notes,action,person,role_raw,role_class,is_coaching_identity
2021-05-03,ATL,ATL,1611661330,Nicki Collen resigns as Head Coach for Atlanta Dream.,resign,Nicki Collen,Head Coach,head_coach,True
2021-05-03,ATL,ATL,1611661330,The Atlanta Dream hired Mike Peterson as Interim Head Coach.,hire,Mike Peterson,Interim Head Coach,interim_head_coach,True
2021-05-30,SEA,SEA,1611661328,The Seattle Storm hired Noelle Quinn as Head Coach.,hire,Noelle Quinn,Head Coach,head_coach,True
2021-07-24,ATL,ATL,1611661330,The Atlanta Dream hired Darius Taylor as Interim Head Coach.,hire,Darius Taylor,Interim Head Coach,interim_head_coach,True
2021-10-12,ATL,ATL,1611661330,The Atlanta Dream hired Tanisha Wright as Head Coach.,hire,Tanisha Wright,Head Coach,head_coach,True
2021-12-06,NYL,NYL,1611661313,Walt Hopkins resigns as Head Coach for New York Liberty.,resign,Walt Hopkins,Head Coach,head_coach,True
2021-12-06,PHO,PHO,1611661317,Sandy Brondello resigns as Head Coach for Phoenix Mercury.,resign,Sandy Brondello,Head Coach,head_coach,True
2021-12-31,LVA,LVA,1611661319,The Las Vegas Aces hired Becky Hammon as Head Coach.,hire,Becky Hammon,Head Coach,head_coach,True
2022-01-24,PHO,PHO,1611661317,The Phoenix Mercury hired Vanessa Nygaard as Head Coach.,hire,Vanessa Nygaard,Head Coach,head_coach,True
2022-05-25,IND,IND,1611661325,Marianne Stanley resigns as Head Coach for Indiana Fever.,resign,Marianne Stanley,Head Coach,head_coach,True
2022-05-25,IND,IND,1611661325,The Indiana Fever hired Carlos Knox as Interim Head Coach.,hire,Carlos Knox,Interim Head Coach,interim_head_coach,True
2022-06-07,LAS,LAS,1611661320,Derek Fisher resigns as Head Coach for Los Angeles Sparks.,resign,Derek Fisher,Head Coach,head_coach,True
2022-06-07,LAS,LAS,1611661320,The Los Angeles Sparks hired Fred Williams as Interim Head Coach.,hire,Fred Williams,Interim Head Coach,interim_head_coach,True
2022-07-07,NYL,NYL,1611661313,The New York Liberty hired Sandy Brondello as Head Coach.,hire,Sandy Brondello,Head Coach,head_coach,True
2022-08-16,LAS,LAS,1611661320,Fred Williams resigns as Interim Head Coach for Los Angeles Sparks.,resign,Fred Williams,Interim Head Coach,interim_head_coach,True
2022-09-19,DAL,DAL,1611661321,The Dallas Wings fired Vickie Johnson as Head Coach.,fire,Vickie Johnson,Head Coach,head_coach,True
2022-10-21,LAS,LAS,1611661320,The Los Angeles Sparks hired Curt Miller as Head Coach.,hire,Curt Miller,Head Coach,head_coach,True
2022-11-04,IND,IND,1611661325,The Indiana Fever hired Christie Sides as Head Coach.,hire,Christie Sides,Head Coach,head_coach,True
2022-11-07,DAL,DAL,1611661321,The Dallas Wings hired Latricia Trammell as Head Coach.,hire,Latricia Trammell,Head Coach,head_coach,True
